Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_13.24.41",7.119699000000001,43.584534000000005,5G,5G,-90.0,-3.0,22.0,11,-,0.0,0.0,69.0,69.0,I,LOG START,-86.0,-14.0,10.0,5O26
"
2022.08.26_13.24.41",7.119723,43.584517,5G,5G,-90.0,-3.0,22.0,11,-,0.0,0.0,69.0,69.0,I,,-86.0,-14.0,10.0,5O26
"
2022.08.26_13.24.42",7.119723,43.584517,5G,5G,-90.0,-3.0,22.0,11,-,0.0,0.0,69.0,69.0,I,PERIODIC,-88.0,-14.0,4.0,5O26
"
2022.08.26_13.24.43",7.119723,43.584517,5G,5G,-85.0,-3.0,22.0,11,-,0.0,0.0,69.0,69.0,I,PERIODIC,-88.0,-14.0,4.0,5O26
"
2022.08.26_13.24.44",7.119723,43.584517,5G,5G,-82.0,-3.0,22.0,-,-,0.0,0.0,69.0,69.0,I,PERIODIC,-82.0,-11.0,2.0,5O26
"
2022.08.26_13.24.45",7.119723,43.584517,5G,5G,-82.0,-3.0,22.0,-,-,0.0,0.0,69.0,69.0,I,PERIODIC,-82.0,-11.0,2.0,5O26
"
2022.08.26_13.24.46",7.119723,43.584517,5G,5G,-82.0,-3.0,22.0,-,-,0.0,0.0,69.0,69.0,I,PERIODIC,-82.0,-11.0,5.0,5O26
"
2022.08.26_13.24.47",7.119723,43.584517,5G,5G,-82.0,-3.0,22.0,-,-,0.0,0.0,69.0,69.0,I,PERIODIC,-82.0,-11.0,5.0,5O26
"
2022.08.26_13.24.48",7.119723,43.584517,5G,5G,-82.0,-3.0,22.0,-,-,0.0,0.0,69.0,69.0,I,PERIODIC,-85.0,-13.0,5.0,5O26
"
2022.08.26_13.24.49",7.119723,43.584517,5G,5G,-82.0,-3.0,22.0,-,-,0.0,0.0,69.0,69.0,I,PERIODIC,-85.0,-13.0,5.0,5O26
"
2022.08.26_13.24.50",7.119723,43.584517,4G,LTE,-85.0,-13.0,11.0,-,-87,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.50",7.119723,43.584517,4G,LTE,-85.0,-13.0,11.0,-,-87,0.0,0.0,69.0,69.0,I,,,,,5O26
"
2022.08.26_13.24.51",7.119723,43.584517,4G,LTE,-85.0,-13.0,11.0,-,-87,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.52",7.119723,43.584517,4G,LTE,-86.0,-13.0,9.0,-,-87,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.53",7.119723,43.584517,4G,LTE,-86.0,-13.0,9.0,-,-87,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.54",7.119723,43.584517,4G,LTE,-86.0,-13.0,16.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.55",7.119723,43.584517,4G,LTE,-86.0,-13.0,16.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.56",7.119723,43.584517,4G,LTE,-88.0,-13.0,6.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.57",7.119723,43.584517,4G,LTE,-88.0,-13.0,6.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.58",7.119723,43.584517,4G,LTE,-88.0,-13.0,3.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.24.59",7.119723,43.584517,4G,LTE,-88.0,-13.0,3.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.00",7.119723,43.584517,4G,LTE,-89.0,-13.0,14.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.01",7.119723,43.584517,4G,LTE,-89.0,-13.0,14.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.02",7.119723,43.584517,4G,LTE,-87.0,-13.0,0.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.03",7.119723,43.584517,4G,LTE,-87.0,-13.0,0.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.04",7.119723,43.584517,4G,LTE,-87.0,-13.0,4.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.05",7.119723,43.584517,4G,LTE,-87.0,-13.0,4.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.06",7.119723,43.584517,4G,LTE,-87.0,-13.0,6.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.07",7.119723,43.584517,4G,LTE,-87.0,-13.0,6.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.08",7.119723,43.584517,4G,LTE,-88.0,-13.0,16.0,-,-91,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.09",7.119723,43.584517,4G,LTE,-88.0,-13.0,16.0,-,-91,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.10",7.119723,43.584517,4G,LTE,-90.0,-12.0,8.0,-,-91,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.11",7.119723,43.584517,4G,LTE,-90.0,-12.0,8.0,-,-91,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.12",7.119723,43.584517,4G,LTE,-90.0,-12.0,1.0,-,-91,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.13",7.119723,43.584517,4G,LTE,-90.0,-12.0,1.0,-,-91,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.14",7.119723,43.584517,4G,LTE,-90.0,-14.0,3.0,-,-89,0.0,0.0,69.0,69.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.14",7.1197550000000005,43.584425,4G,LTE,-90.0,-14.0,3.0,-,-89,0.0,0.0,66.0,66.0,I,,,,,5O26
"
2022.08.26_13.25.15",7.1197550000000005,43.584425,4G,LTE,-90.0,-14.0,3.0,-,-89,0.0,0.0,66.0,66.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.16",7.1197550000000005,43.584425,4G,LTE,-90.0,-14.0,3.0,-,-89,0.0,0.0,66.0,66.0,I,PERIODIC,,,,5O26
"
2022.08.26_13.25.17",7.1197550000000005,43.584425,4G,LTE,-90.0,-14.0,3.0,-,-87,1.0,4.0,66.0,66.0,D,PERIODIC,,,,5O26
