Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_15.35.58",7.121055999999999,43.580314,5G,5G,-103.0,-3.0,8.0,8.0,-,0.0,0.0,60.0,60.0,I,LOG START,-86.0,-15.0,6.0,5Og22n
"
2022.11.22_15.35.59",7.121055999999999,43.580314,5G,5G,-103.0,-3.0,8.0,8.0,-,0.0,0.0,60.0,60.0,I,PERIODIC,-86.0,-15.0,6.0,5Og22n
"
2022.11.22_15.35.59",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,8.0,-,0.0,0.0,66.0,66.0,I,,-86.0,-15.0,6.0,5Og22n
"
2022.11.22_15.36.00",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,8.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-86.0,-15.0,6.0,5Og22n
"
2022.11.22_15.36.01",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,8.0,-,0.0,0.0,66.0,66.0,I,PERIODIC,-86.0,-16.0,6.0,5Og22n
"
2022.11.22_15.36.02",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,8.0,-,52.0,30.0,66.0,66.0,D,PERIODIC,-86.0,-16.0,6.0,5Og22n
"
2022.11.22_15.36.03",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,10.0,-,14.0,3.0,66.0,66.0,D,PERIODIC,-86.0,-16.0,-1.0,5Og22n
"
2022.11.22_15.36.04",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,10.0,-,48.0,17.0,66.0,66.0,D,PERIODIC,-86.0,-16.0,-1.0,5Og22n
"
2022.11.22_15.36.05",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,12.0,-,13.0,3.0,66.0,66.0,D,PERIODIC,-86.0,-15.0,4.0,5Og22n
"
2022.11.22_15.36.06",7.121071000000001,43.580259000000005,5G,5G,-103.0,-3.0,8.0,12.0,-,45.0,19.0,66.0,66.0,D,PERIODIC,-86.0,-15.0,4.0,5Og22n
