Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_14.25.21",7.1201479999999995,43.579438,5G,5G,-99.0,-3.0,10.0,11.0,-,0.0,0.0,58.0,58.0,I,LOG START,-101.0,-16.0,1.0,5Oi26
"
2022.08.26_14.25.22",7.120195,43.579438,5G,5G,-99.0,-3.0,10.0,11.0,-,0.0,0.0,69.0,69.0,I,,-101.0,-16.0,1.0,5Oi26
"
2022.08.26_14.25.22",7.120195,43.579438,5G,5G,-99.0,-3.0,10.0,12.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-100.0,-16.0,2.0,5Oi26
"
2022.08.26_14.25.23",7.120195,43.579438,5G,5G,-99.0,-3.0,10.0,12.0,-,0.0,14.0,69.0,69.0,D,PERIODIC,-100.0,-16.0,2.0,5Oi26
"
2022.08.26_14.25.24",7.120195,43.579438,5G,5G,-99.0,-3.0,10.0,12.0,-,6.0,0.0,69.0,69.0,D,PERIODIC,-101.0,-16.0,-1.0,5Oi26
"
2022.08.26_14.25.25",7.120195,43.579438,5G,5G,-99.0,-3.0,10.0,12.0,-,0.0,0.0,69.0,69.0,D,PERIODIC,-101.0,-16.0,-1.0,5Oi26
"
2022.08.26_14.25.26",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,12.0,-,0.0,0.0,69.0,69.0,D,PERIODIC,-99.0,-16.0,1.0,5Oi26
"
2022.08.26_14.25.27",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,12.0,-,1.0,0.0,69.0,69.0,D,PERIODIC,-99.0,-16.0,1.0,5Oi26
"
2022.08.26_14.25.28",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,12.0,-,0.0,0.0,69.0,69.0,D,PERIODIC,-99.0,-16.0,2.0,5Oi26
"
2022.08.26_14.25.29",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,12.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-99.0,-16.0,2.0,5Oi26
"
2022.08.26_14.25.30",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,11.0,-,1.0,0.0,69.0,69.0,D,PERIODIC,-99.0,-16.0,4.0,5Oi26
"
2022.08.26_14.25.31",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,11.0,-,0.0,0.0,69.0,69.0,D,PERIODIC,-99.0,-16.0,4.0,5Oi26
"
2022.08.26_14.25.32",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,13.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-98.0,-15.0,3.0,5Oi26
"
2022.08.26_14.25.33",7.120195,43.579438,5G,5G,-97.0,-3.0,10.0,13.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-98.0,-15.0,3.0,5Oi26
