Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_15.39.45",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,10.0,-,0.0,0.0,61.0,61.0,I,LOG START,-88.0,-16.0,-1.0,5Oyt22n
"
2022.11.22_15.39.46",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,10.0,-,0.0,0.0,61.0,61.0,I,PERIODIC,-88.0,-16.0,-1.0,5Oyt22n
"
2022.11.22_15.39.46",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,10.0,-,0.0,0.0,61.0,61.0,I,,-88.0,-16.0,-1.0,5Oyt22n
"
2022.11.22_15.39.47",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,8.0,-,0.0,0.0,61.0,61.0,I,PERIODIC,-88.0,-15.0,2.0,5Oyt22n
"
2022.11.22_15.39.48",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,8.0,-,0.0,0.0,61.0,61.0,I,PERIODIC,-88.0,-15.0,2.0,5Oyt22n
"
2022.11.22_15.39.49",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,8.0,-,0.0,0.0,61.0,61.0,I,PERIODIC,-88.0,-15.0,2.0,5Oyt22n
"
2022.11.22_15.39.50",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,10.0,-,1.0,2.0,61.0,61.0,D,PERIODIC,-88.0,-16.0,4.0,5Oyt22n
"
2022.11.22_15.39.51",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,10.0,-,41.0,15.0,61.0,61.0,D,PERIODIC,-88.0,-16.0,4.0,5Oyt22n
"
2022.11.22_15.39.52",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,8.0,-,30.0,1.0,61.0,61.0,D,PERIODIC,-86.0,-15.0,3.0,5Oyt22n
"
2022.11.22_15.39.53",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,8.0,-,30.0,9.0,61.0,61.0,D,PERIODIC,-86.0,-15.0,3.0,5Oyt22n
"
2022.11.22_15.39.54",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,9.0,-,0.0,0.0,61.0,61.0,D,PERIODIC,-88.0,-16.0,4.0,5Oyt22n
"
2022.11.22_15.39.55",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,9.0,-,44.0,12.0,61.0,61.0,D,PERIODIC,-88.0,-16.0,4.0,5Oyt22n
"
2022.11.22_15.39.56",7.1210830000000005,43.580249,5G,5G,-106.0,-3.0,7.0,6.0,-,4.0,2.0,61.0,61.0,D,PERIODIC,-88.0,-14.0,8.0,5Oyt22n
