Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.16_11.03.14",7.073173,43.616781,5G,5G,-89.0,-3.0,20.0,12.0,-,0.0,0.0,169.0,169.0,I,LOG START,-96.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.14",7.073173,43.616781,5G,5G,-89.0,-3.0,20.0,12.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,-96.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.14",7.073242,43.616715,5G,5G,-93.0,-3.0,19.0,12.0,-,0.0,0.0,172.0,172.0,I,,-96.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.15",7.073242,43.616715,5G,5G,-93.0,-3.0,19.0,12.0,-,0.0,0.0,172.0,172.0,I,PERIODIC,-98.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.16",7.073242,43.616715,5G,5G,-92.0,-3.0,20.0,12.0,-,0.0,1.0,172.0,172.0,D,PERIODIC,-98.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.17",7.073242,43.616715,5G,5G,-94.0,-3.0,19.0,14.0,-,0.0,0.0,172.0,172.0,D,PERIODIC,-92.0,-6.0,2.0,P16aug
"
2022.08.16_11.03.18",7.073242,43.616715,5G,5G,-94.0,-3.0,19.0,14.0,-,2.0,3.0,172.0,172.0,D,PERIODIC,-92.0,-6.0,2.0,P16aug
"
2022.08.16_11.03.19",7.073242,43.616715,5G,5G,-97.0,-3.0,14.0,11.0,-,45.0,19.0,172.0,172.0,D,PERIODIC,-96.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.20",7.073242,43.616715,5G,5G,-97.0,-3.0,14.0,11.0,-,0.0,0.0,172.0,172.0,I,PERIODIC,-96.0,-6.0,1.0,P16aug
"
2022.08.16_11.03.21",7.073242,43.616715,5G,5G,-97.0,-3.0,14.0,9.0,-,0.0,0.0,172.0,172.0,I,PERIODIC,-100.0,-7.0,1.0,P16aug
"
2022.08.16_11.03.22",7.073242,43.616715,5G,5G,-98.0,-3.0,20.0,9.0,-,0.0,0.0,172.0,172.0,I,PERIODIC,-100.0,-7.0,1.0,P16aug
"
2022.08.16_11.03.23",7.073242,43.616715,5G,5G,-98.0,-3.0,20.0,11.0,-,0.0,0.0,172.0,172.0,I,PERIODIC,-97.0,-5.0,1.0,P16aug
"
2022.08.16_11.03.24",7.073351,43.616658,5G,5G,-98.0,-3.0,20.0,11.0,-,0.0,0.0,172.0,172.0,I,,-97.0,-5.0,1.0,P16aug
"
2022.08.16_11.03.24",7.073351,43.616658,5G,5G,-98.0,-3.0,20.0,11.0,-,0.0,0.0,172.0,172.0,I,PERIODIC,-97.0,-5.0,1.0,P16aug
