Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.19_15.48.29",7.071785,43.615266999999996,5G,5G,-94.0,-3.0,11.0,5.0,-,32.0,38.0,182.0,182.0,D,LOG START,-100.0,-8.0,9.0,2P19aug
"
2022.08.19_15.48.29",7.071785,43.615266999999996,5G,5G,-94.0,-3.0,11.0,5.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,-100.0,-8.0,9.0,2P19aug
"
2022.08.19_15.48.29",7.071911999999999,43.615269,5G,5G,-94.0,-3.0,11.0,5.0,-,0.0,0.0,180.0,180.0,D,,-100.0,-8.0,9.0,2P19aug
"
2022.08.19_15.48.30",7.071911999999999,43.615269,5G,5G,-94.0,-3.0,11.0,8.0,-,1.0,0.0,180.0,180.0,D,PERIODIC,-99.0,-7.0,8.0,2P19aug
"
2022.08.19_15.48.31",7.071911999999999,43.615269,5G,5G,-90.0,-3.0,18.0,8.0,-,0.0,0.0,180.0,180.0,D,PERIODIC,-99.0,-7.0,8.0,2P19aug
"
2022.08.19_15.48.32",7.071911999999999,43.615269,5G,5G,-90.0,-3.0,18.0,2.0,-,3.0,2.0,180.0,180.0,D,PERIODIC,-100.0,-7.0,8.0,2P19aug
"
2022.08.19_15.48.33",7.071911999999999,43.615269,5G,5G,-90.0,-3.0,18.0,2.0,-,0.0,0.0,180.0,180.0,D,PERIODIC,-100.0,-7.0,8.0,2P19aug
"
2022.08.19_15.48.34",7.071911999999999,43.615269,5G,5G,-89.0,-3.0,18.0,8.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-101.0,-8.0,7.0,2P19aug
"
2022.08.19_15.48.35",7.071911999999999,43.615269,5G,5G,-93.0,-3.0,14.0,8.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-101.0,-8.0,7.0,2P19aug
"
2022.08.19_15.48.36",7.071911999999999,43.615269,5G,5G,-94.0,-3.0,13.0,9.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-100.0,-8.0,11.0,2P19aug
"
2022.08.19_15.48.37",7.071911999999999,43.615269,5G,5G,-86.0,-3.0,19.0,9.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-100.0,-8.0,11.0,2P19aug
