Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.20_17.45.29",7.069147,43.615557,4G,LTE,-103.0,-13.0,9.0,-,-103.0,0.0,0.0,187.0,187.0,I,LOG START,4P20o
"
2022.10.20_17.45.30",7.0690800000000005,43.615613,4G,LTE,-103.0,-13.0,9.0,-,-105.0,0.0,0.0,184.0,184.0,I,,4P20o
"
2022.10.20_17.45.30",7.0690800000000005,43.615613,4G,LTE,-103.0,-13.0,9.0,-,-105.0,0.0,0.0,184.0,184.0,I,PERIODIC,4P20o
"
2022.10.20_17.45.31",7.0690800000000005,43.615613,4G,LTE,-105.0,-13.0,10.0,-,-105.0,0.0,0.0,184.0,184.0,I,PERIODIC,4P20o
"
2022.10.20_17.45.32",7.0690800000000005,43.615613,4G,LTE,-105.0,-13.0,10.0,-,-103.0,0.0,0.0,184.0,184.0,I,PERIODIC,4P20o
"
2022.10.20_17.45.33",7.0690800000000005,43.615613,4G,LTE,-103.0,-12.0,12.0,-,-103.0,0.0,0.0,184.0,184.0,D,PERIODIC,4P20o
"
2022.10.20_17.45.34",7.0690800000000005,43.615613,4G,LTE,-103.0,-12.0,12.0,-,-103.0,76.0,35.0,184.0,184.0,D,PERIODIC,4P20o
"
2022.10.20_17.45.35",7.0690800000000005,43.615613,4G,LTE,-98.0,-12.0,14.0,12,-99.0,44.0,6.0,184.0,184.0,D,PERIODIC,4P20o
"
2022.10.20_17.45.36",7.0690800000000005,43.615613,4G,LTE,-98.0,-12.0,14.0,12,-101.0,139.0,63.0,184.0,184.0,D,PERIODIC,4P20o
"
2022.10.20_17.45.37",7.0690800000000005,43.615613,4G,LTE,-101.0,-12.0,12.0,11,-101.0,171.0,40.0,184.0,184.0,D,PERIODIC,4P20o
"
2022.10.20_17.45.38",7.0690800000000005,43.615613,4G,LTE,-101.0,-12.0,12.0,11,-101.0,52.0,8.0,184.0,184.0,D,PERIODIC,4P20o
