Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.08_16.06.56",7.069141,43.615027000000005,4G,LTE,-98.0,-14.0,-5.0,13.0,-80,0.0,0.0,181.0,181.0,I,LOG START,4P7s
"
2022.09.08_16.06.56",7.069141,43.615027000000005,4G,LTE,-96.0,-12.0,-5.0,13.0,-80,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.06.57",7.069141,43.615027000000005,4G,LTE,-96.0,-12.0,-5.0,15.0,-78,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.06.58",7.069141,43.615027000000005,4G,LTE,-96.0,-14.0,-3.0,15.0,-78,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.06.59",7.069141,43.615027000000005,4G,LTE,-96.0,-14.0,-3.0,13.0,-83,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.00",7.069141,43.615027000000005,4G,LTE,-97.0,-12.0,0.0,12.0,-84,0.0,0.0,181.0,181.0,I,CELL_RESELECTION_4G4G,4P7s
"
2022.09.08_16.07.01",7.069141,43.615027000000005,4G,LTE,-97.0,-12.0,0.0,11.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.02",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,12.0,8.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.03",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,12.0,11.0,-82,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.05",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,9.0,11.0,-82,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.06",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,9.0,11.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.06",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,10.0,11.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.08",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,10.0,11.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.09",7.069141,43.615027000000005,4G,LTE,-98.0,-10.0,9.0,14.0,-80,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.10",7.069141,43.615027000000005,4G,LTE,-98.0,-10.0,9.0,14.0,-82,18.0,1.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.10",7.069141,43.615027000000005,4G,LTE,-99.0,-8.0,12.0,14.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.12",7.069141,43.615027000000005,4G,LTE,-99.0,-8.0,12.0,12.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.13",7.069141,43.615027000000005,4G,LTE,-101.0,-7.0,9.0,11.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.14",7.069141,43.615027000000005,4G,LTE,-101.0,-7.0,9.0,12.0,-82,0.0,1.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.15",7.069141,43.615027000000005,4G,LTE,-98.0,-11.0,8.0,12.0,-82,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.16",7.069141,43.615027000000005,4G,LTE,-98.0,-11.0,8.0,12.0,-82,0.0,1.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.17",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,8.0,11.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.18",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,8.0,11.0,-,30.0,35.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.19",7.069141,43.615027000000005,4G,LTE,-102.0,-12.0,9.0,11.0,-,78.0,25.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.20",7.069141,43.615027000000005,4G,LTE,-102.0,-12.0,9.0,11.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.21",7.069141,43.615027000000005,4G,LTE,-101.0,-9.0,10.0,9.0,-82,1.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.22",7.069141,43.615027000000005,4G,LTE,-101.0,-9.0,10.0,9.0,-82,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.23",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,2.0,12.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.24",7.069141,43.615027000000005,4G,LTE,-99.0,-12.0,2.0,11.0,-82,18.0,3.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.25",7.069141,43.615027000000005,4G,LTE,-98.0,-12.0,6.0,11.0,-82,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.26",7.069141,43.615027000000005,4G,LTE,-98.0,-12.0,6.0,14.0,-86,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.27",7.069141,43.615027000000005,4G,LTE,-103.0,-13.0,15.0,10.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.28",7.069141,43.615027000000005,4G,LTE,-103.0,-13.0,15.0,10.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.29",7.069141,43.615027000000005,4G,LTE,-105.0,-12.0,7.0,12.0,-85,18.0,2.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.30",7.069141,43.615027000000005,4G,LTE,-105.0,-12.0,7.0,14.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.31",7.069141,43.615027000000005,4G,LTE,-99.0,-10.0,14.0,15.0,-85,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.32",7.069141,43.615027000000005,4G,LTE,-99.0,-10.0,14.0,9.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.33",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,13.0,13.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.34",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,13.0,13.0,-87,18.0,3.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.35",7.069141,43.615027000000005,4G,LTE,-106.0,-10.0,9.0,9.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.36",7.069141,43.615027000000005,4G,LTE,-106.0,-10.0,9.0,6.0,-85,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.37",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,8.0,11.0,-,0.0,0.0,181.0,181.0,I,CELL_RESELECTION_4G4G,4P7s
"
2022.09.08_16.07.38",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,8.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.39",7.069141,43.615027000000005,4G,LTE,-102.0,-11.0,2.0,15.0,-,18.0,3.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.40",7.069141,43.615027000000005,4G,LTE,-102.0,-11.0,2.0,10.0,-,1.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.41",7.069141,43.615027000000005,4G,LTE,-100.0,-11.0,-4.0,10.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.42",7.069141,43.615027000000005,4G,LTE,-100.0,-11.0,-4.0,10.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.43",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,-7.0,14.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.44",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,-7.0,14.0,-,18.0,3.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.45",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,-7.0,14.0,-85,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.46",7.069141,43.615027000000005,4G,LTE,-101.0,-10.0,2.0,14.0,-83,3.0,23.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.47",7.069141,43.615027000000005,4G,LTE,-101.0,-10.0,2.0,13.0,-85,38.0,9.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.48",7.069141,43.615027000000005,4G,LTE,-101.0,-8.0,3.0,12.0,-,0.0,4.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.49",7.069141,43.615027000000005,4G,LTE,-101.0,-8.0,3.0,12.0,-,19.0,3.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.50",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,2.0,12.0,-,25.0,18.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.51",7.069141,43.615027000000005,4G,LTE,-102.0,-10.0,2.0,13.0,-,74.0,68.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.52",7.069141,43.615027000000005,4G,LTE,-100.0,-9.0,9.0,13.0,-,45.0,12.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.53",7.069141,43.615027000000005,4G,LTE,-100.0,-9.0,9.0,13.0,-,333.0,190.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.54",7.069141,43.615027000000005,4G,LTE,-100.0,-15.0,0.0,13.0,-,125.0,15.0,181.0,181.0,D,PERIODIC,4P7s
"
2022.09.08_16.07.55",7.069141,43.615027000000005,4G,LTE,-100.0,-15.0,0.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,4P7s
"
2022.09.08_16.07.56",7.069141,43.615027000000005,4G,LTE,-99.0,-13.0,8.0,6.0,-79,2.0,0.0,181.0,181.0,D,PERIODIC,4P7s
