Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_16.52.58",7.108316,43.569132,4G,LTE,-98.0,-13.0,4.0,8.0,-82,18.0,2.0,201.0,201.0,D,LOG START,4Pb9s
"
2022.09.09_16.52.59",7.108316,43.569132,4G,LTE,-100.0,-12.0,1.0,8.0,-82,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.00",7.108316,43.569132,4G,LTE,-100.0,-12.0,1.0,7.0,-82,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.01",7.108316,43.569132,4G,LTE,-99.0,-12.0,3.0,6.0,-80,2.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.02",7.108316,43.569132,4G,LTE,-99.0,-12.0,3.0,6.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.03",7.108316,43.569132,4G,LTE,-97.0,-9.0,4.0,7.0,-82,18.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.04",7.108316,43.569132,4G,LTE,-97.0,-9.0,4.0,7.0,-80,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.05",7.108316,43.569132,4G,LTE,-96.0,-10.0,4.0,7.0,-80,53.0,6.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.06",7.108316,43.569132,4G,LTE,-96.0,-10.0,4.0,10.0,-82,6.0,15.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.07",7.108316,43.569132,4G,LTE,-97.0,-12.0,4.0,7.0,-80,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.08",7.108316,43.569132,4G,LTE,-97.0,-12.0,4.0,11.0,-78,18.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.09",7.108316,43.569132,4G,LTE,-96.0,-13.0,4.0,11.0,-81,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.10",7.108316,43.569132,4G,LTE,-96.0,-13.0,4.0,11.0,-81,0.0,4.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.11",7.108316,43.569132,4G,LTE,-98.0,-13.0,3.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.12",7.108316,43.569132,4G,LTE,-98.0,-13.0,3.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.13",7.108316,43.569132,4G,LTE,-98.0,-13.0,3.0,11.0,-81,61.0,14.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.14",7.108316,43.569132,4G,LTE,-111.0,-13.0,3.0,10.0,-81,11.0,11.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.15",7.108316,43.569132,4G,LTE,-111.0,-13.0,3.0,6.0,-79,2.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.16",7.108316,43.569132,4G,LTE,-96.0,-11.0,3.0,6.0,-79,13.0,34.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.17",7.108316,43.569132,4G,LTE,-96.0,-11.0,3.0,10.0,-81,11.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.18",7.108316,43.569132,4G,LTE,-99.0,-11.0,2.0,10.0,-81,61.0,34.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.19",7.108316,43.569132,4G,LTE,-99.0,-11.0,2.0,10.0,-81,1.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.20",7.108316,43.569132,4G,LTE,-98.0,-12.0,7.0,11.0,-79,190.0,54.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.21",7.108316,43.569132,4G,LTE,-98.0,-12.0,7.0,10.0,-81,7.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.22",7.108316,43.569132,4G,LTE,-98.0,-14.0,-3.0,9.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.23",7.108316,43.569132,4G,LTE,-98.0,-14.0,-3.0,8.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.24",7.108316,43.569132,4G,LTE,-97.0,-13.0,4.0,11.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.25",7.108316,43.569132,4G,LTE,-97.0,-13.0,4.0,7.0,-81,0.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.26",7.108316,43.569132,4G,LTE,-98.0,-13.0,4.0,7.0,-81,9.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.27",7.108316,43.569132,4G,LTE,-98.0,-13.0,4.0,7.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.28",7.108316,43.569132,4G,LTE,-99.0,-12.0,2.0,7.0,-81,18.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.29",7.108316,43.569132,4G,LTE,-99.0,-12.0,2.0,7.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.30",7.108316,43.569132,4G,LTE,-98.0,-14.0,2.0,9.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.31",7.108316,43.569132,4G,LTE,-98.0,-14.0,2.0,9.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.32",7.108316,43.569132,4G,LTE,-96.0,-10.0,5.0,11.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.33",7.108316,43.569132,4G,LTE,-96.0,-10.0,5.0,11.0,-79,18.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.34",7.108316,43.569132,4G,LTE,-98.0,-14.0,0.0,10.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.35",7.108316,43.569132,4G,LTE,-98.0,-14.0,0.0,10.0,-86,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.36",7.108316,43.569132,4G,LTE,-105.0,-12.0,5.0,9.0,-86,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.38",7.108316,43.569132,4G,LTE,-105.0,-12.0,5.0,8.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.38",7.108316,43.569132,4G,LTE,-99.0,-13.0,-1.0,5.0,-91,0.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.40",7.108316,43.569132,4G,LTE,-99.0,-13.0,-1.0,6.0,-93,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.41",7.108316,43.569132,4G,LTE,-109.0,-10.0,0.0,6.0,-93,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.41",7.108316,43.569132,4G,LTE,-109.0,-10.0,0.0,6.0,-93,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.43",7.108316,43.569132,4G,LTE,-108.0,-11.0,4.0,6.0,-91,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.43",7.108316,43.569132,4G,LTE,-108.0,-11.0,4.0,10.0,-82,18.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.44",7.108316,43.569132,4G,LTE,-98.0,-13.0,4.0,7.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.45",7.108316,43.569132,4G,LTE,-98.0,-13.0,4.0,12.0,-87,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.46",7.108316,43.569132,4G,LTE,-98.0,-13.0,2.0,13.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.47",7.108316,43.569132,4G,LTE,-98.0,-13.0,2.0,13.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.48",7.108316,43.569132,4G,LTE,-100.0,-13.0,3.0,13.0,-80,18.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.49",7.108316,43.569132,4G,LTE,-100.0,-13.0,3.0,12.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.50",7.108316,43.569132,4G,LTE,-97.0,-12.0,6.0,11.0,-80,3.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.51",7.108316,43.569132,4G,LTE,-97.0,-12.0,6.0,11.0,-80,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.53",7.108316,43.569132,4G,LTE,-98.0,-15.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.54",7.108316,43.569132,4G,LTE,-98.0,-15.0,-2.0,11.0,-80,18.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.53.55",7.108316,43.569132,4G,LTE,-98.0,-15.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.56",7.108316,43.569132,4G,LTE,-98.0,-15.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.57",7.108316,43.569132,4G,LTE,-97.0,-14.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.58",7.108316,43.569132,4G,LTE,-97.0,-14.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.53.59",7.108316,43.569132,4G,LTE,-98.0,-13.0,-2.0,11.0,-80,18.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.00",7.108316,43.569132,4G,LTE,-98.0,-13.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.01",7.108316,43.569132,4G,LTE,-98.0,-15.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.02",7.108316,43.569132,4G,LTE,-98.0,-15.0,-3.0,11.0,-82,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.03",7.108316,43.569132,4G,LTE,-98.0,-14.0,-1.0,11.0,-82,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.04",7.108316,43.569132,4G,LTE,-98.0,-14.0,-1.0,11.0,-80,72.0,8.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.05",7.108316,43.569132,4G,LTE,-97.0,-14.0,-2.0,11.0,-80,5.0,24.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.06",7.108316,43.569132,4G,LTE,-97.0,-14.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.07",7.108316,43.569132,4G,LTE,-98.0,-14.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.08",7.108316,43.569132,4G,LTE,-98.0,-14.0,-3.0,11.0,-80,0.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.09",7.108316,43.569132,4G,LTE,-96.0,-13.0,-3.0,11.0,-80,18.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.10",7.108316,43.569132,4G,LTE,-96.0,-13.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.11",7.108316,43.569132,4G,LTE,-96.0,-14.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.12",7.108316,43.569132,4G,LTE,-96.0,-14.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.13",7.108316,43.569132,4G,LTE,-96.0,-15.0,-3.0,11.0,-80,0.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.14",7.108316,43.569132,4G,LTE,-96.0,-15.0,-3.0,11.0,-80,18.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.15",7.108316,43.569132,4G,LTE,-96.0,-14.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.16",7.108316,43.569132,4G,LTE,-96.0,-14.0,-3.0,11.0,-80,2.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.17",7.108316,43.569132,4G,LTE,-98.0,-14.0,-3.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.18",7.108316,43.569132,4G,LTE,-98.0,-14.0,-3.0,11.0,-80,2.0,3.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.19",7.108316,43.569132,4G,LTE,-97.0,-14.0,-4.0,11.0,-80,18.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.20",7.108316,43.569132,4G,LTE,-97.0,-14.0,-4.0,12.0,-78,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.21",7.108316,43.569132,4G,LTE,-97.0,-14.0,0.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.22",7.108316,43.569132,4G,LTE,-97.0,-14.0,0.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.23",7.108316,43.569132,4G,LTE,-97.0,-14.0,-3.0,11.0,-80,0.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.24",7.108316,43.569132,4G,LTE,-97.0,-14.0,-3.0,11.0,-80,18.0,1.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.25",7.108316,43.569132,4G,LTE,-97.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.26",7.108316,43.569132,4G,LTE,-97.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.27",7.108316,43.569132,4G,LTE,-96.0,-14.0,-4.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.28",7.108316,43.569132,4G,LTE,-96.0,-14.0,-4.0,11.0,-80,18.0,2.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.30",7.108316,43.569132,4G,LTE,-97.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.30",7.108316,43.569132,4G,LTE,-97.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.31",7.108316,43.569132,4G,LTE,-98.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.32",7.108316,43.569132,4G,LTE,-98.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.33",7.108316,43.569132,4G,LTE,-97.0,-14.0,-2.0,11.0,-80,20.0,4.0,201.0,201.0,D,PERIODIC,4Pb9s
"
2022.09.09_16.54.34",7.108316,43.569132,4G,LTE,-97.0,-14.0,-2.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.35",7.108316,43.569132,4G,LTE,-97.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.36",7.108316,43.569132,4G,LTE,-97.0,-14.0,-1.0,11.0,-80,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
"
2022.09.09_16.54.38",7.108316,43.569132,4G,LTE,-96.0,-15.0,2.0,11.0,-78,0.0,0.0,201.0,201.0,I,PERIODIC,4Pb9s
