Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.10.20_17.53.14",7.06388,43.616402,4G,LTE,-102.0,-11.0,16.0,11.0,-103.0,0.0,0.0,177.0,177.0,I,LOG START,4Pe20o
"
2022.10.20_17.53.15",7.0638190000000005,43.616417999999996,4G,LTE,-102.0,-11.0,16.0,11.0,-103.0,0.0,0.0,176.0,176.0,I,,4Pe20o
"
2022.10.20_17.53.15",7.0638190000000005,43.616417999999996,4G,LTE,-102.0,-11.0,16.0,11.0,-103.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Pe20o
"
2022.10.20_17.53.16",7.0638190000000005,43.616417999999996,4G,LTE,-101.0,-12.0,-9.0,9.0,-105.0,6.0,0.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.17",7.0638190000000005,43.616417999999996,4G,LTE,-101.0,-12.0,-9.0,9.0,-105.0,0.0,6.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.18",7.0638190000000005,43.616417999999996,4G,LTE,-104.0,-12.0,12.0,10.0,-105.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Pe20o
"
2022.10.20_17.53.19",7.0638190000000005,43.616417999999996,4G,LTE,-104.0,-12.0,12.0,10.0,-105.0,265.0,107.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.20",7.0638190000000005,43.616417999999996,4G,LTE,-105.0,-12.0,11.0,10.0,-101.0,45.0,7.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.21",7.0638190000000005,43.616417999999996,4G,LTE,-105.0,-12.0,11.0,10.0,-101.0,93.0,28.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.22",7.0638190000000005,43.616417999999996,4G,LTE,-102.0,-12.0,11.0,11.0,-103.0,161.0,55.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.23",7.0638190000000005,43.616417999999996,4G,LTE,-102.0,-12.0,11.0,11.0,-107.0,207.0,80.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.24",7.0638190000000005,43.616417999999996,4G,LTE,-103.0,-13.0,8.0,7.0,-103.0,6.0,1.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.25",7.0638190000000005,43.616417999999996,4G,LTE,-103.0,-13.0,8.0,7.0,-103.0,4.0,0.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.26",7.063706,43.616459000000006,4G,LTE,-103.0,-13.0,8.0,7.0,-101.0,4.0,0.0,176.0,176.0,D,,4Pe20o
"
2022.10.20_17.53.26",7.063706,43.616459000000006,4G,LTE,-100.0,-13.0,-12.0,11.0,-101.0,1.0,0.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.27",7.063706,43.616459000000006,4G,LTE,-100.0,-13.0,-12.0,11.0,-101.0,2.0,1.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.28",7.063706,43.616459000000006,4G,LTE,-104.0,-13.0,-12.0,9.0,-105.0,0.0,0.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.29",7.063706,43.616459000000006,4G,LTE,-104.0,-13.0,-12.0,9.0,-105.0,25.0,9.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.30",7.063706,43.616459000000006,4G,LTE,-102.0,-12.0,-13.0,12.0,-103.0,0.0,0.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.31",7.063706,43.616459000000006,4G,LTE,-102.0,-12.0,-13.0,12.0,-103.0,0.0,0.0,176.0,176.0,I,PERIODIC,4Pe20o
"
2022.10.20_17.53.32",7.063706,43.616459000000006,4G,LTE,-103.0,-10.0,-10.0,9.0,-103.0,0.0,0.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.33",7.063706,43.616459000000006,4G,LTE,-103.0,-10.0,-10.0,9.0,-105.0,1.0,1.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.34",7.063706,43.616459000000006,4G,LTE,-104.0,-13.0,-10.0,9.0,-105.0,75.0,59.0,176.0,176.0,D,PERIODIC,4Pe20o
"
2022.10.20_17.53.35",7.063586999999999,43.616487,4G,LTE,-104.0,-13.0,-10.0,9.0,-105.0,75.0,59.0,176.0,176.0,D,,4Pe20o
