Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.30_16.51.17",7.0760190000000005,43.61788,4G,LTE,-86.0,-10.0,6.0,8.0,-70,0.0,0.0,182.0,182.0,I,LOG START,4Po30
"
2022.08.30_16.51.18",7.0760190000000005,43.61788,4G,LTE,-86.0,-11.0,5.0,8.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.19",7.0760190000000005,43.61788,4G,LTE,-86.0,-11.0,5.0,8.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.20",7.0760190000000005,43.61788,4G,LTE,-88.0,-8.0,6.0,8.0,-72,0.0,1.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.21",7.075808,43.618016,4G,LTE,-88.0,-8.0,6.0,12.0,-70,18.0,1.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.22",7.075808,43.618016,4G,LTE,-88.0,-10.0,8.0,12.0,-70,0.0,0.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.23",7.075808,43.618016,4G,LTE,-88.0,-10.0,8.0,12.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.24",7.075808,43.618016,4G,LTE,-87.0,-11.0,6.0,12.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.25",7.075808,43.618016,4G,LTE,-87.0,-11.0,6.0,12.0,-70,230.0,98.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.26",7.075808,43.618016,4G,LTE,-86.0,-10.0,8.0,8.0,-68,340.0,28.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.27",7.075808,43.618016,4G,LTE,-86.0,-10.0,8.0,8.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.28",7.075808,43.618016,4G,LTE,-86.0,-8.0,7.0,8.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.29",7.075808,43.618016,4G,LTE,-86.0,-8.0,7.0,8.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.30",7.075808,43.618016,4G,LTE,-86.0,-7.0,6.0,8.0,-68,19.0,2.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.31",7.075808,43.618016,4G,LTE,-86.0,-7.0,6.0,8.0,-70,303.0,78.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.32",7.075808,43.618016,4G,LTE,-86.0,-14.0,6.0,8.0,-70,1.0,11.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.33",7.075808,43.618016,4G,LTE,-86.0,-14.0,6.0,11.0,-68,96.0,16.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.34",7.075808,43.618016,4G,LTE,-86.0,-10.0,8.0,11.0,-68,13.0,1.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.35",7.075808,43.618016,4G,LTE,-86.0,-10.0,8.0,9.0,-70,244.0,60.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.36",7.075808,43.618016,4G,LTE,-87.0,-10.0,6.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.37",7.075808,43.618016,4G,LTE,-87.0,-10.0,6.0,9.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.38",7.075808,43.618016,4G,LTE,-85.0,-12.0,7.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.39",7.075808,43.618016,4G,LTE,-85.0,-12.0,7.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.40",7.075808,43.618016,4G,LTE,-86.0,-12.0,6.0,9.0,-68,19.0,3.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.41",7.075808,43.618016,4G,LTE,-86.0,-12.0,6.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.42",7.075808,43.618016,4G,LTE,-85.0,-11.0,6.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.43",7.075808,43.618016,4G,LTE,-85.0,-11.0,6.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.44",7.075808,43.618016,4G,LTE,-85.0,-10.0,6.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.45",7.075808,43.618016,4G,LTE,-85.0,-10.0,6.0,9.0,-68,19.0,3.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.46",7.075808,43.618016,4G,LTE,-86.0,-11.0,8.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.47",7.075808,43.618016,4G,LTE,-86.0,-11.0,8.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.48",7.075808,43.618016,4G,LTE,-86.0,-12.0,7.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.49",7.075808,43.618016,4G,LTE,-86.0,-12.0,7.0,9.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.50",7.075808,43.618016,4G,LTE,-86.0,-9.0,6.0,11.0,-70,19.0,3.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.51",7.075808,43.618016,4G,LTE,-86.0,-9.0,6.0,11.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.52",7.075808,43.618016,4G,LTE,-86.0,-13.0,6.0,11.0,-70,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.53",7.075808,43.618016,4G,LTE,-86.0,-13.0,6.0,8.0,-68,0.0,0.0,182.0,182.0,I,PERIODIC,4Po30
"
2022.08.30_16.51.54",7.075808,43.618016,4G,LTE,-86.0,-9.0,5.0,10.0,-70,21.0,2.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.55",7.075808,43.618016,4G,LTE,-86.0,-9.0,5.0,10.0,-73,386.0,62.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.56",7.075808,43.618016,4G,LTE,-90.0,-12.0,4.0,10.0,-73,668.0,160.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.57",7.075808,43.618016,4G,LTE,-90.0,-12.0,4.0,10.0,-73,7580.0,387.0,182.0,182.0,D,PERIODIC,4Po30
"
2022.08.30_16.51.58",7.075808,43.618016,4G,LTE,-91.0,-12.0,3.0,10.0,-66,35475.0,259.0,182.0,182.0,D,PERIODIC,4Po30
