Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_15.53.22",7.120673,43.580731,4G,LTE,-101.0,-13.0,6.0,-,-101.0,0.0,0.0,85.0,85.0,I,LOG START,4Poi22n
"
2022.11.22_15.53.23",7.120673,43.580731,4G,LTE,-101.0,-13.0,6.0,-,-101.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.23",7.1207009999999995,43.580744,4G,LTE,-101.0,-13.0,6.0,-,-101.0,0.0,0.0,85.0,85.0,I,,4Poi22n
"
2022.11.22_15.53.24",7.1207009999999995,43.580744,4G,LTE,-101.0,-13.0,6.0,-,-101.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.25",7.1207009999999995,43.580744,4G,LTE,-100.0,-11.0,10.0,-,-101.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.26",7.1207009999999995,43.580744,4G,LTE,-100.0,-11.0,10.0,-,-101.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.27",7.1207009999999995,43.580744,4G,LTE,-99.0,-11.0,12.0,10,-101.0,14.0,58.0,85.0,85.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.28",7.1207009999999995,43.580744,4G,LTE,-99.0,-11.0,12.0,10,-95.0,71.0,61.0,85.0,85.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.29",7.1207009999999995,43.580744,4G,LTE,-95.0,-14.0,15.0,12,-93.0,31.0,6.0,85.0,85.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.30",7.1207009999999995,43.580744,4G,LTE,-95.0,-14.0,15.0,12,-93.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.31",7.1207009999999995,43.580744,4G,LTE,-93.0,-15.0,16.0,12,-95.0,12.0,3.0,85.0,85.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.32",7.1207009999999995,43.580744,4G,LTE,-93.0,-15.0,16.0,12,-93.0,2.0,6.0,85.0,85.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.33",7.1207009999999995,43.580744,4G,LTE,-92.0,-15.0,15.0,15,-93.0,96.0,19.0,85.0,85.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.34",7.1207009999999995,43.580744,4G,LTE,-92.0,-15.0,15.0,15,-93.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.35",7.1207009999999995,43.580744,4G,LTE,-92.0,-13.0,13.0,11,-93.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.36",7.1207009999999995,43.580744,4G,LTE,-92.0,-13.0,13.0,11,-93.0,0.0,0.0,85.0,85.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.36",7.120759,43.58083,4G,LTE,-92.0,-13.0,13.0,11,-93.0,0.0,0.0,83.0,83.0,I,,4Poi22n
"
2022.11.22_15.53.37",7.120759,43.58083,4G,LTE,-92.0,-13.0,13.0,11,-83.0,44.0,21.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.38",7.120759,43.58083,4G,LTE,-92.0,-13.0,13.0,11,-83.0,0.0,0.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.39",7.120759,43.58083,4G,LTE,-95.0,-14.0,8.0,12,-95.0,0.0,0.0,83.0,83.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.40",7.120759,43.58083,4G,LTE,-95.0,-14.0,8.0,12,-95.0,0.0,0.0,83.0,83.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.41",7.120759,43.58083,4G,LTE,-95.0,-14.0,8.0,12,-99.0,0.0,0.0,83.0,83.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.42",7.120759,43.58083,4G,LTE,-95.0,-14.0,8.0,12,-99.0,0.0,0.0,83.0,83.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.43",7.120759,43.58083,4G,LTE,-98.0,-16.0,14.0,-,-99.0,0.0,0.0,83.0,83.0,I,PERIODIC,4Poi22n
"
2022.11.22_15.53.44",7.120759,43.58083,4G,LTE,-98.0,-16.0,14.0,-,-99.0,32.0,32.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.45",7.120759,43.58083,4G,LTE,-101.0,-15.0,6.0,7,-99.0,88.0,23.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.46",7.120759,43.58083,4G,LTE,-101.0,-15.0,6.0,7,-99.0,623.0,110.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.47",7.120759,43.58083,4G,LTE,-98.0,-15.0,11.0,14,-99.0,32502.0,543.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.48",7.120759,43.58083,4G,LTE,-98.0,-15.0,11.0,14,-99.0,57338.0,210.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.49",7.120759,43.58083,4G,LTE,-96.0,-14.0,14.0,15,-97.0,62298.0,237.0,83.0,83.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.49",7.120769,43.58093,4G,LTE,-96.0,-14.0,14.0,15,-97.0,62298.0,237.0,82.0,82.0,D,,4Poi22n
"
2022.11.22_15.53.50",7.120769,43.58093,4G,LTE,-96.0,-14.0,14.0,15,-99.0,37593.0,117.0,82.0,82.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.51",7.120769,43.58093,4G,LTE,-98.0,-15.0,13.0,12,-99.0,4.0,6.0,82.0,82.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.52",7.120769,43.58093,4G,LTE,-98.0,-15.0,13.0,12,-99.0,76.0,47.0,82.0,82.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.53",7.120769,43.58093,4G,LTE,-99.0,-10.0,13.0,11,-99.0,34842.0,169.0,82.0,82.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.54",7.120769,43.58093,4G,LTE,-99.0,-10.0,13.0,11,-99.0,3.0,5.0,82.0,82.0,D,PERIODIC,4Poi22n
"
2022.11.22_15.53.55",7.120769,43.58093,4G,LTE,-99.0,-8.0,14.0,11,-97.0,27744.0,165.0,82.0,82.0,D,PERIODIC,4Poi22n
