Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.23_09.56.57",7.0442919999999996,43.620742,4G,LTE,-111.0,-15.0,-2.0,11.0,-113.0,0.0,0.0,209.0,209.0,I,LOG START,4Pq
"
2022.11.23_09.56.58",7.044262,43.620742,4G,LTE,-111.0,-15.0,-2.0,11.0,-113.0,3.0,12.0,196.0,196.0,D,,4Pq
"
2022.11.23_09.56.58",7.044262,43.620742,4G,LTE,-110.0,-12.0,-5.0,11.0,-113.0,3.0,12.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.56.59",7.044262,43.620742,4G,LTE,-110.0,-12.0,-5.0,11.0,-111.0,180.0,88.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.00",7.044262,43.620742,4G,LTE,-111.0,-15.0,3.0,8.0,-111.0,9.0,0.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.01",7.044262,43.620742,4G,LTE,-111.0,-15.0,3.0,8.0,-111.0,48.0,29.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.02",7.044262,43.620742,4G,LTE,-111.0,-15.0,0.0,11.0,-111.0,29.0,4.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.03",7.044262,43.620742,4G,LTE,-111.0,-15.0,0.0,11.0,-111.0,47.0,6.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.04",7.044262,43.620742,4G,LTE,-112.0,-13.0,-6.0,13.0,-111.0,11.0,3.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.05",7.044262,43.620742,4G,LTE,-112.0,-13.0,-6.0,13.0,-111.0,50.0,16.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.06",7.044262,43.620742,4G,LTE,-111.0,-12.0,5.0,15.0,-113.0,0.0,0.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.07",7.044262,43.620742,4G,LTE,-111.0,-12.0,5.0,15.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.08",7.044262,43.620742,4G,LTE,-114.0,-16.0,4.0,14.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.09",7.044262,43.620742,4G,LTE,-114.0,-16.0,4.0,14.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.10",7.044262,43.620742,4G,LTE,-115.0,-15.0,-1.0,10.0,-113.0,0.0,0.0,196.0,196.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.11",7.044262,43.620742,4G,LTE,-115.0,-15.0,-1.0,10.0,-111.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.12",7.044262,43.620742,4G,LTE,-111.0,-15.0,-2.0,9.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.13",7.044262,43.620742,4G,LTE,-111.0,-15.0,-2.0,9.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.14",7.044262,43.620742,4G,LTE,-113.0,-12.0,-3.0,9.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.15",7.044262,43.620742,4G,LTE,-113.0,-12.0,-3.0,9.0,-113.0,0.0,0.0,196.0,196.0,I,PERIODIC,4Pq
"
2022.11.23_09.57.16",7.044269,43.620837,4G,LTE,-113.0,-12.0,-3.0,9.0,-113.0,0.0,0.0,197.0,197.0,I,,4Pq
"
2022.11.23_09.57.16",7.044269,43.620837,4G,LTE,-113.0,-14.0,-7.0,8.0,-113.0,59.0,54.0,197.0,197.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.17",7.044269,43.620837,4G,LTE,-113.0,-14.0,-7.0,8.0,-113.0,726.0,189.0,197.0,197.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.18",7.044269,43.620837,4G,LTE,-113.0,-14.0,-7.0,8.0,-113.0,15173.0,398.0,197.0,197.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.19",7.044269,43.620837,4G,LTE,-115.0,-15.0,-3.0,10.0,-113.0,26395.0,159.0,197.0,197.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.20",7.044269,43.620837,4G,LTE,-115.0,-15.0,-3.0,10.0,-113.0,33290.0,199.0,197.0,197.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.21",7.044269,43.620837,4G,LTE,-114.0,-15.0,-4.0,11.0,-113.0,28749.0,164.0,197.0,197.0,D,PERIODIC,4Pq
"
2022.11.23_09.57.22",7.044269,43.620837,4G,LTE,-114.0,-15.0,-4.0,11.0,-113.0,31678.0,176.0,197.0,197.0,D,PERIODIC,4Pq
