Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.11.22_15.19.25",7.119662,43.585914,4G,LTE,-90.0,-12.0,9.0,-,-91.0,0.0,0.0,60.0,60.0,I,LOG START,4Pu22n
"
2022.11.22_15.19.26",7.11965,43.58589,4G,LTE,-90.0,-12.0,9.0,-,-91.0,0.0,0.0,59.0,59.0,I,,4Pu22n
"
2022.11.22_15.19.26",7.11965,43.58589,4G,LTE,-91.0,-13.0,7.0,10,-91.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.27",7.11965,43.58589,4G,LTE,-91.0,-13.0,7.0,10,-91.0,0.0,0.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.28",7.11965,43.58589,4G,LTE,-91.0,-14.0,13.0,14,-91.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.29",7.11965,43.58589,4G,LTE,-91.0,-14.0,13.0,14,-91.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.30",7.11965,43.58589,4G,LTE,-91.0,-15.0,3.0,13,-91.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.31",7.11965,43.58589,4G,LTE,-91.0,-15.0,3.0,13,-91.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.32",7.11965,43.58589,4G,LTE,-93.0,-14.0,16.0,14,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.33",7.11965,43.58589,4G,LTE,-93.0,-14.0,16.0,14,-89.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.34",7.11965,43.58589,4G,LTE,-89.0,-13.0,17.0,14,-89.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.35",7.11965,43.58589,4G,LTE,-89.0,-13.0,17.0,14,-89.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.36",7.11965,43.58589,4G,LTE,-92.0,-14.0,11.0,-,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.37",7.11965,43.58589,4G,LTE,-92.0,-14.0,11.0,-,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.38",7.11965,43.58589,4G,LTE,-92.0,-14.0,11.0,-,-89.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.39",7.11965,43.58589,4G,LTE,-89.0,-14.0,14.0,14,-89.0,4.0,6.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.40",7.11965,43.58589,4G,LTE,-89.0,-14.0,14.0,14,-93.0,46.0,18.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.41",7.119621,43.585803000000006,4G,LTE,-89.0,-14.0,14.0,14,-97.0,46.0,18.0,59.0,59.0,D,,4Pu22n
"
2022.11.22_15.19.41",7.119621,43.585803000000006,4G,LTE,-96.0,-15.0,13.0,13,-97.0,32.0,17.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.42",7.119621,43.585803000000006,4G,LTE,-96.0,-15.0,13.0,13,-93.0,12.0,3.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.43",7.119621,43.585803000000006,4G,LTE,-93.0,-13.0,5.0,15,-91.0,8.0,13.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.44",7.119621,43.585803000000006,4G,LTE,-93.0,-13.0,5.0,15,-95.0,52.0,17.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.45",7.119621,43.585803000000006,4G,LTE,-95.0,-13.0,3.0,10,-95.0,37.0,16.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.46",7.119621,43.585803000000006,4G,LTE,-95.0,-13.0,3.0,10,-95.0,0.0,0.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.47",7.119621,43.585803000000006,4G,LTE,-94.0,-14.0,6.0,9,-95.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.48",7.119621,43.585803000000006,4G,LTE,-94.0,-14.0,6.0,9,-93.0,1.0,0.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.49",7.119621,43.585803000000006,4G,LTE,-92.0,-13.0,6.0,9,-91.0,0.0,0.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.50",7.119621,43.585803000000006,4G,LTE,-92.0,-13.0,6.0,9,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.51",7.119621,43.585803000000006,4G,LTE,-93.0,-14.0,-1.0,14,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.52",7.119621,43.585803000000006,4G,LTE,-93.0,-14.0,-1.0,14,-93.0,0.0,0.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.53",7.119621,43.585803000000006,4G,LTE,-93.0,-12.0,8.0,14,-97.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.54",7.119578,43.585716999999995,4G,LTE,-93.0,-12.0,8.0,14,-97.0,0.0,0.0,59.0,59.0,I,,4Pu22n
"
2022.11.22_15.19.54",7.119578,43.585716999999995,4G,LTE,-93.0,-12.0,8.0,14,-97.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.55",7.119578,43.585716999999995,4G,LTE,-93.0,-12.0,8.0,14,-97.0,12.0,14.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.56",7.119578,43.585716999999995,4G,LTE,-96.0,-14.0,6.0,13,-93.0,0.0,0.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.19.57",7.119578,43.585716999999995,4G,LTE,-96.0,-14.0,6.0,13,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.58",7.119578,43.585716999999995,4G,LTE,-91.0,-13.0,7.0,9,-93.0,0.0,0.0,59.0,59.0,I,PERIODIC,4Pu22n
"
2022.11.22_15.19.59",7.119578,43.585716999999995,4G,LTE,-91.0,-13.0,7.0,9,-93.0,287.0,24.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.00",7.119578,43.585716999999995,4G,LTE,-92.0,-15.0,2.0,12,-97.0,853.0,185.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.01",7.119578,43.585716999999995,4G,LTE,-92.0,-15.0,2.0,12,-97.0,1518.0,249.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.02",7.119578,43.585716999999995,4G,LTE,-97.0,-13.0,6.0,14,-97.0,2342.0,210.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.03",7.119578,43.585716999999995,4G,LTE,-97.0,-13.0,6.0,14,-97.0,1623.0,65.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.04",7.119578,43.585716999999995,4G,LTE,-96.0,-13.0,5.0,11,-93.0,2214.0,92.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.05",7.119578,43.585716999999995,4G,LTE,-96.0,-13.0,5.0,11,-93.0,2382.0,60.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.06",7.119578,43.585716999999995,4G,LTE,-94.0,-14.0,5.0,14,-93.0,1723.0,77.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.07",7.119572,43.585623999999996,4G,LTE,-94.0,-14.0,5.0,14,-97.0,1723.0,77.0,59.0,59.0,D,,4Pu22n
"
2022.11.22_15.20.07",7.119572,43.585623999999996,4G,LTE,-94.0,-14.0,5.0,14,-97.0,1825.0,55.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.08",7.119572,43.585623999999996,4G,LTE,-96.0,-14.0,2.0,11,-97.0,2479.0,51.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.09",7.119572,43.585623999999996,4G,LTE,-96.0,-14.0,2.0,11,-93.0,2557.0,51.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.10",7.119572,43.585623999999996,4G,LTE,-93.0,-13.0,3.0,12,-93.0,2054.0,73.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.11",7.119572,43.585623999999996,4G,LTE,-93.0,-13.0,3.0,12,-93.0,1986.0,41.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.12",7.119572,43.585623999999996,4G,LTE,-94.0,-13.0,6.0,10,-95.0,1919.0,58.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.13",7.119572,43.585623999999996,4G,LTE,-94.0,-13.0,6.0,10,-91.0,1881.0,44.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.14",7.119572,43.585623999999996,4G,LTE,-91.0,-13.0,5.0,11,-91.0,1672.0,48.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.15",7.119572,43.585623999999996,4G,LTE,-91.0,-13.0,5.0,11,-91.0,1799.0,46.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.16",7.119572,43.585623999999996,4G,LTE,-91.0,-13.0,5.0,10,-91.0,1796.0,58.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.17",7.119572,43.585623999999996,4G,LTE,-91.0,-13.0,5.0,10,-89.0,1893.0,73.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.18",7.1195710000000005,43.585532,4G,LTE,-91.0,-13.0,5.0,10,-89.0,1893.0,73.0,59.0,59.0,D,,4Pu22n
"
2022.11.22_15.20.18",7.1195710000000005,43.585532,4G,LTE,-89.0,-15.0,3.0,11,-89.0,1949.0,43.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.19",7.1195710000000005,43.585532,4G,LTE,-89.0,-15.0,3.0,11,-87.0,2232.0,47.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.20",7.1195710000000005,43.585532,4G,LTE,-87.0,-15.0,6.0,12,-89.0,2236.0,65.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.21",7.1195710000000005,43.585532,4G,LTE,-87.0,-15.0,6.0,12,-93.0,2051.0,63.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.22",7.1195710000000005,43.585532,4G,LTE,-92.0,-14.0,6.0,11,-89.0,1978.0,59.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.23",7.1195710000000005,43.585532,4G,LTE,-92.0,-14.0,6.0,11,-93.0,1112.0,29.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.24",7.1195710000000005,43.585532,4G,LTE,-93.0,-13.0,5.0,11,-93.0,1336.0,30.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.25",7.1195710000000005,43.585532,4G,LTE,-93.0,-13.0,5.0,11,-93.0,1619.0,44.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.26",7.1195710000000005,43.585532,4G,LTE,-92.0,-14.0,0.0,11,-93.0,1825.0,52.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.27",7.1195710000000005,43.585532,4G,LTE,-92.0,-14.0,0.0,11,-93.0,1595.0,34.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.28",7.1195710000000005,43.585532,4G,LTE,-93.0,-12.0,3.0,13,-93.0,1426.0,31.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.29",7.1195710000000005,43.585532,4G,LTE,-93.0,-12.0,3.0,13,-93.0,1527.0,34.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.30",7.1195710000000005,43.585532,4G,LTE,-94.0,-14.0,3.0,11,-93.0,1434.0,69.0,59.0,59.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.31",7.119594,43.585438,4G,LTE,-94.0,-14.0,3.0,11,-95.0,1434.0,69.0,58.0,58.0,D,,4Pu22n
"
2022.11.22_15.20.31",7.119594,43.585438,4G,LTE,-94.0,-14.0,3.0,11,-95.0,1202.0,27.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.32",7.119594,43.585438,4G,LTE,-95.0,-14.0,4.0,11,-95.0,1460.0,33.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.33",7.119594,43.585438,4G,LTE,-95.0,-14.0,4.0,11,-95.0,1628.0,35.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.34",7.119594,43.585438,4G,LTE,-94.0,-13.0,6.0,11,-95.0,1810.0,39.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.35",7.119594,43.585438,4G,LTE,-94.0,-13.0,6.0,11,-91.0,2143.0,44.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.36",7.119594,43.585438,4G,LTE,-91.0,-14.0,6.0,13,-91.0,2665.0,68.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.37",7.119594,43.585438,4G,LTE,-91.0,-14.0,6.0,13,-91.0,2681.0,55.0,58.0,58.0,D,PERIODIC,4Pu22n
"
2022.11.22_15.20.38",7.119594,43.585438,4G,LTE,-92.0,-13.0,5.0,12,-95.0,2700.0,87.0,58.0,58.0,D,PERIODIC,4Pu22n
