Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.10_16.23.50",7.100604,43.573287,4G,LTE,-80.0,-6.0,14.0,10.0,-63,20.0,3.0,214.0,214.0,D,LOG START,4Py
"
2022.09.10_16.23.51",7.100604,43.573287,4G,LTE,-79.0,-7.0,15.0,10.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.52",7.100604,43.573287,4G,LTE,-79.0,-7.0,15.0,10.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.53",7.10093,43.573128000000004,4G,LTE,-81.0,-6.0,15.0,12.0,-65,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.54",7.10093,43.573128000000004,4G,LTE,-81.0,-6.0,15.0,10.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.55",7.10093,43.573128000000004,4G,LTE,-80.0,-8.0,13.0,11.0,-65,18.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.23.56",7.10093,43.573128000000004,4G,LTE,-80.0,-8.0,13.0,11.0,-65,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.57",7.10093,43.573128000000004,4G,LTE,-81.0,-6.0,21.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.58",7.100855,43.573219,4G,LTE,-81.0,-6.0,21.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.23.59",7.100855,43.573219,4G,LTE,-80.0,-6.0,21.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.00",7.100855,43.573219,4G,LTE,-80.0,-6.0,21.0,12.0,-63,18.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.01",7.100855,43.573219,4G,LTE,-80.0,-6.0,20.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.02",7.100855,43.573219,4G,LTE,-80.0,-6.0,20.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.03",7.100855,43.573219,4G,LTE,-79.0,-6.0,16.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.04",7.100855,43.573219,4G,LTE,-79.0,-6.0,16.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.05",7.100855,43.573219,4G,LTE,-79.0,-6.0,16.0,12.0,-63,18.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.06",7.100855,43.573219,4G,LTE,-80.0,-9.0,13.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.07",7.100855,43.573219,4G,LTE,-80.0,-9.0,13.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.08",7.100855,43.573219,4G,LTE,-79.0,-6.0,17.0,7.0,-61,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.09",7.100855,43.573219,4G,LTE,-79.0,-6.0,17.0,7.0,-61,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.10",7.100855,43.573219,4G,LTE,-77.0,-7.0,17.0,7.0,-61,18.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.11",7.100855,43.573219,4G,LTE,-77.0,-7.0,17.0,7.0,-61,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.12",7.100855,43.573219,4G,LTE,-79.0,-6.0,26.0,7.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.13",7.100855,43.573219,4G,LTE,-79.0,-6.0,26.0,7.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.14",7.100855,43.573219,4G,LTE,-79.0,-7.0,20.0,7.0,-63,0.0,0.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.15",7.100855,43.573219,4G,LTE,-79.0,-7.0,20.0,7.0,-63,18.0,2.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.16",7.100855,43.573219,4G,LTE,-79.0,-6.0,22.0,8.0,-61,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.17",7.100855,43.573219,4G,LTE,-79.0,-6.0,22.0,14.0,-66,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.18",7.100855,43.573219,4G,LTE,-85.0,-4.0,26.0,10.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.19",7.100855,43.573219,4G,LTE,-85.0,-4.0,26.0,5.0,-61,0.0,0.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.21",7.100855,43.573219,4G,LTE,-78.0,-7.0,22.0,14.0,-62,18.0,2.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.21",7.100855,43.573219,4G,LTE,-78.0,-7.0,22.0,14.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.22",7.100855,43.573219,4G,LTE,-79.0,-7.0,10.0,10.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.24",7.100855,43.573219,4G,LTE,-79.0,-7.0,10.0,10.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.25",7.100855,43.573219,4G,LTE,-79.0,-9.0,12.0,10.0,-62,0.0,0.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.26",7.100855,43.573219,4G,LTE,-79.0,-9.0,12.0,10.0,-62,18.0,2.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.26",7.100855,43.573219,4G,LTE,-79.0,-7.0,11.0,10.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.28",7.100855,43.573219,4G,LTE,-79.0,-7.0,11.0,10.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.28",7.100855,43.573219,4G,LTE,-79.0,-6.0,20.0,10.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.30",7.100855,43.573219,4G,LTE,-79.0,-6.0,20.0,10.0,-62,42.0,51.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.31",7.100855,43.573219,4G,LTE,-78.0,-8.0,12.0,10.0,-62,18.0,1.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.32",7.100855,43.573219,4G,LTE,-78.0,-8.0,12.0,14.0,-64,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.32",7.100855,43.573219,4G,LTE,-82.0,-7.0,26.0,14.0,-64,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.34",7.100855,43.573219,4G,LTE,-82.0,-7.0,26.0,12.0,-62,110.0,131.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.35",7.100855,43.573219,4G,LTE,-79.0,-6.0,12.0,12.0,-62,177.0,44.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.36",7.100855,43.573219,4G,LTE,-79.0,-6.0,12.0,12.0,-62,18.0,1.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.37",7.100855,43.573219,4G,LTE,-80.0,-6.0,19.0,12.0,-62,81.0,76.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.38",7.100855,43.573219,4G,LTE,-80.0,-6.0,19.0,12.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.39",7.100855,43.573219,4G,LTE,-79.0,-6.0,16.0,14.0,-64,253.0,121.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.40",7.100855,43.573219,4G,LTE,-79.0,-6.0,16.0,14.0,-64,20.0,6.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.41",7.100855,43.573219,4G,LTE,-80.0,-6.0,11.0,14.0,-64,18.0,1.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.42",7.100855,43.573219,4G,LTE,-80.0,-6.0,11.0,7.0,-64,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.43",7.100855,43.573219,4G,LTE,-80.0,-11.0,11.0,12.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.44",7.100855,43.573219,4G,LTE,-80.0,-11.0,11.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.45",7.100855,43.573219,4G,LTE,-80.0,-6.0,14.0,12.0,-63,19.0,4.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.46",7.100855,43.573219,4G,LTE,-80.0,-6.0,14.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.47",7.100855,43.573219,4G,LTE,-80.0,-6.0,25.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.48",7.100855,43.573219,4G,LTE,-80.0,-6.0,25.0,12.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.49",7.100855,43.573219,4G,LTE,-79.0,-6.0,11.0,15.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.50",7.100855,43.573219,4G,LTE,-79.0,-6.0,11.0,15.0,-63,18.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.51",7.100855,43.573219,4G,LTE,-80.0,-8.0,11.0,15.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.52",7.100855,43.573219,4G,LTE,-80.0,-8.0,11.0,15.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.53",7.100855,43.573219,4G,LTE,-81.0,-9.0,12.0,6.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.54",7.100855,43.573219,4G,LTE,-81.0,-9.0,12.0,7.0,-61,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.55",7.100855,43.573219,4G,LTE,-79.0,-6.0,14.0,6.0,-63,18.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.24.56",7.100855,43.573219,4G,LTE,-79.0,-6.0,14.0,6.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.57",7.100855,43.573219,4G,LTE,-79.0,-6.0,11.0,6.0,-63,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.58",7.100855,43.573219,4G,LTE,-79.0,-6.0,11.0,13.0,-64,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.24.59",7.100855,43.573219,4G,LTE,-79.0,-11.0,9.0,10.0,-62,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.25.00",7.100855,43.573219,4G,LTE,-79.0,-11.0,9.0,12.0,-64,19.0,3.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.01",7.100855,43.573219,4G,LTE,-80.0,-9.0,20.0,12.0,-64,0.0,0.0,214.0,214.0,I,PERIODIC,4Py
"
2022.09.10_16.25.02",7.100855,43.573219,4G,LTE,-80.0,-9.0,20.0,10.0,-62,115.0,66.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.03",7.100855,43.573219,4G,LTE,-80.0,-8.0,22.0,10.0,-62,550.0,136.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.04",7.100855,43.573219,4G,LTE,-80.0,-8.0,22.0,11.0,-77,2287.0,335.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.05",7.100855,43.573219,4G,LTE,-94.0,-8.0,17.0,11.0,-77,51970.0,327.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.06",7.100855,43.573219,4G,LTE,-94.0,-8.0,17.0,14.0,-73,75516.0,990.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.07",7.100855,43.573219,4G,LTE,-88.0,-11.0,15.0,9.0,-64,120883.0,668.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.09",7.100855,43.573219,4G,LTE,-88.0,-11.0,15.0,9.0,-64,115564.0,942.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.09",7.100855,43.573219,4G,LTE,-82.0,-9.0,16.0,9.0,-64,109587.0,883.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.11",7.100855,43.573219,4G,LTE,-82.0,-9.0,16.0,11.0,-70,115101.0,964.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.11",7.100855,43.573219,4G,LTE,-87.0,-12.0,17.0,11.0,-70,118007.0,1374.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.13",7.100855,43.573219,4G,LTE,-87.0,-12.0,17.0,12.0,-65,109403.0,815.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.14",7.100855,43.573219,4G,LTE,-82.0,-8.0,18.0,12.0,-65,124231.0,1133.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.15",7.100855,43.573219,4G,LTE,-82.0,-8.0,18.0,12.0,-65,127416.0,999.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.16",7.100855,43.573219,4G,LTE,-83.0,-12.0,15.0,11.0,-67,106008.0,744.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.17",7.100855,43.573219,4G,LTE,-83.0,-12.0,15.0,10.0,-65,108836.0,687.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.17",7.100855,43.573219,4G,LTE,-82.0,-11.0,15.0,11.0,-69,117102.0,644.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.19",7.100855,43.573219,4G,LTE,-82.0,-11.0,15.0,11.0,-69,14688.0,147.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.20",7.100855,43.573219,4G,LTE,-84.0,-12.0,11.0,6.0,-67,107809.0,872.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.20",7.100855,43.573219,4G,LTE,-84.0,-12.0,11.0,6.0,-67,113299.0,729.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.22",7.100855,43.573219,4G,LTE,-85.0,-13.0,9.0,9.0,-67,18.0,63.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.23",7.100855,43.573219,4G,LTE,-85.0,-13.0,9.0,9.0,-67,109946.0,837.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.24",7.100855,43.573219,4G,LTE,-83.0,-12.0,11.0,9.0,-67,6508.0,83.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.25",7.100855,43.573219,4G,LTE,-83.0,-12.0,11.0,11.0,-64,113822.0,658.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.26",7.100855,43.573219,4G,LTE,-81.0,-7.0,9.0,11.0,-64,26.0,13.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.27",7.100855,43.573219,4G,LTE,-81.0,-7.0,9.0,11.0,-64,114965.0,833.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.28",7.100855,43.573219,4G,LTE,-81.0,-7.0,9.0,11.0,-67,7.0,10.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.29",7.100855,43.573219,4G,LTE,-83.0,-9.0,4.0,11.0,-67,68011.0,511.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.30",7.100855,43.573219,4G,LTE,-83.0,-9.0,4.0,11.0,-67,51769.0,401.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.31",7.100855,43.573219,4G,LTE,-85.0,-11.0,4.0,8.0,-69,96413.0,706.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.32",7.100855,43.573219,4G,LTE,-85.0,-11.0,4.0,8.0,-69,13857.0,91.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.33",7.100855,43.573219,4G,LTE,-86.0,-8.0,20.0,8.0,-69,65876.0,417.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.34",7.100855,43.573219,4G,LTE,-86.0,-8.0,20.0,7.0,-66,49377.0,463.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.35",7.100855,43.573219,4G,LTE,-83.0,-8.0,0.0,7.0,-66,60626.0,363.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.36",7.100855,43.573219,4G,LTE,-83.0,-8.0,0.0,12.0,-68,51748.0,380.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.37",7.100855,43.573219,4G,LTE,-84.0,-11.0,11.0,12.0,-68,14815.0,104.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.38",7.100855,43.573219,4G,LTE,-84.0,-11.0,11.0,5.0,-68,96958.0,570.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.39",7.100855,43.573219,4G,LTE,-85.0,-11.0,6.0,6.0,-66,5.0,11.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.40",7.100855,43.573219,4G,LTE,-85.0,-11.0,6.0,6.0,-64,18192.0,171.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.41",7.100855,43.573219,4G,LTE,-85.0,-11.0,6.0,7.0,-68,92978.0,653.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.42",7.100855,43.573219,4G,LTE,-84.0,-7.0,12.0,7.0,-68,379.0,31.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.43",7.100855,43.573219,4G,LTE,-84.0,-7.0,12.0,7.0,-66,89371.0,702.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.44",7.100855,43.573219,4G,LTE,-85.0,-13.0,10.0,8.0,-68,51799.0,335.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.45",7.100855,43.573219,4G,LTE,-85.0,-13.0,10.0,8.0,-68,79514.0,449.0,214.0,214.0,D,PERIODIC,4Py
"
2022.09.10_16.25.46",7.100855,43.573219,4G,LTE,-88.0,-13.0,7.0,6.0,-71,72391.0,429.0,214.0,214.0,D,PERIODIC,4Py
