Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.22_13.22.58",7.072010000000001,43.615484,5G,5G,-74.0,-3.0,20.0,10.0,-,0.0,2.0,173.0,173.0,D,LOG START,-90.0,-8.0,14.0,5P22s
"
2022.09.22_13.22.58",7.072010000000001,43.615484,5G,5G,-74.0,-3.0,20.0,8.0,-,4.0,1.0,173.0,173.0,D,PERIODIC,-88.0,-7.0,-12.0,5P22s
"
2022.09.22_13.22.58",7.072108,43.615433,5G,5G,-74.0,-3.0,20.0,8.0,-,4.0,1.0,171.0,171.0,D,,-88.0,-7.0,-12.0,5P22s
"
2022.09.22_13.22.59",7.072108,43.615433,5G,5G,-74.0,-3.0,20.0,8.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-88.0,-7.0,-12.0,5P22s
"
2022.09.22_13.23.00",7.072108,43.615433,5G,5G,-74.0,-3.0,20.0,14.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-88.0,-7.0,2.0,5P22s
"
2022.09.22_13.23.01",7.072108,43.615433,5G,5G,-74.0,-3.0,20.0,14.0,-,1.0,0.0,171.0,171.0,D,PERIODIC,-88.0,-7.0,2.0,5P22s
"
2022.09.22_13.23.02",7.072108,43.615433,5G,5G,-74.0,-3.0,20.0,2.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-87.0,-7.0,20.0,5P22s
"
2022.09.22_13.23.03",7.072108,43.615433,5G,5G,-74.0,-3.0,20.0,2.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-87.0,-7.0,20.0,5P22s
"
2022.09.22_13.23.04",7.072108,43.615433,5G,5G,-81.0,-3.0,21.0,14.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-87.0,-7.0,7.0,5P22s
"
2022.09.22_13.23.05",7.072108,43.615433,5G,5G,-81.0,-3.0,21.0,14.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-87.0,-7.0,7.0,5P22s
"
2022.09.22_13.23.06",7.072108,43.615433,5G,5G,-81.0,-3.0,21.0,10.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-88.0,-8.0,7.0,5P22s
"
2022.09.22_13.23.07",7.072108,43.615433,5G,5G,-83.0,-3.0,18.0,10.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-88.0,-8.0,-4.0,5P22s
"
2022.09.22_13.23.08",7.072108,43.615433,5G,5G,-80.0,-3.0,21.0,4.0,-,9.0,9.0,171.0,171.0,D,PERIODIC,-95.0,-15.0,3.0,5P22s
"
2022.09.22_13.23.08",7.0722380000000005,43.615446999999996,5G,5G,-80.0,-3.0,21.0,4.0,-,9.0,9.0,180.0,180.0,D,,-95.0,-15.0,3.0,5P22s
"
2022.09.22_13.23.09",7.0722380000000005,43.615446999999996,5G,5G,-80.0,-3.0,21.0,4.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-95.0,-15.0,3.0,5P22s
"
2022.09.22_13.23.10",7.0722380000000005,43.615446999999996,5G,5G,-80.0,-3.0,21.0,6.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-96.0,-11.0,-4.0,5P22s
"
2022.09.22_13.23.11",7.0722380000000005,43.615446999999996,5G,5G,-83.0,-3.0,18.0,6.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-96.0,-11.0,-4.0,5P22s
"
2022.09.22_13.23.12",7.0722380000000005,43.615446999999996,5G,5G,-83.0,-3.0,18.0,11.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-91.0,-9.0,1.0,5P22s
"
2022.09.22_13.23.13",7.0722380000000005,43.615446999999996,5G,5G,-83.0,-3.0,18.0,11.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-91.0,-9.0,1.0,5P22s
"
2022.09.22_13.23.14",7.0722380000000005,43.615446999999996,5G,5G,-81.0,-3.0,21.0,15.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-87.0,-7.0,14.0,5P22s
"
2022.09.22_13.23.15",7.0722380000000005,43.615446999999996,5G,5G,-81.0,-3.0,21.0,15.0,-,0.0,1.0,180.0,180.0,D,PERIODIC,-87.0,-7.0,14.0,5P22s
"
2022.09.22_13.23.16",7.0722380000000005,43.615446999999996,5G,5G,-81.0,-3.0,21.0,15.0,-,0.0,0.0,180.0,180.0,D,PERIODIC,-87.0,-7.0,14.0,5P22s
"
2022.09.22_13.23.17",7.0722380000000005,43.615446999999996,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,180.0,180.0,I,PERIODIC,-87.0,-7.0,14.0,5P22s
"
2022.09.22_13.23.17",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,,-87.0,-7.0,14.0,5P22s
"
2022.09.22_13.23.18",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.19",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.20",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.21",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.22",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.23",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.24",7.072358,43.615488,5G,5G,-85.0,-3.0,18.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.25",7.072358,43.615488,5G,5G,-88.0,-3.0,15.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-93.0,-9.0,6.0,5P22s
"
2022.09.22_13.23.26",7.072358,43.615488,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.27",7.072358,43.615488,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.27",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.28",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.29",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,1.0,2.0,181.0,181.0,D,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.30",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.31",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.32",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.33",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.34",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.35",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.36",7.072437,43.615567,5G,5G,-88.0,-3.0,15.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.37",7.072437,43.615567,5G,5G,-89.0,-3.0,11.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-85.0,-10.0,10.0,5P22s
"
2022.09.22_13.23.38",7.072437,43.615567,5G,5G,-89.0,-3.0,11.0,2.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,-89.0,-9.0,7.0,5P22s
"
2022.09.22_13.23.38",7.072489,43.615659,5G,5G,-89.0,-3.0,11.0,2.0,-,0.0,0.0,179.0,179.0,I,,-89.0,-9.0,7.0,5P22s
"
2022.09.22_13.23.39",7.072489,43.615659,5G,5G,-81.0,-3.0,17.0,2.0,-,0.0,0.0,179.0,179.0,I,PERIODIC,-89.0,-9.0,7.0,5P22s
"
2022.09.22_13.23.40",7.072489,43.615659,5G,5G,-81.0,-3.0,17.0,2.0,-,0.0,0.0,179.0,179.0,I,PERIODIC,-89.0,-9.0,7.0,5P22s
"
2022.09.22_13.23.41",7.072489,43.615659,5G,5G,-81.0,-3.0,17.0,11.0,-,14.0,8.0,179.0,179.0,D,PERIODIC,-84.0,-7.0,16.0,5P22s
"
2022.09.22_13.23.42",7.072489,43.615659,5G,5G,-75.0,-3.0,21.0,11.0,-,0.0,15.0,179.0,179.0,D,PERIODIC,-84.0,-7.0,16.0,5P22s
"
2022.09.22_13.23.43",7.072489,43.615659,5G,5G,-75.0,-3.0,21.0,15.0,-,126.0,3.0,179.0,179.0,D,PERIODIC,-85.0,-7.0,16.0,5P22s
