Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_15.57.49",7.072924,43.616869,5G,5G,-100,-3,22.0,6,-,0,0,157,157,I,LOG START,-99,-4,23.0,5P30
"
2022.08.30_15.57.49",7.072924,43.616869,5G,5G,-100,-3,22.0,6,-,0,0,157,157,I,,-99,-4,23.0,5P30
"
2022.08.30_15.57.50",7.072924,43.616869,5G,5G,-100,-3,22.0,6,-,0,0,157,157,I,PERIODIC,-99,-4,23.0,5P30
"
2022.08.30_15.57.51",7.072924,43.616869,5G,5G,-100,-3,22.0,14,-,0,0,157,157,D,PERIODIC,-98,-6,18.0,5P30
"
2022.08.30_15.57.52",7.072924,43.616869,5G,5G,-100,-3,22.0,14,-,25,36,157,157,D,PERIODIC,-98,-6,18.0,5P30
"
2022.08.30_15.57.53",7.072924,43.616869,5G,5G,-100,-3,22.0,11,-,1,1,157,157,D,PERIODIC,-98,-5,19.0,5P30
"
2022.08.30_15.57.54",7.072924,43.616869,5G,5G,-100,-3,22.0,11,-,0,0,157,157,I,PERIODIC,-98,-5,19.0,5P30
"
2022.08.30_15.57.55",7.072924,43.616869,5G,5G,-100,-3,22.0,11,-,0,0,157,157,I,PERIODIC,-98,-5,19.0,5P30
"
2022.08.30_15.57.56",7.072924,43.616869,5G,5G,-100,-3,22.0,11,-,38,17,157,157,D,PERIODIC,-98,-5,19.0,5P30
"
2022.08.30_15.57.57",7.072924,43.616869,5G,5G,-100,-3,22.0,2,-,1,0,157,157,D,PERIODIC,-97,-5,19.0,5P30
"
2022.08.30_15.57.58",7.072924,43.616869,5G,5G,-100,-3,22.0,2,-,0,0,157,157,D,PERIODIC,-97,-5,19.0,5P30
"
2022.08.30_15.57.59",7.072924,43.616869,5G,5G,-99,-3,21.0,14,-,0,1,157,157,D,PERIODIC,-96,-5,-4.0,5P30
"
2022.08.30_15.58.00",7.072924,43.616869,5G,5G,-99,-3,21.0,14,-,1,1,157,157,D,PERIODIC,-96,-5,-4.0,5P30
"
2022.08.30_15.58.01",7.072924,43.616869,5G,5G,-99,-3,21.0,11,-,0,0,157,157,I,PERIODIC,-95,-5,23.0,5P30
