Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_16.02.18",7.0204509999999996,43.55435,5G,5G,-85.0,-3.0,12.0,6.0,-,29.0,19.0,57.0,57.0,D,LOG START,-89.0,-10.0,5.0,5Piu
"
2022.11.23_16.02.19",7.0204509999999996,43.55435,5G,5G,-85.0,-3.0,12.0,6.0,-,0.0,0.0,57.0,57.0,D,PERIODIC,-89.0,-10.0,5.0,5Piu
"
2022.11.23_16.02.19",7.020475,43.554352,5G,5G,-85.0,-3.0,12.0,6.0,-,0.0,0.0,58.0,58.0,I,,-89.0,-10.0,5.0,5Piu
"
2022.11.23_16.02.20",7.020475,43.554352,5G,5G,-86.0,-3.0,3.0,7.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-91.0,-9.0,11.0,5Piu
"
2022.11.23_16.02.21",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,7.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-91.0,-9.0,11.0,5Piu
"
2022.11.23_16.02.22",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,12.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-87.0,-11.0,8.0,5Piu
"
2022.11.23_16.02.23",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,12.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-87.0,-11.0,8.0,5Piu
"
2022.11.23_16.02.24",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,8.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-88.0,-9.0,12.0,5Piu
"
2022.11.23_16.02.25",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,8.0,-,0.0,0.0,58.0,58.0,D,PERIODIC,-88.0,-9.0,12.0,5Piu
"
2022.11.23_16.02.26",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,8.0,-,81.0,9.0,58.0,58.0,D,PERIODIC,-88.0,-9.0,12.0,5Piu
"
2022.11.23_16.02.27",7.020475,43.554352,5G,5G,-84.0,-3.0,8.0,12.0,-,76.0,7.0,58.0,58.0,D,PERIODIC,-88.0,-11.0,4.0,5Piu
"
2022.11.23_16.02.28",7.020475,43.554352,5G,5G,-87.0,-3.0,6.0,15.0,-,0.0,0.0,58.0,58.0,I,PERIODIC,-85.0,-8.0,10.0,5Piu
"
2022.11.23_16.02.28",7.0205910000000005,43.554321,5G,5G,-87.0,-3.0,6.0,15.0,-,0.0,0.0,59.0,59.0,I,,-85.0,-8.0,10.0,5Piu
"
2022.11.23_16.02.29",7.0205910000000005,43.554321,5G,5G,-87.0,-3.0,6.0,15.0,-,10.0,3.0,59.0,59.0,D,PERIODIC,-85.0,-8.0,10.0,5Piu
"
2022.11.23_16.02.30",7.0205910000000005,43.554321,5G,5G,-87.0,-3.0,6.0,9.0,-,5.0,4.0,59.0,59.0,D,PERIODIC,-86.0,-10.0,13.0,5Piu
"
2022.11.23_16.02.31",7.0205910000000005,43.554321,5G,5G,-78.0,-3.0,14.0,9.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-86.0,-10.0,13.0,5Piu
"
2022.11.23_16.02.32",7.0205910000000005,43.554321,5G,5G,-79.0,-3.0,15.0,9.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-83.0,-8.0,13.0,5Piu
"
2022.11.23_16.02.33",7.0205910000000005,43.554321,5G,5G,-79.0,-3.0,15.0,9.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-83.0,-8.0,13.0,5Piu
"
2022.11.23_16.02.34",7.0205910000000005,43.554321,5G,5G,-82.0,-3.0,6.0,15.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-88.0,-9.0,14.0,5Piu
"
2022.11.23_16.02.34",7.020716999999999,43.554285,5G,5G,-82.0,-3.0,6.0,15.0,-,0.0,0.0,59.0,59.0,I,,-88.0,-9.0,14.0,5Piu
"
2022.11.23_16.02.35",7.020716999999999,43.554285,5G,5G,-82.0,-3.0,6.0,15.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-88.0,-9.0,14.0,5Piu
"
2022.11.23_16.02.36",7.020716999999999,43.554285,5G,5G,-90.0,-3.0,3.0,12.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-90.0,-13.0,16.0,5Piu
"
2022.11.23_16.02.37",7.020716999999999,43.554285,5G,5G,-90.0,-3.0,3.0,12.0,-,0.0,0.0,59.0,59.0,D,PERIODIC,-90.0,-13.0,16.0,5Piu
"
2022.11.23_16.02.38",7.020716999999999,43.554285,5G,5G,-89.0,-3.0,1.0,15.0,-,1.0,0.0,59.0,59.0,D,PERIODIC,-89.0,-7.0,15.0,5Piu
"
2022.11.23_16.02.39",7.020716999999999,43.554285,5G,5G,-44.0,-3.0,0.0,15.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-89.0,-7.0,15.0,5Piu
"
2022.11.23_16.02.40",7.020716999999999,43.554285,5G,5G,-44.0,-3.0,0.0,11.0,-,0.0,0.0,59.0,59.0,I,PERIODIC,-84.0,-7.0,8.0,5Piu
"
2022.11.23_16.02.41",7.020716999999999,43.554285,5G,5G,-91.0,-3.0,8.0,11.0,-,7.0,22.0,59.0,59.0,D,PERIODIC,-84.0,-7.0,8.0,5Piu
"
2022.11.23_16.02.41",7.020842,43.554272999999995,5G,5G,-91.0,-3.0,8.0,11.0,-,7.0,22.0,59.0,59.0,D,,-84.0,-7.0,8.0,5Piu
"
2022.11.23_16.02.42",7.020842,43.554272999999995,5G,5G,-89.0,-3.0,10.0,9.0,-,0.0,3.0,59.0,59.0,D,PERIODIC,-82.0,-11.0,4.0,5Piu
"
2022.11.23_16.02.43",7.020842,43.554272999999995,5G,5G,-88.0,-3.0,10.0,9.0,-,655.0,149.0,59.0,59.0,D,PERIODIC,-82.0,-11.0,4.0,5Piu
"
2022.11.23_16.02.44",7.020842,43.554272999999995,5G,5G,-89.0,-3.0,11.0,11.0,-,45851.0,572.0,59.0,59.0,D,PERIODIC,-77.0,-5.0,20.0,5Piu
"
2022.11.23_16.02.45",7.020842,43.554272999999995,5G,5G,-90.0,-7.0,10.0,11.0,-,88596.0,465.0,59.0,59.0,D,PERIODIC,-77.0,-5.0,20.0,5Piu
"
2022.11.23_16.02.46",7.020842,43.554272999999995,5G,5G,-90.0,-3.0,9.0,15.0,-,1830.0,45.0,59.0,59.0,D,PERIODIC,-79.0,-7.0,18.0,5Piu
"
2022.11.23_16.02.47",7.020842,43.554272999999995,5G,5G,-88.0,-3.0,11.0,15.0,-,35605.0,214.0,59.0,59.0,D,PERIODIC,-79.0,-7.0,18.0,5Piu
"
2022.11.23_16.02.47",7.0209660000000005,43.554291,5G,5G,-88.0,-3.0,11.0,15.0,-,35605.0,214.0,60.0,60.0,D,,-79.0,-7.0,18.0,5Piu
"
2022.11.23_16.02.48",7.0209660000000005,43.554291,5G,5G,-88.0,-3.0,11.0,12.0,-,4.0,6.0,60.0,60.0,D,PERIODIC,-78.0,-8.0,20.0,5Piu
"
2022.11.23_16.02.49",7.0209660000000005,43.554291,5G,5G,-89.0,-3.0,8.0,12.0,-,7.0,46.0,60.0,60.0,D,PERIODIC,-78.0,-8.0,20.0,5Piu
"
2022.11.23_16.02.50",7.0209660000000005,43.554291,5G,5G,-89.0,-3.0,8.0,12.0,-,37137.0,204.0,60.0,60.0,D,PERIODIC,-84.0,-9.0,16.0,5Piu
"
2022.11.23_16.02.51",7.0209660000000005,43.554291,5G,5G,-89.0,-3.0,8.0,12.0,-,3.0,0.0,60.0,60.0,D,PERIODIC,-84.0,-9.0,16.0,5Piu
"
2022.11.23_16.02.52",7.0209660000000005,43.554291,5G,5G,-88.0,-3.0,9.0,11.0,-,3.0,10.0,60.0,60.0,D,PERIODIC,-85.0,-12.0,14.0,5Piu
"
2022.11.23_16.02.53",7.0209660000000005,43.554291,5G,5G,-88.0,-3.0,9.0,11.0,-,38082.0,228.0,60.0,60.0,D,PERIODIC,-85.0,-12.0,14.0,5Piu
"
2022.11.23_16.02.54",7.0209660000000005,43.554291,5G,5G,-88.0,-3.0,11.0,11.0,-,12.0,18.0,60.0,60.0,D,PERIODIC,-85.0,-12.0,14.0,5Piu
"
2022.11.23_16.02.55",7.0209660000000005,43.554291,5G,5G,-87.0,-9.0,12.0,15.0,-,35491.0,192.0,60.0,60.0,D,PERIODIC,-87.0,-7.0,12.0,5Piu
