Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.20_18.44.33",7.065810000000001,43.607487,4G,LTE,-107.0,-7.0,13.0,11.0,-107,0.0,0.0,166.0,166.0,I,LOG START,,,,5Po20s
"
2022.09.20_18.44.33",7.065810000000001,43.607487,4G,LTE,-107.0,-7.0,13.0,11.0,-107,0.0,0.0,166.0,166.0,I,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.33",7.068258999999999,43.616356,4G,LTE,-107.0,-7.0,13.0,11.0,-107,0.0,0.0,210.0,210.0,I,,,,,5Po20s
"
2022.09.20_18.44.34",7.068258999999999,43.616356,4G,LTE,-106.0,-8.0,5.0,9.0,-107,0.0,0.0,210.0,210.0,I,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.35",7.068258999999999,43.616356,4G,LTE,-106.0,-8.0,5.0,9.0,-107,0.0,0.0,210.0,210.0,I,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.36",7.068258999999999,43.616356,4G,LTE,-106.0,-8.0,5.0,9.0,-107,12.0,6.0,210.0,210.0,D,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.37",7.068258999999999,43.616356,4G,LTE,-107.0,-12.0,13.0,11.0,-107,1.0,17.0,210.0,210.0,D,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.38",7.068258999999999,43.616356,4G,LTE,-107.0,-12.0,13.0,11.0,-107,266.0,129.0,210.0,210.0,D,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.39",7.068258999999999,43.616356,4G,LTE,-107.0,-8.0,10.0,12.0,-107,354.0,161.0,210.0,210.0,D,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.40",7.068258999999999,43.616356,4G,LTE,-107.0,-8.0,10.0,12.0,-107,0.0,0.0,210.0,210.0,D,PERIODIC,,,,5Po20s
"
2022.09.20_18.44.41",7.068258999999999,43.616356,5G,5G,-116.0,-5.0,0.0,12.0,-,2.0,5.0,210.0,210.0,D,PERIODIC,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.44.41",7.068258999999999,43.616356,5G,5G,-116.0,-5.0,0.0,12.0,-,2.0,5.0,210.0,210.0,D,,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.44.42",7.068258999999999,43.616356,5G,5G,-116.0,-5.0,0.0,12.0,-,43.0,2.0,210.0,210.0,D,PERIODIC,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.44.43",7.068258999999999,43.616356,5G,5G,-116.0,-5.0,0.0,10.0,-,2.0,7.0,210.0,210.0,D,PERIODIC,-105.0,-8.0,11.0,5Po20s
"
2022.09.20_18.44.44",7.068258999999999,43.616356,5G,5G,-119.0,-7.0,-1.0,10.0,-,2.0,0.0,210.0,210.0,D,PERIODIC,-105.0,-8.0,11.0,5Po20s
"
2022.09.20_18.44.45",7.068258999999999,43.616356,5G,5G,-119.0,-7.0,-1.0,11.0,-,0.0,0.0,210.0,210.0,D,PERIODIC,-107.0,-11.0,13.0,5Po20s
"
2022.09.20_18.44.46",7.068258999999999,43.616356,5G,5G,-119.0,-7.0,-1.0,11.0,-,2.0,5.0,210.0,210.0,D,PERIODIC,-107.0,-11.0,13.0,5Po20s
"
2022.09.20_18.44.47",7.068258999999999,43.616356,5G,5G,-119.0,-7.0,-1.0,10.0,-,49.0,23.0,210.0,210.0,D,PERIODIC,-106.0,-7.0,9.0,5Po20s
"
2022.09.20_18.44.48",7.068258999999999,43.616356,5G,5G,-123.0,-9.0,0.0,10.0,-,0.0,1.0,210.0,210.0,D,PERIODIC,-106.0,-7.0,9.0,5Po20s
"
2022.09.20_18.44.49",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,0.0,0.0,210.0,210.0,D,PERIODIC,-109.0,-11.0,9.0,5Po20s
"
2022.09.20_18.44.50",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,0.0,0.0,210.0,210.0,I,PERIODIC,-109.0,-11.0,9.0,5Po20s
"
2022.09.20_18.44.51",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,8.0,-,0.0,0.0,210.0,210.0,D,PERIODIC,-107.0,-9.0,14.0,5Po20s
"
2022.09.20_18.44.52",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,8.0,-,772.0,385.0,210.0,210.0,D,PERIODIC,-107.0,-9.0,14.0,5Po20s
"
2022.09.20_18.44.53",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,13.0,-,293.0,115.0,210.0,210.0,D,PERIODIC,-107.0,-11.0,11.0,5Po20s
"
2022.09.20_18.44.54",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,13.0,-,34.0,34.0,210.0,210.0,D,PERIODIC,-107.0,-11.0,11.0,5Po20s
"
2022.09.20_18.44.55",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,333.0,66.0,210.0,210.0,D,PERIODIC,-108.0,-7.0,9.0,5Po20s
"
2022.09.20_18.44.56",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,226.0,46.0,210.0,210.0,D,PERIODIC,-108.0,-7.0,9.0,5Po20s
"
2022.09.20_18.44.57",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,12.0,-,40.0,46.0,210.0,210.0,D,PERIODIC,-108.0,-10.0,12.0,5Po20s
"
2022.09.20_18.44.58",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,12.0,-,0.0,0.0,210.0,210.0,D,PERIODIC,-108.0,-10.0,12.0,5Po20s
"
2022.09.20_18.44.59",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,10.0,-,0.0,0.0,210.0,210.0,I,PERIODIC,-108.0,-11.0,12.0,5Po20s
"
2022.09.20_18.45.00",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,10.0,-,0.0,0.0,210.0,210.0,I,PERIODIC,-108.0,-11.0,12.0,5Po20s
"
2022.09.20_18.45.01",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,10.0,-,0.0,0.0,210.0,210.0,I,PERIODIC,-108.0,-11.0,12.0,5Po20s
"
2022.09.20_18.45.02",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,10.0,-,48.0,30.0,210.0,210.0,D,PERIODIC,-108.0,-11.0,12.0,5Po20s
"
2022.09.20_18.45.03",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,10.0,-,0.0,0.0,210.0,210.0,I,PERIODIC,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.45.04",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,10.0,-,0.0,0.0,210.0,210.0,D,PERIODIC,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.45.05",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,0.0,0.0,210.0,210.0,I,PERIODIC,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.45.07",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,0.0,2.0,210.0,210.0,D,PERIODIC,-107.0,-8.0,10.0,5Po20s
"
2022.09.20_18.45.07",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,12.0,-,153.0,209.0,210.0,210.0,D,PERIODIC,-106.0,-10.0,15.0,5Po20s
"
2022.09.20_18.45.09",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,12.0,-,65.0,38.0,210.0,210.0,D,PERIODIC,-106.0,-10.0,15.0,5Po20s
"
2022.09.20_18.45.10",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,14010.0,173.0,210.0,210.0,D,PERIODIC,-108.0,-8.0,11.0,5Po20s
"
2022.09.20_18.45.11",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,2379.0,578.0,210.0,210.0,D,PERIODIC,-108.0,-8.0,11.0,5Po20s
"
2022.09.20_18.45.12",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,12.0,-,59477.0,894.0,210.0,210.0,D,PERIODIC,-107.0,-12.0,11.0,5Po20s
"
2022.09.20_18.45.13",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,12.0,-,118943.0,654.0,210.0,210.0,D,PERIODIC,-107.0,-12.0,11.0,5Po20s
"
2022.09.20_18.45.14",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,136767.0,746.0,210.0,210.0,D,PERIODIC,-107.0,-11.0,10.0,5Po20s
"
2022.09.20_18.45.15",7.068258999999999,43.616356,5G,5G,-120.0,-7.0,0.0,11.0,-,130716.0,689.0,210.0,210.0,D,PERIODIC,-107.0,-11.0,10.0,5Po20s
"
2022.09.20_18.45.16",7.068258999999999,43.616356,5G,5G,-116.0,-9.0,6.0,10.0,-,217416.0,1332.0,210.0,210.0,D,PERIODIC,-108.0,-9.0,9.0,5Po20s
"
2022.09.20_18.45.17",7.068258999999999,43.616356,5G,5G,-122.0,-10.0,1.0,10.0,-,137464.0,971.0,210.0,210.0,D,PERIODIC,-108.0,-9.0,9.0,5Po20s
"
2022.09.20_18.45.18",7.068258999999999,43.616356,5G,5G,-122.0,-10.0,1.0,10.0,-,203168.0,1190.0,210.0,210.0,D,PERIODIC,-107.0,-13.0,8.0,5Po20s
"
2022.09.20_18.45.18",7.0683679999999995,43.616399,5G,5G,-122.0,-10.0,1.0,10.0,-,203168.0,1190.0,175.0,175.0,D,,-107.0,-13.0,8.0,5Po20s
"
2022.09.20_18.45.19",7.0683679999999995,43.616399,5G,5G,-114.0,-6.0,8.0,10.0,-,34873.0,212.0,175.0,175.0,D,PERIODIC,-107.0,-13.0,8.0,5Po20s
"
2022.09.20_18.45.20",7.0683679999999995,43.616399,5G,5G,-114.0,-6.0,8.0,8.0,-,20.0,72.0,175.0,175.0,D,PERIODIC,-104.0,-10.0,4.0,5Po20s
"
2022.09.20_18.45.21",7.0683679999999995,43.616399,5G,5G,-108.0,-6.0,12.0,8.0,-,126559.0,744.0,175.0,175.0,D,PERIODIC,-104.0,-10.0,4.0,5Po20s
"
2022.09.20_18.45.22",7.0683679999999995,43.616399,5G,5G,-108.0,-6.0,12.0,11.0,-,12.0,28.0,175.0,175.0,D,PERIODIC,-104.0,-12.0,11.0,5Po20s
"
2022.09.20_18.45.23",7.0683679999999995,43.616399,5G,5G,-108.0,-6.0,12.0,11.0,-,107404.0,641.0,175.0,175.0,D,PERIODIC,-104.0,-12.0,11.0,5Po20s
