Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_15.44.05",7.120978,43.580073,5G,5G,-100.0,-3.0,11.0,7,-,0.0,0.0,59.0,59.0,D,LOG START,-88.0,-15.0,-1.0,5Po22nb
"
2022.11.22_15.44.05",7.120978,43.580073,5G,5G,-100.0,-3.0,11.0,7,-,0.0,0.0,59.0,59.0,D,PERIODIC,-88.0,-15.0,-1.0,5Po22nb
"
2022.11.22_15.44.05",7.120972,43.580064,5G,5G,-100.0,-3.0,11.0,7,-,0.0,0.0,59.0,59.0,D,,-88.0,-15.0,-1.0,5Po22nb
"
2022.11.22_15.44.06",7.120972,43.580064,5G,5G,-93.0,-3.0,16.0,11,-,0.0,0.0,59.0,59.0,I,PERIODIC,-86.0,-15.0,-13.0,5Po22nb
"
2022.11.22_15.44.07",7.120972,43.580064,5G,5G,-93.0,-3.0,16.0,11,-,0.0,0.0,59.0,59.0,I,PERIODIC,-86.0,-15.0,-13.0,5Po22nb
"
2022.11.22_15.44.08",7.120972,43.580064,5G,5G,-90.0,-3.0,20.0,8,-,0.0,2.0,59.0,59.0,D,PERIODIC,-86.0,-14.0,6.0,5Po22nb
"
2022.11.22_15.44.09",7.120972,43.580064,5G,5G,-99.0,-3.0,16.0,8,-,48.0,25.0,59.0,59.0,D,PERIODIC,-86.0,-14.0,6.0,5Po22nb
"
2022.11.22_15.44.10",7.120972,43.580064,5G,5G,-99.0,-3.0,16.0,9,-,37.0,5.0,59.0,59.0,D,PERIODIC,-85.0,-16.0,1.0,5Po22nb
"
2022.11.22_15.44.11",7.120972,43.580064,5G,5G,-95.0,-3.0,17.0,9,-,13.0,3.0,59.0,59.0,D,PERIODIC,-85.0,-16.0,1.0,5Po22nb
"
2022.11.22_15.44.12",7.120972,43.580064,5G,5G,-95.0,-3.0,17.0,7,-,93.0,23.0,59.0,59.0,D,PERIODIC,-88.0,-12.0,4.0,5Po22nb
"
2022.11.22_15.44.13",7.120972,43.580064,5G,5G,-95.0,-3.0,17.0,7,-,63.0,14.0,59.0,59.0,D,PERIODIC,-88.0,-12.0,4.0,5Po22nb
"
2022.11.22_15.44.14",7.120972,43.580064,5G,5G,-95.0,-3.0,17.0,8,-,1.0,1.0,59.0,59.0,D,PERIODIC,-87.0,-15.0,7.0,5Po22nb
"
2022.11.22_15.44.15",7.120972,43.580064,5G,5G,-95.0,-3.0,17.0,8,-,0.0,0.0,59.0,59.0,D,PERIODIC,-87.0,-15.0,7.0,5Po22nb
