Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.22_15.48.08",7.119082000000001,43.579489,5G,5G,-96.0,-3.0,10.0,12.0,-,0.0,0.0,56.0,56.0,I,LOG START,-83.0,-10.0,4.0,5Pq22n
"
2022.11.22_15.48.09",7.119078,43.57947,5G,5G,-96.0,-3.0,10.0,12.0,-,0.0,0.0,56.0,56.0,I,,-83.0,-10.0,4.0,5Pq22n
"
2022.11.22_15.48.09",7.119078,43.57947,5G,5G,-96.0,-3.0,10.0,12.0,-,0.0,0.0,56.0,56.0,D,PERIODIC,-83.0,-10.0,4.0,5Pq22n
"
2022.11.22_15.48.10",7.119078,43.57947,5G,5G,-95.0,-3.0,9.0,9.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-86.0,-12.0,6.0,5Pq22n
"
2022.11.22_15.48.11",7.119078,43.57947,5G,5G,-95.0,-3.0,8.0,9.0,-,17.0,8.0,56.0,56.0,D,PERIODIC,-86.0,-12.0,6.0,5Pq22n
"
2022.11.22_15.48.12",7.119078,43.57947,5G,5G,-95.0,-3.0,8.0,9.0,-,209.0,28.0,56.0,56.0,D,PERIODIC,-83.0,-14.0,3.0,5Pq22n
"
2022.11.22_15.48.13",7.119078,43.57947,5G,5G,-95.0,-3.0,8.0,9.0,-,2.0,1.0,56.0,56.0,D,PERIODIC,-83.0,-14.0,3.0,5Pq22n
"
2022.11.22_15.48.14",7.119078,43.57947,5G,5G,-95.0,-3.0,8.0,11.0,-,12.0,3.0,56.0,56.0,D,PERIODIC,-84.0,-14.0,2.0,5Pq22n
"
2022.11.22_15.48.15",7.119078,43.57947,5G,5G,-98.0,-3.0,6.0,11.0,-,5.0,2.0,56.0,56.0,D,PERIODIC,-84.0,-14.0,2.0,5Pq22n
"
2022.11.22_15.48.16",7.119078,43.57947,5G,5G,-98.0,-3.0,7.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-12.0,1.0,5Pq22n
"
2022.11.22_15.48.17",7.119078,43.57947,5G,5G,-98.0,-3.0,7.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-12.0,1.0,5Pq22n
"
2022.11.22_15.48.18",7.119078,43.57947,5G,5G,-96.0,-3.0,5.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-86.0,-13.0,3.0,5Pq22n
"
2022.11.22_15.48.19",7.119078,43.57947,5G,5G,-94.0,-3.0,8.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-86.0,-13.0,3.0,5Pq22n
"
2022.11.22_15.48.20",7.119078,43.57947,5G,5G,-94.0,-3.0,8.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-9.0,2.0,5Pq22n
"
2022.11.22_15.48.21",7.119078,43.57947,5G,5G,-94.0,-3.0,8.0,10.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-9.0,2.0,5Pq22n
"
2022.11.22_15.48.22",7.119078,43.57947,5G,5G,-94.0,-3.0,8.0,9.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-14.0,2.0,5Pq22n
"
2022.11.22_15.48.23",7.119078,43.57947,5G,5G,-94.0,-3.0,8.0,9.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-14.0,2.0,5Pq22n
"
2022.11.22_15.48.24",7.119078,43.57947,5G,5G,-92.0,-3.0,12.0,9.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-83.0,-14.0,2.0,5Pq22n
"
2022.11.22_15.48.25",7.119078,43.57947,5G,5G,-94.0,-3.0,9.0,11.0,-,0.0,0.0,56.0,56.0,I,PERIODIC,-84.0,-10.0,6.0,5Pq22n
