Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.27_14.06.16",7.120158999999999,43.584067,5G,5G,-95.0,-3.0,21.0,7,-,26.0,110.0,53.0,53.0,D,LOG START,-99.0,-14.0,15.0,5Ps27
"
2022.08.27_14.06.16",7.120158999999999,43.584067,5G,5G,-95.0,-3.0,21.0,9,-,25.0,78.0,53.0,53.0,D,PERIODIC,-96.0,-13.0,2.0,5Ps27
"
2022.08.27_14.06.17",7.1202179999999995,43.584077,5G,5G,-94.0,-3.0,21.0,9,-,25.0,78.0,55.0,55.0,D,,-96.0,-13.0,2.0,5Ps27
"
2022.08.27_14.06.17",7.1202179999999995,43.584077,5G,5G,-94.0,-3.0,21.0,9,-,63.0,87.0,55.0,55.0,D,PERIODIC,-96.0,-13.0,2.0,5Ps27
"
2022.08.27_14.06.18",7.1202179999999995,43.584077,5G,5G,-94.0,-3.0,20.0,11,-,42.0,64.0,55.0,55.0,D,PERIODIC,-101.0,-14.0,-2.0,5Ps27
"
2022.08.27_14.06.19",7.1202179999999995,43.584077,5G,5G,-97.0,-3.0,20.0,11,-,31.0,32.0,55.0,55.0,D,PERIODIC,-101.0,-14.0,-2.0,5Ps27
"
2022.08.27_14.06.20",7.1202179999999995,43.584077,5G,5G,-97.0,-3.0,20.0,11,-,20.0,30.0,55.0,55.0,D,PERIODIC,-99.0,-13.0,7.0,5Ps27
"
2022.08.27_14.06.21",7.1202179999999995,43.584077,5G,5G,-97.0,-3.0,20.0,11,-,71.0,64.0,55.0,55.0,D,PERIODIC,-99.0,-13.0,7.0,5Ps27
"
2022.08.27_14.06.22",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,32.0,31.0,55.0,55.0,D,PERIODIC,-100.0,-12.0,7.0,5Ps27
"
2022.08.27_14.06.23",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,20.0,29.0,55.0,55.0,D,PERIODIC,-100.0,-12.0,7.0,5Ps27
"
2022.08.27_14.06.24",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,31.0,31.0,55.0,55.0,D,PERIODIC,-100.0,-13.0,11.0,5Ps27
"
2022.08.27_14.06.25",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,26.0,111.0,55.0,55.0,D,PERIODIC,-100.0,-13.0,11.0,5Ps27
"
2022.08.27_14.06.26",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,30.0,31.0,55.0,55.0,D,PERIODIC,-102.0,-11.0,6.0,5Ps27
"
2022.08.27_14.06.27",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,30.0,31.0,55.0,55.0,D,PERIODIC,-102.0,-11.0,6.0,5Ps27
"
2022.08.27_14.06.28",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,29.0,22.0,55.0,55.0,D,PERIODIC,-100.0,-14.0,2.0,5Ps27
"
2022.08.27_14.06.29",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,11,-,0.0,0.0,55.0,55.0,D,PERIODIC,-100.0,-14.0,2.0,5Ps27
"
2022.08.27_14.06.30",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,9,-,0.0,0.0,55.0,55.0,I,PERIODIC,-101.0,-13.0,4.0,5Ps27
"
2022.08.27_14.06.31",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,9,-,0.0,0.0,55.0,55.0,I,PERIODIC,-101.0,-13.0,4.0,5Ps27
"
2022.08.27_14.06.32",7.1202179999999995,43.584077,5G,5G,-95.0,-3.0,21.0,9,-,0.0,0.0,55.0,55.0,I,PERIODIC,-101.0,-13.0,-15.0,5Ps27
"
2022.08.27_14.06.33",7.1202179999999995,43.584077,5G,5G,-91.0,-3.0,20.0,9,-,0.0,0.0,55.0,55.0,I,PERIODIC,-101.0,-13.0,-15.0,5Ps27
