Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.11.23_16.43.03",7.021669,43.554248,5G,5G,-76.0,-3.0,20.0,12.0,-,0.0,0.0,70.0,70.0,I,LOG START,-58.0,-12.0,24.0,5Wqr
"
2022.11.23_16.43.04",7.021669,43.554248,5G,5G,-76.0,-3.0,20.0,12.0,-,0.0,0.0,69.0,69.0,I,,-58.0,-12.0,24.0,5Wqr
"
2022.11.23_16.43.04",7.021669,43.554248,5G,5G,-76.0,-3.0,20.0,12.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-58.0,-12.0,24.0,5Wqr
"
2022.11.23_16.43.05",7.021669,43.554248,5G,5G,-76.0,-3.0,20.0,12.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-58.0,-12.0,24.0,5Wqr
"
2022.11.23_16.43.06",7.021669,43.554248,5G,5G,-76.0,-3.0,20.0,12.0,-,100.0,44.0,69.0,69.0,D,PERIODIC,-58.0,-12.0,24.0,5Wqr
"
2022.11.23_16.43.07",7.021669,43.554248,5G,5G,-78.0,-3.0,21.0,15.0,-,82.0,16.0,69.0,69.0,D,PERIODIC,-58.0,-11.0,24.0,5Wqr
"
2022.11.23_16.43.08",7.021669,43.554248,5G,5G,-78.0,-3.0,20.0,15.0,-,11.0,4.0,69.0,69.0,D,PERIODIC,-58.0,-11.0,24.0,5Wqr
"
2022.11.23_16.43.09",7.021669,43.554248,5G,5G,-75.0,-3.0,19.0,15.0,-,0.0,3.0,69.0,69.0,D,PERIODIC,-58.0,-13.0,24.0,5Wqr
"
2022.11.23_16.43.10",7.021669,43.554248,5G,5G,-75.0,-3.0,19.0,15.0,-,12.0,18.0,69.0,69.0,D,PERIODIC,-58.0,-13.0,24.0,5Wqr
"
2022.11.23_16.43.11",7.021669,43.554248,5G,5G,-79.0,-3.0,21.0,10.0,-,0.0,0.0,69.0,69.0,D,PERIODIC,-70.0,-10.0,25.0,5Wqr
"
2022.11.23_16.43.12",7.021669,43.554248,5G,5G,-79.0,-3.0,21.0,10.0,-,0.0,0.0,69.0,69.0,I,PERIODIC,-70.0,-10.0,25.0,5Wqr
