Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_10.44.58",7.042902000000001,43.618641,4G,LTE,-98.0,-6.0,13.0,-,-97.0,0.0,0.0,194.0,194.0,I,LOG START,P25auglte
"
2022.08.25_10.44.59",7.042925,43.618633,4G,LTE,-98.0,-6.0,13.0,-,-97.0,0.0,0.0,195.0,195.0,I,,P25auglte
"
2022.08.25_10.44.59",7.042925,43.618633,4G,LTE,-98.0,-6.0,13.0,-,-97.0,0.0,0.0,195.0,195.0,I,PERIODIC,P25auglte
"
2022.08.25_10.45.00",7.042925,43.618633,4G,LTE,-97.0,-7.0,16.0,-,-97.0,0.0,0.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.01",7.042925,43.618633,4G,LTE,-97.0,-7.0,16.0,-,-95.0,0.0,0.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.02",7.042925,43.618633,4G,LTE,-95.0,-7.0,13.0,-,-97.0,0.0,0.0,195.0,195.0,I,PERIODIC,P25auglte
"
2022.08.25_10.45.03",7.042925,43.618633,4G,LTE,-95.0,-7.0,13.0,-,-97.0,58.0,33.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.04",7.042925,43.618633,4G,LTE,-95.0,-4.0,11.0,11,-95.0,59.0,6.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.05",7.042925,43.618633,4G,LTE,-95.0,-4.0,11.0,11,-91.0,14.0,5.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.06",7.042925,43.618633,4G,LTE,-92.0,-5.0,13.0,10,-91.0,17.0,4.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.07",7.042925,43.618633,4G,LTE,-92.0,-5.0,13.0,10,-91.0,130.0,68.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.08",7.042925,43.618633,4G,LTE,-90.0,-11.0,14.0,11,-91.0,52.0,5.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.09",7.042925,43.618633,4G,LTE,-90.0,-11.0,14.0,11,-91.0,0.0,0.0,195.0,195.0,D,PERIODIC,P25auglte
"
2022.08.25_10.45.10",7.042925,43.618633,4G,LTE,-90.0,-11.0,14.0,11,-91.0,0.0,0.0,195.0,195.0,I,PERIODIC,P25auglte
"
2022.08.25_10.45.11",7.042925,43.618633,4G,LTE,-90.0,-11.0,14.0,11,-91.0,0.0,0.0,195.0,195.0,I,PERIODIC,P25auglte
"
2022.08.25_10.45.12",7.042925,43.618633,4G,LTE,-90.0,-11.0,14.0,11,-91.0,0.0,0.0,195.0,195.0,I,PERIODIC,P25auglte
"
2022.08.25_10.45.13",7.042925,43.618633,4G,LTE,-90.0,-11.0,14.0,11,-99.0,0.0,0.0,195.0,195.0,I,PERIODIC,P25auglte
