Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_19.03.49",7.066483,43.607146,4G,LTE,-103.0,-8.0,15.0,10.0,-89,0.0,0.0,0.0,0.0,I,LOG START,b11jk
"
2022.07.18_19.03.50",7.066483,43.607146,4G,LTE,-105.0,-6.0,12.0,10.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.03.51",7.066483,43.607146,4G,LTE,-105.0,-6.0,12.0,10.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.03.52",7.066483,43.607146,4G,LTE,-106.0,-7.0,10.0,10.0,-89,20.0,3.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.03.53",7.066483,43.607146,4G,LTE,-106.0,-7.0,10.0,10.0,-89,0.0,0.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.03.54",7.066483,43.607146,4G,LTE,-105.0,-7.0,13.0,10.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.03.55",7.066483,43.607146,4G,LTE,-105.0,-7.0,13.0,11.0,-87,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.03.56",7.066483,43.607146,4G,LTE,-104.0,-7.0,8.0,10.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.03.57",7.066483,43.607146,4G,LTE,-104.0,-7.0,8.0,10.0,-89,19.0,3.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.03.58",7.066483,43.607146,4G,LTE,-106.0,-7.0,10.0,10.0,-89,0.0,0.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.03.59",7.066483,43.607146,4G,LTE,-106.0,-7.0,10.0,10.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.04.00",7.066483,43.607146,4G,LTE,-105.0,-6.0,9.0,10.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.04.01",7.066483,43.607146,4G,LTE,-105.0,-6.0,9.0,9.0,-87,0.0,0.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.04.02",7.066483,43.607146,4G,LTE,-106.0,-7.0,10.0,11.0,-89,19.0,3.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.04.03",7.066483,43.607146,4G,LTE,-106.0,-7.0,10.0,11.0,-89,52.0,4.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.04.04",7.066483,43.607146,4G,LTE,-107.0,-7.0,7.0,9.0,-91,0.0,0.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.04.05",7.066483,43.607146,4G,LTE,-107.0,-7.0,7.0,9.0,-91,0.0,0.0,0.0,0.0,I,PERIODIC,b11jk
"
2022.07.18_19.04.06",7.066483,43.607146,4G,LTE,-106.0,-8.0,8.0,8.0,-89,62.0,2.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.04.07",7.066483,43.607146,4G,LTE,-106.0,-8.0,8.0,8.0,-89,231.0,108.0,0.0,0.0,D,PERIODIC,b11jk
"
2022.07.18_19.04.08",7.066483,43.607146,4G,LTE,-105.0,-6.0,11.0,10.0,-87,208.0,48.0,0.0,0.0,D,PERIODIC,b11jk
