Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_19.09.21",7.066483,43.607146,72.0,4G,LTE,-91.0,-16.0,-1.0,9.0,-,0.0,0.0,0.0,0.0,I,LOG START,b11jp2
"
2022.07.18_19.09.21",7.066483,43.607146,72.0,4G,LTE,-91.0,-16.0,-1.0,9.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,b11jp2
"
2022.07.18_19.09.22",7.066483,43.607146,72.0,4G,LTE,-97.0,-14.0,-5.0,8.0,-83,19.0,2.0,0.0,0.0,D,PERIODIC,b11jp2
"
2022.07.18_19.09.24",7.066483,43.607146,72.0,4G,LTE,-97.0,-14.0,-5.0,8.0,-83,0.0,0.0,0.0,0.0,I,PERIODIC,b11jp2
"
2022.07.18_19.09.24",7.066483,43.607146,72.0,4G,LTE,-101.0,-14.0,-5.0,8.0,-83,0.0,0.0,0.0,0.0,I,PERIODIC,b11jp2
"
2022.07.18_19.09.25",7.066483,43.607146,72.0,4G,LTE,-101.0,-14.0,-5.0,10.0,-83,0.0,0.0,0.0,0.0,I,PERIODIC,b11jp2
"
2022.07.18_19.09.27",7.066483,43.607146,72.0,4G,LTE,-101.0,-15.0,-3.0,7.0,-83,0.0,0.0,0.0,0.0,I,PERIODIC,b11jp2
"
2022.07.18_19.09.28",7.066483,43.607146,72.0,4G,LTE,-101.0,-15.0,-3.0,9.0,-85,19.0,2.0,0.0,0.0,D,PERIODIC,b11jp2
"
2022.07.18_19.09.29",7.066483,43.607146,72.0,4G,LTE,-101.0,-11.0,-3.0,7.0,-,53.0,5.0,0.0,0.0,D,PERIODIC,b11jp2
"
2022.07.18_19.09.30",7.066483,43.607146,72.0,4G,LTE,-101.0,-11.0,-3.0,12.0,-83,0.0,0.0,0.0,0.0,D,PERIODIC,b11jp2
"
2022.07.18_19.09.31",7.066483,43.607146,72.0,4G,LTE,-101.0,-10.0,-4.0,10.0,-83,0.0,0.0,0.0,0.0,I,PERIODIC,b11jp2
"
2022.07.18_19.09.32",7.066483,43.607146,72.0,4G,LTE,-101.0,-10.0,-4.0,6.0,-,0.0,1.0,0.0,0.0,D,PERIODIC,b11jp2
"
2022.07.18_19.09.33",7.066483,43.607146,72.0,4G,LTE,-106.0,-17.0,-3.0,6.0,-89,70.0,6.0,0.0,0.0,D,PERIODIC,b11jp2
