Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_19.15.16",7.0756559999999995,43.607487,61.0,4G,LTE,-95.0,-7.0,11.0,8.0,-77,0.0,0.0,147.0,147.0,I,LOG START,b12j4k2
"
2022.07.19_19.15.17",7.0756559999999995,43.607487,61.0,4G,LTE,-93.0,-6.0,14.0,7.0,-75,19.0,3.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.18",7.0756559999999995,43.607487,61.0,4G,LTE,-93.0,-6.0,14.0,12.0,-73,0.0,0.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.19",7.0756559999999995,43.607487,61.0,4G,LTE,-91.0,-5.0,24.0,11.0,-,0.0,0.0,147.0,147.0,I,PERIODIC,b12j4k2
"
2022.07.19_19.15.20",7.0756559999999995,43.607487,61.0,4G,LTE,-91.0,-5.0,24.0,9.0,-80,25.0,24.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.21",7.0756559999999995,43.607487,61.0,4G,LTE,-101.0,-7.0,17.0,9.0,-85,14.0,10.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.22",7.0756559999999995,43.607487,61.0,4G,LTE,-101.0,-7.0,17.0,9.0,-,130.0,35.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.23",7.0756559999999995,43.607487,61.0,4G,LTE,-102.0,-8.0,9.0,9.0,-,104.0,11.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.24",7.0756559999999995,43.607487,61.0,4G,LTE,-102.0,-8.0,9.0,4.0,-87,51.0,4.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.25",7.0756559999999995,43.607487,61.0,4G,LTE,-104.0,-8.0,6.0,4.0,-87,0.0,0.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.26",7.0756559999999995,43.607487,61.0,4G,LTE,-104.0,-8.0,6.0,10.0,-89,103.0,9.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.27",7.0756559999999995,43.607487,61.0,4G,LTE,-104.0,-8.0,6.0,10.0,-89,21.0,4.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.28",7.0756559999999995,43.607487,61.0,4G,LTE,-106.0,-12.0,1.0,10.0,-89,52.0,4.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.29",7.0756559999999995,43.607487,61.0,4G,LTE,-106.0,-12.0,1.0,5.0,-92,52.0,4.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.30",7.0756559999999995,43.607487,61.0,4G,LTE,-108.0,-8.0,11.0,8.0,-90,0.0,0.0,147.0,147.0,I,PERIODIC,b12j4k2
"
2022.07.19_19.15.31",7.0756559999999995,43.607487,61.0,4G,LTE,-108.0,-8.0,11.0,4.0,-92,52.0,4.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.32",7.0756559999999995,43.607487,61.0,4G,LTE,-109.0,-8.0,11.0,4.0,-92,71.0,8.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.33",7.0756559999999995,43.607487,61.0,4G,LTE,-109.0,-8.0,11.0,4.0,-92,0.0,0.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.34",7.0756559999999995,43.607487,61.0,4G,LTE,-108.0,-8.0,6.0,4.0,-92,19.0,32.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.35",7.0756559999999995,43.607487,61.0,4G,LTE,-108.0,-8.0,6.0,4.0,-92,81.0,35.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.36",7.0756559999999995,43.607487,61.0,4G,LTE,-110.0,-10.0,3.0,5.0,-94,92.0,64.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.37",7.0756559999999995,43.607487,61.0,4G,LTE,-110.0,-10.0,3.0,3.0,-94,242.0,77.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.38",7.0756559999999995,43.607487,61.0,4G,LTE,-114.0,-12.0,2.0,9.0,-94,5217.0,114.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.39",7.0756559999999995,43.607487,61.0,4G,LTE,-114.0,-12.0,2.0,9.0,-76,10798.0,203.0,147.0,147.0,D,PERIODIC,b12j4k2
"
2022.07.19_19.15.40",7.0756559999999995,43.607487,71.0,4G,LTE,-93.0,-8.0,0.0,8.0,-73,20429.0,380.0,147.0,147.0,D,HANDOVER_DATA_4G4G,b12j4k2
"
2022.07.19_19.15.42",7.0756559999999995,43.607487,71.0,4G,LTE,-93.0,-8.0,0.0,8.0,-73,31652.0,613.0,147.0,147.0,D,PERIODIC,b12j4k2
