Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_10.54.42",7.046358000000001,43.623259000000004,72.0,4G,LTE,-110.0,-14.0,3.0,8.0,-94,0.0,0.0,200.0,200.0,I,LOG START,b12jk
"
2022.07.19_10.54.42",7.046358000000001,43.623259000000004,72.0,4G,LTE,-110.0,-14.0,3.0,8.0,-94,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.43",7.046358000000001,43.623259000000004,72.0,4G,LTE,-111.0,-16.0,-2.0,8.0,-94,73.0,8.0,200.0,200.0,D,PERIODIC,b12jk
"
2022.07.19_10.54.44",7.046358000000001,43.623259000000004,72.0,4G,LTE,-111.0,-16.0,-2.0,9.0,-91,0.0,0.0,200.0,200.0,D,PERIODIC,b12jk
"
2022.07.19_10.54.45",7.046358000000001,43.623259000000004,72.0,4G,LTE,-111.0,-16.0,-2.0,10.0,-89,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.46",7.046358000000001,43.623259000000004,72.0,4G,LTE,-104.0,-14.0,0.0,14.0,-77,52.0,4.0,200.0,200.0,D,PERIODIC,b12jk
"
2022.07.19_10.54.47",7.046358000000001,43.623259000000004,72.0,4G,LTE,-104.0,-14.0,0.0,14.0,-83,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.48",7.046358000000001,43.623259000000004,72.0,4G,LTE,-99.0,-12.0,0.0,14.0,-81,19.0,3.0,200.0,200.0,D,PERIODIC,b12jk
"
2022.07.19_10.54.49",7.046358000000001,43.623259000000004,72.0,4G,LTE,-99.0,-12.0,0.0,7.0,-87,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.50",7.046358000000001,43.623259000000004,72.0,4G,LTE,-105.0,-11.0,5.0,10.0,-89,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.51",7.046358000000001,43.623259000000004,72.0,4G,LTE,-105.0,-11.0,5.0,9.0,-91,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.52",7.046358000000001,43.623259000000004,72.0,4G,LTE,-105.0,-12.0,2.0,10.0,-88,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.53",7.046358000000001,43.623259000000004,72.0,4G,LTE,-105.0,-12.0,2.0,9.0,-94,19.0,3.0,200.0,200.0,D,PERIODIC,b12jk
"
2022.07.19_10.54.54",7.046358000000001,43.623259000000004,72.0,4G,LTE,-107.0,-12.0,1.0,6.0,-91,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.55",7.046358000000001,43.623259000000004,72.0,4G,LTE,-107.0,-12.0,1.0,9.0,-91,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.56",7.046358000000001,43.623259000000004,72.0,4G,LTE,-102.0,-10.0,5.0,12.0,-87,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
"
2022.07.19_10.54.57",7.046358000000001,43.623259000000004,72.0,4G,LTE,-102.0,-10.0,5.0,9.0,-,0.0,0.0,200.0,200.0,I,PERIODIC,b12jk
