Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_10.48.29",7.046358000000001,43.623259000000004,4G,LTE,-112.0,-16.0,-6.0,6.0,-94,18.0,1.0,200.0,200.0,D,LOG START,b12jp
"
2022.07.19_10.48.29",7.046358000000001,43.623259000000004,4G,LTE,-112.0,-16.0,-6.0,6.0,-94,0.0,0.0,200.0,200.0,I,PERIODIC,b12jp
"
2022.07.19_10.48.31",7.046358000000001,43.623259000000004,4G,LTE,-112.0,-14.0,-3.0,5.0,-94,0.0,0.0,200.0,200.0,I,PERIODIC,b12jp
"
2022.07.19_10.48.31",7.046358000000001,43.623259000000004,4G,LTE,-112.0,-14.0,-3.0,8.0,-93,0.0,0.0,200.0,200.0,I,PERIODIC,b12jp
"
2022.07.19_10.48.32",7.046358000000001,43.623259000000004,4G,LTE,-111.0,-15.0,-3.0,8.0,-,0.0,1.0,200.0,200.0,D,PERIODIC,b12jp
"
2022.07.19_10.48.33",7.046358000000001,43.623259000000004,4G,LTE,-111.0,-15.0,-3.0,7.0,-90,18.0,1.0,200.0,200.0,D,PERIODIC,b12jp
"
2022.07.19_10.48.34",7.046358000000001,43.623259000000004,4G,LTE,-105.0,-14.0,-4.0,7.0,-88,0.0,0.0,200.0,200.0,I,PERIODIC,b12jp
"
2022.07.19_10.48.35",7.046358000000001,43.623259000000004,4G,LTE,-105.0,-14.0,-4.0,6.0,-91,0.0,0.0,200.0,200.0,I,PERIODIC,b12jp
"
2022.07.19_10.48.36",7.046358000000001,43.623259000000004,4G,LTE,-108.0,-17.0,-5.0,6.0,-91,0.0,0.0,200.0,200.0,I,PERIODIC,b12jp
"
2022.07.19_10.48.37",7.046358000000001,43.623259000000004,4G,LTE,-108.0,-17.0,-5.0,6.0,-91,0.0,1.0,200.0,200.0,D,PERIODIC,b12jp
