Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.22_11.31.44",7.056903999999999,43.617374,62.0,4G,LTE,-115.0,-13.0,0.0,7.0,-89,0.0,0.0,201.0,201.0,I,LOG START,b15jk60
"
2022.07.22_11.31.44",7.057078,43.617284000000005,62.0,4G,LTE,-115.0,-13.0,0.0,15.0,-85,0.0,0.0,201.0,201.0,I,PERIODIC,b15jk60
"
2022.07.22_11.31.45",7.057078,43.617284000000005,62.0,4G,LTE,-102.0,-8.0,11.0,8.0,-90,19.0,3.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.46",7.057078,43.617284000000005,62.0,4G,LTE,-102.0,-8.0,11.0,8.0,-90,0.0,0.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.47",7.057078,43.617284000000005,62.0,4G,LTE,-106.0,-10.0,9.0,14.0,-90,0.0,0.0,201.0,201.0,I,PERIODIC,b15jk60
"
2022.07.22_11.31.48",7.057078,43.617284000000005,62.0,4G,LTE,-106.0,-10.0,9.0,14.0,-88,34.0,47.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.49",7.057078,43.617284000000005,62.0,4G,LTE,-104.0,-10.0,7.0,15.0,-86,0.0,0.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.50",7.057078,43.617284000000005,62.0,4G,LTE,-104.0,-10.0,7.0,10.0,-84,20.0,3.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.51",7.057078,43.617284000000005,62.0,4G,LTE,-104.0,-10.0,7.0,11.0,-89,0.0,0.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.52",7.057078,43.617284000000005,62.0,4G,LTE,-105.0,-10.0,11.0,14.0,-85,0.0,0.0,201.0,201.0,I,PERIODIC,b15jk60
"
2022.07.22_11.31.53",7.057078,43.617284000000005,62.0,4G,LTE,-105.0,-10.0,11.0,10.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,b15jk60
"
2022.07.22_11.31.54",7.057078,43.617284000000005,62.0,4G,LTE,-100.0,-10.0,10.0,15.0,-85,0.0,0.0,201.0,201.0,I,PERIODIC,b15jk60
"
2022.07.22_11.31.55",7.057078,43.617284000000005,62.0,4G,LTE,-100.0,-10.0,10.0,15.0,-87,88.0,20.0,201.0,201.0,D,PERIODIC,b15jk60
"
2022.07.22_11.31.56",7.057078,43.617284000000005,62.0,4G,LTE,-104.0,-8.0,11.0,10.0,-87,156.0,126.0,201.0,201.0,D,PERIODIC,b15jk60
