Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.22_15.58.10",7.069161,43.617235,63.0,4G,LTE,-96.0,-6.0,14.0,12.0,-81,0.0,0.0,182.0,182.0,I,LOG START,b15jku
"
2022.07.22_15.58.10",7.069161,43.617235,63.0,4G,LTE,-96.0,-6.0,14.0,12.0,-79,52.0,4.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.11",7.069161,43.617235,63.0,4G,LTE,-93.0,-6.0,14.0,15.0,-74,0.0,0.0,182.0,182.0,I,PERIODIC,b15jku
"
2022.07.22_15.58.12",7.069161,43.617235,63.0,4G,LTE,-93.0,-6.0,14.0,15.0,-70,0.0,0.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.13",7.069161,43.617235,63.0,4G,LTE,-84.0,-7.0,27.0,15.0,-75,37.0,49.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.14",7.069161,43.617235,63.0,4G,LTE,-84.0,-7.0,27.0,15.0,-,52.0,7.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.15",7.069161,43.617235,63.0,4G,LTE,-92.0,-6.0,22.0,15.0,-73,50.0,2.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.16",7.069161,43.617235,63.0,4G,LTE,-92.0,-6.0,22.0,15.0,-75,43.0,20.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.17",7.069161,43.617235,63.0,4G,LTE,-92.0,-6.0,22.0,14.0,-74,25.0,11.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.18",7.069161,43.617235,63.0,4G,LTE,-90.0,-6.0,21.0,14.0,-72,41.0,56.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.19",7.069161,43.617235,63.0,4G,LTE,-90.0,-6.0,21.0,13.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,b15jku
"
2022.07.22_15.58.20",7.069161,43.617235,63.0,4G,LTE,-90.0,-7.0,23.0,13.0,-76,0.0,0.0,182.0,182.0,I,PERIODIC,b15jku
"
2022.07.22_15.58.21",7.069161,43.617235,63.0,4G,LTE,-90.0,-7.0,23.0,11.0,-78,0.0,0.0,182.0,182.0,I,PERIODIC,b15jku
"
2022.07.22_15.58.22",7.069161,43.617235,63.0,4G,LTE,-94.0,-7.0,9.0,14.0,-77,0.0,0.0,182.0,182.0,D,PERIODIC,b15jku
"
2022.07.22_15.58.23",7.069161,43.617235,63.0,4G,LTE,-94.0,-7.0,9.0,12.0,-75,19.0,3.0,182.0,182.0,D,PERIODIC,b15jku
