Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_08.32.50",7.042652,43.619057,4G,LTE,-105.0,-6.0,13.0,11.0,-88,38.0,23.0,0.0,0.0,D,LOG START,civ12jp
"
2022.07.19_08.32.51",7.042652,43.619057,4G,LTE,-106.0,-10.0,14.0,11.0,-88,36.0,23.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.32.52",7.042652,43.619057,4G,LTE,-106.0,-10.0,14.0,11.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.32.52",7.042652,43.619057,4G,LTE,-106.0,-7.0,10.0,6.0,-90,2.0,2.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.32.54",7.042652,43.619057,4G,LTE,-106.0,-7.0,10.0,13.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.32.55",7.042652,43.619057,4G,LTE,-105.0,-6.0,14.0,13.0,-88,19.0,3.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.32.56",7.042652,43.619057,4G,LTE,-105.0,-6.0,14.0,13.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.32.57",7.042652,43.619057,4G,LTE,-104.0,-8.0,6.0,11.0,-86,14.0,10.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.32.58",7.042652,43.619057,4G,LTE,-104.0,-8.0,6.0,10.0,-88,10.0,13.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.32.59",7.042652,43.619057,4G,LTE,-104.0,-9.0,8.0,10.0,-88,14.0,46.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.00",7.042652,43.619057,4G,LTE,-104.0,-9.0,8.0,7.0,-88,24.0,3.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.01",7.042652,43.619057,4G,LTE,-105.0,-7.0,12.0,7.0,-88,0.0,0.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.02",7.042652,43.619057,4G,LTE,-105.0,-7.0,12.0,11.0,-90,0.0,1.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.03",7.042652,43.619057,4G,LTE,-109.0,-7.0,11.0,7.0,-92,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.04",7.042652,43.619057,4G,LTE,-109.0,-7.0,11.0,7.0,-92,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.05",7.042652,43.619057,4G,LTE,-107.0,-7.0,10.0,10.0,-90,19.0,3.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.06",7.042652,43.619057,4G,LTE,-107.0,-7.0,10.0,10.0,-90,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.07",7.042652,43.619057,4G,LTE,-106.0,-9.0,10.0,10.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.08",7.042652,43.619057,4G,LTE,-106.0,-9.0,10.0,9.0,-90,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.09",7.042652,43.619057,4G,LTE,-105.0,-9.0,7.0,4.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.10",7.042652,43.619057,4G,LTE,-105.0,-9.0,7.0,4.0,-88,19.0,3.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.11",7.042652,43.619057,4G,LTE,-105.0,-7.0,7.0,11.0,-86,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.12",7.042652,43.619057,4G,LTE,-105.0,-7.0,7.0,11.0,-86,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.13",7.042652,43.619057,4G,LTE,-103.0,-7.0,8.0,5.0,-88,51.0,4.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.14",7.042652,43.619057,4G,LTE,-103.0,-7.0,8.0,6.0,-86,104.0,14.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.15",7.042652,43.619057,4G,LTE,-102.0,-6.0,11.0,7.0,-88,72.0,7.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.16",7.042652,43.619057,4G,LTE,-102.0,-6.0,11.0,8.0,-88,52.0,4.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.17",7.042652,43.619057,4G,LTE,-105.0,-7.0,6.0,8.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.18",7.042652,43.619057,4G,LTE,-105.0,-7.0,6.0,4.0,-90,0.0,0.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.19",7.042652,43.619057,4G,LTE,-107.0,-7.0,6.0,6.0,-92,103.0,10.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.20",7.042652,43.619057,4G,LTE,-107.0,-7.0,6.0,6.0,-92,72.0,7.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.21",7.042652,43.619057,4G,LTE,-110.0,-7.0,7.0,6.0,-92,0.0,4.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.22",7.042652,43.619057,4G,LTE,-110.0,-7.0,7.0,6.0,-92,0.0,0.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.23",7.042652,43.619057,4G,LTE,-110.0,-11.0,8.0,11.0,-94,1.0,3.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.24",7.042652,43.619057,4G,LTE,-110.0,-11.0,8.0,11.0,-94,104.0,8.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.25",7.042652,43.619057,4G,LTE,-110.0,-9.0,7.0,9.0,-92,19.0,1.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.26",7.042652,43.619057,4G,LTE,-110.0,-9.0,7.0,5.0,-92,0.0,0.0,0.0,0.0,I,PERIODIC,civ12jp
"
2022.07.19_08.33.27",7.042652,43.619057,4G,LTE,-108.0,-8.0,9.0,7.0,-88,52.0,4.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.28",7.042652,43.619057,4G,LTE,-108.0,-8.0,9.0,10.0,-92,0.0,0.0,0.0,0.0,D,PERIODIC,civ12jp
"
2022.07.19_08.33.29",7.042652,43.619057,4G,LTE,-109.0,-9.0,9.0,11.0,-89,53.0,6.0,0.0,0.0,D,PERIODIC,civ12jp
