Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.20_16.06.54",7.042788000000001,43.618666999999995,63.0,4G,LTE,-97.0,-7.0,16.0,15.0,-80,0.0,0.0,191.0,191.0,I,LOG START,civ13jk60
"
2022.07.20_16.06.54",7.042788000000001,43.618666999999995,63.0,4G,LTE,-97.0,-7.0,16.0,15.0,-80,19.0,3.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.06.55",7.042788000000001,43.618666999999995,63.0,4G,LTE,-101.0,-7.0,10.0,14.0,-84,51.0,4.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.06.57",7.042788000000001,43.618666999999995,63.0,4G,LTE,-101.0,-7.0,10.0,15.0,-82,0.0,0.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.06.58",7.042788000000001,43.618666999999995,63.0,4G,LTE,-99.0,-6.0,13.0,15.0,-80,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.06.59",7.042788000000001,43.618666999999995,63.0,4G,LTE,-99.0,-6.0,13.0,15.0,-80,0.0,0.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.07.00",7.042788000000001,43.618666999999995,63.0,4G,LTE,-97.0,-6.0,9.0,7.0,-91,72.0,8.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.07.00",7.042788000000001,43.618666999999995,63.0,4G,LTE,-97.0,-6.0,9.0,11.0,-87,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.01",7.042788000000001,43.618666999999995,63.0,4G,LTE,-104.0,-7.0,7.0,15.0,-,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.03",7.042788000000001,43.618666999999995,63.0,4G,LTE,-104.0,-7.0,7.0,8.0,-89,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.04",7.042788000000001,43.618666999999995,63.0,4G,LTE,-106.0,-6.0,7.0,8.0,-89,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.05",7.042788000000001,43.618666999999995,63.0,4G,LTE,-106.0,-6.0,7.0,8.0,-89,19.0,3.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.07.06",7.042788000000001,43.618666999999995,63.0,4G,LTE,-106.0,-6.0,7.0,8.0,-89,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.07",7.042788000000001,43.618666999999995,63.0,4G,LTE,-106.0,-6.0,7.0,6.0,-89,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.08",7.042788000000001,43.618666999999995,63.0,4G,LTE,-106.0,-6.0,8.0,6.0,-91,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.09",7.042788000000001,43.618666999999995,63.0,4G,LTE,-106.0,-6.0,8.0,6.0,-91,0.0,0.0,191.0,191.0,I,PERIODIC,civ13jk60
"
2022.07.20_16.07.10",7.042788000000001,43.618666999999995,63.0,4G,LTE,-108.0,-6.0,7.0,6.0,-89,19.0,3.0,191.0,191.0,D,PERIODIC,civ13jk60
"
2022.07.20_16.07.11",7.042788000000001,43.618666999999995,63.0,4G,LTE,-108.0,-6.0,7.0,6.0,-89,39.0,6.0,191.0,191.0,D,PERIODIC,civ13jk60
