Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.21_19.45.09",7.042739,43.618946,63.0,4G,LTE,-99.0,-9.0,10.0,12.0,-,19.0,3.0,0.0,0.0,D,LOG START,civ14jk
"
2022.07.21_19.45.10",7.042635000000001,43.61906,63.0,4G,LTE,-120.0,-8.0,3.0,13.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.11",7.042635000000001,43.61906,63.0,4G,LTE,-120.0,-8.0,3.0,10.0,-86,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.12",7.042635000000001,43.61906,63.0,4G,LTE,-102.0,-7.0,6.0,9.0,-81,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.13",7.042635000000001,43.61906,63.0,4G,LTE,-102.0,-7.0,6.0,15.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.14",7.042635000000001,43.61906,63.0,4G,LTE,-102.0,-7.0,6.0,8.0,-94,54.0,50.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.15",7.042635000000001,43.61906,63.0,4G,LTE,-103.0,-9.0,8.0,11.0,-92,0.0,0.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.17",7.042635000000001,43.61906,63.0,4G,LTE,-103.0,-9.0,8.0,11.0,-86,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.18",7.042635000000001,43.61906,63.0,4G,LTE,-103.0,-8.0,14.0,9.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.19",7.042635000000001,43.61906,63.0,4G,LTE,-103.0,-8.0,14.0,13.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.19",7.042635000000001,43.61906,63.0,4G,LTE,-105.0,-8.0,10.0,9.0,-94,970.0,109.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.21",7.042635000000001,43.61906,63.0,4G,LTE,-105.0,-8.0,10.0,12.0,-,0.0,0.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.21",7.042635000000001,43.61906,63.0,4G,LTE,-109.0,-7.0,14.0,10.0,-88,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.22",7.042635000000001,43.61906,63.0,4G,LTE,-109.0,-7.0,14.0,10.0,-86,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.23",7.042635000000001,43.61906,63.0,4G,LTE,-105.0,-6.0,13.0,14.0,-92,52.0,4.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.25",7.042635000000001,43.61906,63.0,4G,LTE,-105.0,-6.0,13.0,15.0,-90,39.0,15.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.26",7.042635000000001,43.61906,63.0,4G,LTE,-108.0,-8.0,15.0,15.0,-90,0.0,0.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.27",7.042635000000001,43.61906,63.0,4G,LTE,-108.0,-8.0,15.0,15.0,-90,1843.0,169.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.27",7.042635000000001,43.61906,63.0,4G,LTE,-108.0,-7.0,10.0,15.0,-90,396.0,133.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.29",7.042635000000001,43.61906,63.0,4G,LTE,-108.0,-7.0,10.0,13.0,-93,15.0,12.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.30",7.042635000000001,43.61906,63.0,4G,LTE,-109.0,-7.0,11.0,11.0,-93,19.0,2.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.31",7.042635000000001,43.61906,63.0,4G,LTE,-109.0,-7.0,11.0,5.0,-89,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.32",7.042635000000001,43.61906,63.0,4G,LTE,-107.0,-7.0,16.0,12.0,-91,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.33",7.042635000000001,43.61906,63.0,4G,LTE,-107.0,-7.0,16.0,9.0,-91,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.34",7.042635000000001,43.61906,63.0,4G,LTE,-107.0,-8.0,8.0,11.0,-94,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.35",7.042635000000001,43.61906,63.0,4G,LTE,-107.0,-8.0,8.0,8.0,-,19.0,2.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.36",7.042635000000001,43.61906,63.0,4G,LTE,-117.0,-8.0,7.0,4.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.37",7.042635000000001,43.61906,63.0,4G,LTE,-117.0,-8.0,7.0,4.0,-90,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.38",7.042635000000001,43.61906,63.0,4G,LTE,-107.0,-7.0,5.0,4.0,-90,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.39",7.042635000000001,43.61906,63.0,4G,LTE,-107.0,-7.0,5.0,4.0,-90,0.0,0.0,0.0,0.0,I,PERIODIC,civ14jk
"
2022.07.21_19.45.40",7.042635000000001,43.61906,63.0,4G,LTE,-106.0,-7.0,9.0,9.0,-94,77.0,30.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.41",7.042635000000001,43.61906,63.0,4G,LTE,-106.0,-7.0,9.0,4.0,-,220.0,30.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.42",7.042635000000001,43.61906,63.0,4G,LTE,-119.0,-9.0,9.0,3.0,-94,2966.0,130.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.43",7.042635000000001,43.61906,63.0,4G,LTE,-119.0,-9.0,9.0,3.0,-94,10522.0,85.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.44",7.042635000000001,43.61906,63.0,4G,LTE,-120.0,-9.0,6.0,7.0,-94,1146.0,402.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.45",7.042635000000001,43.61906,63.0,4G,LTE,-120.0,-9.0,6.0,8.0,-94,6354.0,378.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.46",7.042635000000001,43.61906,63.0,4G,LTE,-119.0,-14.0,4.0,7.0,-94,19357.0,120.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.47",7.042635000000001,43.61906,63.0,4G,LTE,-119.0,-14.0,4.0,3.0,-,28998.0,418.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.48",7.042635000000001,43.61906,63.0,4G,LTE,-119.0,-14.0,4.0,3.0,-,21916.0,225.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.49",7.042635000000001,43.61906,63.0,4G,LTE,-118.0,-12.0,3.0,3.0,-,61805.0,352.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.50",7.042635000000001,43.61906,63.0,4G,LTE,-118.0,-12.0,3.0,3.0,-,70046.0,357.0,0.0,0.0,D,PERIODIC,civ14jk
"
2022.07.21_19.45.51",7.042635000000001,43.61906,63.0,4G,LTE,-117.0,-14.0,2.0,3.0,-,19.0,125.0,0.0,0.0,D,PERIODIC,civ14jk
