Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_10.38.05",7.041202,43.622164,4G,LTE,-101.0,-13.0,5.0,14.0,-,0.0,0.0,0.0,0.0,I,LOG START,civb12jp
"
2022.07.19_10.38.05",7.041202,43.622164,4G,LTE,-101.0,-13.0,5.0,11.0,-83,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.07",7.041202,43.622164,4G,LTE,-99.0,-11.0,0.0,12.0,-84,19.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.07",7.041202,43.622164,4G,LTE,-99.0,-11.0,0.0,12.0,-82,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.09",7.041202,43.622164,4G,LTE,-102.0,-13.0,4.0,7.0,-82,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.09",7.041202,43.622164,4G,LTE,-102.0,-13.0,4.0,7.0,-82,91.0,39.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.11",7.041202,43.622164,4G,LTE,-99.0,-12.0,7.0,12.0,-76,276.0,137.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.12",7.041202,43.622164,4G,LTE,-99.0,-12.0,7.0,12.0,-79,34.0,32.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.13",7.041202,43.622164,4G,LTE,-97.0,-12.0,3.0,13.0,-79,9.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.14",7.041202,43.622164,4G,LTE,-97.0,-12.0,3.0,7.0,-81,6.0,9.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.15",7.041202,43.622164,4G,LTE,-99.0,-12.0,5.0,11.0,-81,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.16",7.041202,43.622164,4G,LTE,-99.0,-12.0,5.0,9.0,-79,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.17",7.041202,43.622164,4G,LTE,-96.0,-12.0,4.0,8.0,-80,19.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.18",7.041202,43.622164,4G,LTE,-96.0,-12.0,4.0,9.0,-78,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.19",7.041202,43.622164,4G,LTE,-95.0,-13.0,6.0,8.0,-76,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.20",7.041202,43.622164,4G,LTE,-95.0,-13.0,6.0,8.0,-78,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.21",7.041202,43.622164,4G,LTE,-95.0,-12.0,6.0,9.0,-76,0.0,1.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.22",7.041202,43.622164,4G,LTE,-95.0,-12.0,6.0,9.0,-77,18.0,1.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.23",7.041202,43.622164,4G,LTE,-94.0,-13.0,7.0,7.0,-79,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.24",7.041202,43.622164,4G,LTE,-94.0,-13.0,7.0,9.0,-77,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.25",7.041202,43.622164,4G,LTE,-90.0,-12.0,5.0,12.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.26",7.041202,43.622164,4G,LTE,-90.0,-12.0,5.0,7.0,-75,0.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.27",7.041202,43.622164,4G,LTE,-91.0,-12.0,0.0,7.0,-78,173.0,18.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.28",7.041202,43.622164,4G,LTE,-91.0,-12.0,0.0,10.0,-76,54.0,5.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.29",7.041202,43.622164,4G,LTE,-91.0,-12.0,0.0,8.0,-74,52.0,4.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.30",7.041202,43.622164,4G,LTE,-91.0,-12.0,8.0,9.0,-69,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.31",7.041202,43.622164,4G,LTE,-91.0,-12.0,8.0,11.0,-74,19.0,5.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.32",7.041202,43.622164,4G,LTE,-91.0,-12.0,5.0,7.0,-71,104.0,10.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.33",7.041202,43.622164,4G,LTE,-91.0,-12.0,5.0,12.0,-,52.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.34",7.041202,43.622164,4G,LTE,-93.0,-12.0,8.0,8.0,-76,54.0,5.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.35",7.041202,43.622164,4G,LTE,-93.0,-12.0,8.0,12.0,-76,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.36",7.041202,43.622164,4G,LTE,-92.0,-14.0,1.0,12.0,-74,71.0,7.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.37",7.041202,43.622164,4G,LTE,-92.0,-14.0,1.0,10.0,-74,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.38",7.041202,43.622164,4G,LTE,-89.0,-12.0,6.0,12.0,-74,52.0,4.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.39",7.041202,43.622164,4G,LTE,-89.0,-12.0,6.0,13.0,-78,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.40",7.041202,43.622164,4G,LTE,-89.0,-12.0,6.0,12.0,-82,51.0,4.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.41",7.041202,43.622164,4G,LTE,-94.0,-14.0,6.0,12.0,-79,22.0,6.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.42",7.041202,43.622164,4G,LTE,-94.0,-14.0,6.0,12.0,-79,86.0,30.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.43",7.041202,43.622164,4G,LTE,-96.0,-14.0,4.0,7.0,-81,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.44",7.041202,43.622164,4G,LTE,-96.0,-14.0,4.0,11.0,-,2.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.45",7.041202,43.622164,4G,LTE,-102.0,-12.0,7.0,10.0,-88,54.0,5.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.46",7.041202,43.622164,4G,LTE,-102.0,-12.0,7.0,8.0,-86,19.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.47",7.041202,43.622164,4G,LTE,-103.0,-13.0,3.0,8.0,-86,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.48",7.041202,43.622164,4G,LTE,-103.0,-13.0,3.0,10.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.49",7.041202,43.622164,4G,LTE,-100.0,-13.0,5.0,11.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.50",7.041202,43.622164,4G,LTE,-100.0,-13.0,5.0,6.0,-82,34.0,26.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.51",7.041202,43.622164,4G,LTE,-98.0,-13.0,6.0,8.0,-75,19.0,2.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.52",7.041202,43.622164,4G,LTE,-98.0,-13.0,6.0,9.0,-77,0.0,0.0,0.0,0.0,D,PERIODIC,civb12jp
"
2022.07.19_10.38.53",7.041202,43.622164,4G,LTE,-94.0,-12.0,7.0,9.0,-77,0.0,0.0,0.0,0.0,I,PERIODIC,civb12jp
"
2022.07.19_10.38.54",7.041202,43.622164,4G,LTE,-94.0,-12.0,7.0,8.0,-79,70.0,15.0,0.0,0.0,D,PERIODIC,civb12jp
