Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.22_16.11.41",7.088897,43.603357,71.0,4G,LTE,-104.0,-13.0,6.0,9.0,-89,0.0,0.0,182.0,182.0,I,LOG START,m15jku
"
2022.07.22_16.11.42",7.088897,43.603357,71.0,4G,LTE,-104.0,-13.0,6.0,11.0,-87,54.0,4.0,182.0,182.0,D,PERIODIC,m15jku
"
2022.07.22_16.11.43",7.088897,43.603357,71.0,4G,LTE,-105.0,-13.0,5.0,11.0,-87,0.0,0.0,182.0,182.0,D,PERIODIC,m15jku
"
2022.07.22_16.11.44",7.088897,43.603357,71.0,4G,LTE,-105.0,-13.0,5.0,11.0,-91,0.0,0.0,182.0,182.0,I,PERIODIC,m15jku
"
2022.07.22_16.11.45",7.088897,43.603357,71.0,4G,LTE,-107.0,-14.0,2.0,10.0,-94,34.0,45.0,182.0,182.0,D,PERIODIC,m15jku
"
2022.07.22_16.11.46",7.088897,43.603357,71.0,4G,LTE,-107.0,-14.0,2.0,6.0,-,118.0,116.0,182.0,182.0,D,PERIODIC,m15jku
"
2022.07.22_16.11.47",7.088897,43.603357,71.0,4G,LTE,-117.0,-14.0,3.0,8.0,-94,24.0,11.0,182.0,182.0,D,PERIODIC,m15jku
"
2022.07.22_16.11.48",7.088897,43.603357,71.0,4G,LTE,-117.0,-14.0,3.0,8.0,-94,0.0,0.0,182.0,182.0,I,PERIODIC,m15jku
"
2022.07.22_16.11.49",7.088897,43.603357,71.0,4G,LTE,-112.0,-12.0,6.0,9.0,-94,0.0,0.0,182.0,182.0,I,PERIODIC,m15jku
"
2022.07.22_16.11.50",7.088897,43.603357,71.0,4G,LTE,-112.0,-12.0,6.0,9.0,-94,105.0,26.0,182.0,182.0,D,PERIODIC,m15jku
