Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_16.05.37",7.069011,43.615272999999995,72.0,4G,LTE,-98.0,-10.0,8.0,7.0,-81,0.0,0.0,181.0,181.0,I,LOG START,s12jk
"
2022.07.19_16.05.37",7.069011,43.615272999999995,72.0,4G,LTE,-98.0,-10.0,8.0,7.0,-81,0.0,0.0,181.0,181.0,I,PERIODIC,s12jk
"
2022.07.19_16.05.38",7.069011,43.615272999999995,72.0,4G,LTE,-98.0,-10.0,8.0,11.0,-83,0.0,0.0,181.0,181.0,I,PERIODIC,s12jk
"
2022.07.19_16.05.39",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-11.0,9.0,8.0,-79,20.0,3.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.40",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-11.0,9.0,8.0,-85,349.0,182.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.41",7.069011,43.615272999999995,72.0,4G,LTE,-109.0,-12.0,7.0,10.0,-92,1038.0,105.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.42",7.069011,43.615272999999995,72.0,4G,LTE,-109.0,-12.0,7.0,8.0,-,1363.0,134.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.44",7.069011,43.615272999999995,72.0,4G,LTE,-105.0,-7.0,10.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,s12jk
"
2022.07.19_16.05.44",7.069011,43.615272999999995,72.0,4G,LTE,-105.0,-7.0,10.0,8.0,-,72.0,8.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.45",7.069011,43.615272999999995,72.0,4G,LTE,-106.0,-11.0,8.0,8.0,-,2.0,6.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.46",7.069011,43.615272999999995,72.0,4G,LTE,-106.0,-11.0,8.0,6.0,-94,103.0,21.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.47",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-11.0,11.0,9.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,s12jk
"
2022.07.19_16.05.48",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-11.0,11.0,9.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.49",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-11.0,10.0,9.0,-,20.0,3.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.50",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-11.0,10.0,9.0,-86,286.0,88.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.51",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-11.0,12.0,11.0,-83,1.0,1.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.52",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-11.0,12.0,11.0,-81,1.0,2.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.53",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-11.0,12.0,11.0,-81,222.0,50.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.54",7.069011,43.615272999999995,72.0,4G,LTE,-98.0,-11.0,7.0,11.0,-81,614.0,83.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.56",7.069011,43.615272999999995,72.0,4G,LTE,-96.0,-12.0,9.0,9.0,-79,2238.0,490.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.56",7.069011,43.615272999999995,72.0,4G,LTE,-96.0,-12.0,9.0,5.0,-83,11716.0,440.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.58",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-12.0,7.0,5.0,-83,18807.0,557.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.05.59",7.069011,43.615272999999995,72.0,4G,LTE,-100.0,-12.0,7.0,5.0,-83,21350.0,247.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.00",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-13.0,2.0,11.0,-81,16255.0,314.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.01",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-13.0,2.0,11.0,-81,26276.0,370.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.02",7.069011,43.615272999999995,72.0,4G,LTE,-97.0,-12.0,5.0,11.0,-81,22856.0,219.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.03",7.069011,43.615272999999995,72.0,4G,LTE,-97.0,-12.0,5.0,11.0,-81,14321.0,398.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.04",7.069011,43.615272999999995,72.0,4G,LTE,-97.0,-12.0,5.0,11.0,-81,17468.0,669.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.05",7.069011,43.615272999999995,72.0,4G,LTE,-97.0,-12.0,4.0,11.0,-81,14428.0,235.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.06",7.069011,43.615272999999995,72.0,4G,LTE,-97.0,-12.0,4.0,11.0,-81,15276.0,185.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.07",7.069011,43.615272999999995,72.0,4G,LTE,-98.0,-12.0,4.0,11.0,-81,12193.0,90.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.08",7.069011,43.615272999999995,72.0,4G,LTE,-98.0,-12.0,4.0,11.0,-81,5688.0,161.0,181.0,181.0,D,PERIODIC,s12jk
"
2022.07.19_16.06.09",7.069011,43.615272999999995,72.0,4G,LTE,-99.0,-12.0,5.0,11.0,-81,1497.0,27.0,181.0,181.0,D,PERIODIC,s12jk
