Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.22_15.23.21",7.069008,43.615256,4G,LTE,-106.0,-12.0,6.0,14.0,-89,0.0,0.0,182.0,182.0,I,LOG START,s15jku
"
2022.07.22_15.23.21",7.069008,43.615256,4G,LTE,-107.0,-13.0,7.0,14.0,-89,0.0,0.0,182.0,182.0,I,PERIODIC,s15jku
"
2022.07.22_15.23.22",7.069008,43.615256,4G,LTE,-107.0,-13.0,7.0,14.0,-89,0.0,0.0,182.0,182.0,I,PERIODIC,s15jku
"
2022.07.22_15.23.23",7.069008,43.615256,4G,LTE,-106.0,-12.0,4.0,14.0,-89,0.0,0.0,182.0,182.0,I,PERIODIC,s15jku
"
2022.07.22_15.23.24",7.069008,43.615256,4G,LTE,-106.0,-12.0,4.0,12.0,-85,54.0,59.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.25",7.069008,43.615256,4G,LTE,-102.0,-13.0,8.0,14.0,-88,276.0,134.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.26",7.069008,43.615256,4G,LTE,-102.0,-13.0,8.0,14.0,-94,669.0,27.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.27",7.069008,43.615256,4G,LTE,-113.0,-13.0,5.0,15.0,-89,0.0,0.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.28",7.069008,43.615256,4G,LTE,-113.0,-13.0,5.0,12.0,-,54.0,5.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.29",7.069008,43.615256,4G,LTE,-112.0,-13.0,5.0,15.0,-,19.0,3.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.30",7.069008,43.615256,4G,LTE,-112.0,-13.0,5.0,15.0,-,0.0,0.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.31",7.069008,43.615256,4G,LTE,-109.0,-14.0,1.0,14.0,-,54.0,5.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.32",7.069008,43.615256,4G,LTE,-109.0,-14.0,1.0,14.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jku
"
2022.07.22_15.23.33",7.069008,43.615256,4G,LTE,-106.0,-9.0,9.0,13.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jku
"
2022.07.22_15.23.34",7.069008,43.615256,4G,LTE,-106.0,-9.0,9.0,13.0,-,19.0,2.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.35",7.069008,43.615256,4G,LTE,-105.0,-11.0,9.0,9.0,-,1.0,0.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.36",7.069008,43.615256,4G,LTE,-105.0,-11.0,9.0,10.0,-94,3.0,22.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.37",7.069008,43.615256,4G,LTE,-113.0,-13.0,2.0,12.0,-94,225.0,31.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.38",7.069008,43.615256,4G,LTE,-113.0,-13.0,2.0,12.0,-94,1161.0,204.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.39",7.069008,43.615256,4G,LTE,-115.0,-9.0,3.0,12.0,-94,1470.0,383.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.40",7.069008,43.615256,4G,LTE,-115.0,-9.0,3.0,12.0,-94,36121.0,254.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.42",7.069008,43.615256,4G,LTE,-115.0,-12.0,3.0,12.0,-,41108.0,595.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.42",7.069008,43.615256,4G,LTE,-115.0,-12.0,3.0,12.0,-,57041.0,357.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.44",7.069008,43.615256,4G,LTE,-115.0,-9.0,4.0,12.0,-,79672.0,434.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.44",7.069008,43.615256,4G,LTE,-115.0,-9.0,4.0,12.0,-,68681.0,377.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.46",7.069008,43.615256,4G,LTE,-115.0,-9.0,4.0,12.0,-,60989.0,380.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.47",7.069008,43.615256,4G,LTE,-116.0,-13.0,3.0,12.0,-,63440.0,433.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.48",7.069008,43.615256,4G,LTE,-116.0,-13.0,3.0,11.0,-94,7044.0,59.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.48",7.069008,43.615256,4G,LTE,-117.0,-10.0,-7.0,11.0,-94,26903.0,334.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.49",7.069008,43.615256,4G,LTE,-117.0,-10.0,-7.0,11.0,-94,12668.0,125.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.50",7.069008,43.615256,4G,LTE,-116.0,-9.0,-8.0,11.0,-94,78.0,39.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.51",7.069008,43.615256,4G,LTE,-116.0,-9.0,-8.0,11.0,-94,22.0,40.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.52",7.069008,43.615256,4G,LTE,-115.0,-13.0,-10.0,11.0,-94,1.0,12.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.53",7.069008,43.615256,4G,LTE,-115.0,-13.0,-10.0,11.0,-94,10077.0,102.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.55",7.069008,43.615256,4G,LTE,-116.0,-12.0,-11.0,11.0,-94,6286.0,59.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.55",7.069008,43.615256,4G,LTE,-116.0,-12.0,-11.0,11.0,-94,1.0,16.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.57",7.069008,43.615256,4G,LTE,-115.0,-12.0,-7.0,11.0,-94,27.0,33.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.58",7.069008,43.615256,4G,LTE,-115.0,-12.0,-7.0,11.0,-94,159.0,59.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.23.59",7.069008,43.615256,4G,LTE,-114.0,-12.0,-3.0,15.0,-,21169.0,302.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.00",7.069008,43.615256,4G,LTE,-114.0,-12.0,-3.0,15.0,-,6129.0,70.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.00",7.069008,43.615256,4G,LTE,-103.0,-7.0,0.0,10.0,-90,7285.0,225.0,182.0,182.0,D,HANDOVER_DATA_4G4G,s15jku
"
2022.07.22_15.24.02",7.069008,43.615256,4G,LTE,-103.0,-7.0,0.0,10.0,-90,29289.0,170.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.03",7.069008,43.615256,4G,LTE,-106.0,-12.0,3.0,14.0,-87,40027.0,230.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.04",7.069008,43.615256,4G,LTE,-106.0,-12.0,3.0,14.0,-87,20956.0,215.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.05",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,14.0,-87,22145.0,159.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.06",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,14.0,-87,19721.0,119.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.07",7.069008,43.615256,4G,LTE,-105.0,-10.0,5.0,14.0,-87,12407.0,111.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.08",7.069008,43.615256,4G,LTE,-105.0,-10.0,5.0,9.0,-92,29563.0,180.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.09",7.069008,43.615256,4G,LTE,-109.0,-12.0,6.0,8.0,-89,35593.0,269.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.10",7.069008,43.615256,4G,LTE,-109.0,-12.0,6.0,8.0,-89,30311.0,222.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.11",7.069008,43.615256,4G,LTE,-105.0,-12.0,5.0,8.0,-89,21899.0,184.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.12",7.069008,43.615256,4G,LTE,-105.0,-12.0,5.0,8.0,-89,24775.0,145.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.13",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,8.0,-89,26184.0,167.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.14",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,8.0,-89,28361.0,168.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.15",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,8.0,-89,21613.0,177.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.16",7.069008,43.615256,4G,LTE,-106.0,-10.0,4.0,8.0,-89,31601.0,174.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.17",7.069008,43.615256,4G,LTE,-106.0,-10.0,4.0,8.0,-89,31006.0,173.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.18",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,8.0,-89,21656.0,152.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.19",7.069008,43.615256,4G,LTE,-105.0,-12.0,4.0,8.0,-89,38125.0,238.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.20",7.069008,43.615256,4G,LTE,-105.0,-10.0,4.0,8.0,-89,20357.0,167.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.21",7.069008,43.615256,4G,LTE,-105.0,-10.0,4.0,8.0,-89,31875.0,178.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.22",7.069008,43.615256,4G,LTE,-105.0,-10.0,4.0,8.0,-89,37407.0,222.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.23",7.069008,43.615256,4G,LTE,-105.0,-10.0,4.0,14.0,-92,62765.0,342.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.24",7.069008,43.615256,4G,LTE,-109.0,-13.0,7.0,9.0,-88,89776.0,548.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.25",7.069008,43.615256,4G,LTE,-109.0,-13.0,7.0,9.0,-88,50977.0,285.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.26",7.069008,43.615256,4G,LTE,-105.0,-8.0,11.0,9.0,-88,70330.0,413.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.27",7.069008,43.615256,4G,LTE,-105.0,-8.0,11.0,9.0,-88,63698.0,391.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.28",7.069008,43.615256,4G,LTE,-105.0,-8.0,11.0,9.0,-88,42144.0,220.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.29",7.069008,43.615256,4G,LTE,-104.0,-10.0,10.0,9.0,-88,29.0,15.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.30",7.069008,43.615256,4G,LTE,-104.0,-10.0,10.0,7.0,-90,7.0,10.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.31",7.069008,43.615256,4G,LTE,-108.0,-11.0,11.0,7.0,-90,7.0,10.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.32",7.069008,43.615256,4G,LTE,-108.0,-11.0,11.0,7.0,-90,7.0,10.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.33",7.069008,43.615256,4G,LTE,-110.0,-9.0,10.0,9.0,-92,12300.0,91.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.34",7.069008,43.615256,4G,LTE,-110.0,-9.0,10.0,9.0,-90,71920.0,423.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.35",7.069008,43.615256,4G,LTE,-107.0,-12.0,9.0,9.0,-90,76787.0,409.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.36",7.069008,43.615256,4G,LTE,-107.0,-12.0,9.0,13.0,-90,7.0,10.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.37",7.069008,43.615256,4G,LTE,-108.0,-9.0,11.0,9.0,-88,7.0,10.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.38",7.069008,43.615256,4G,LTE,-108.0,-9.0,11.0,9.0,-88,76338.0,498.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.39",7.069008,43.615256,4G,LTE,-105.0,-8.0,9.0,9.0,-88,28238.0,251.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.40",7.069008,43.615256,4G,LTE,-105.0,-8.0,9.0,9.0,-85,48734.0,344.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.41",7.069008,43.615256,4G,LTE,-102.0,-9.0,10.0,9.0,-85,68955.0,491.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.42",7.069008,43.615256,4G,LTE,-102.0,-9.0,10.0,9.0,-85,8249.0,86.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.43",7.069008,43.615256,4G,LTE,-102.0,-8.0,9.0,9.0,-85,28073.0,200.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.44",7.069008,43.615256,4G,LTE,-102.0,-8.0,9.0,9.0,-85,47262.0,256.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.45",7.069008,43.615256,4G,LTE,-102.0,-11.0,9.0,9.0,-85,28312.0,261.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.46",7.069008,43.615256,4G,LTE,-102.0,-11.0,9.0,9.0,-85,25865.0,166.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.47",7.069008,43.615256,4G,LTE,-101.0,-8.0,9.0,9.0,-85,39587.0,265.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.48",7.069008,43.615256,4G,LTE,-101.0,-8.0,9.0,9.0,-85,33045.0,207.0,182.0,182.0,D,PERIODIC,s15jku
"
2022.07.22_15.24.49",7.069008,43.615256,4G,LTE,-101.0,-9.0,8.0,9.0,-85,53125.0,306.0,182.0,182.0,D,PERIODIC,s15jku
