Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.22_14.59.53",7.069002,43.615266999999996,4G,LTE,-109.0,-11.0,2.0,11.0,-,103.0,8.0,182.0,182.0,D,LOG START,s15jx2
"
2022.07.22_14.59.54",7.069002,43.615266999999996,4G,LTE,-109.0,-11.0,2.0,7.0,-93,19.0,2.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_14.59.55",7.069002,43.615266999999996,4G,LTE,-109.0,-10.0,8.0,5.0,-94,0.0,0.0,182.0,182.0,I,PERIODIC,s15jx2
"
2022.07.22_14.59.56",7.069002,43.615266999999996,4G,LTE,-109.0,-10.0,8.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jx2
"
2022.07.22_14.59.57",7.069002,43.615266999999996,4G,LTE,-110.0,-8.0,6.0,5.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jx2
"
2022.07.22_14.59.58",7.069002,43.615266999999996,4G,LTE,-110.0,-8.0,6.0,11.0,-91,34.0,48.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_14.59.59",7.069002,43.615266999999996,4G,LTE,-113.0,-11.0,4.0,9.0,-91,18.0,1.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_15.00.00",7.069002,43.615266999999996,4G,LTE,-113.0,-11.0,4.0,9.0,-94,85.0,64.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_15.00.01",7.069002,43.615266999999996,4G,LTE,-116.0,-10.0,5.0,4.0,-,31.0,14.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_15.00.02",7.069002,43.615266999999996,4G,LTE,-116.0,-10.0,5.0,5.0,-94,0.0,0.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_15.00.03",7.069002,43.615266999999996,4G,LTE,-112.0,-9.0,3.0,8.0,-93,120.0,76.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_15.00.04",7.069002,43.615266999999996,4G,LTE,-112.0,-9.0,3.0,9.0,-94,19.0,2.0,182.0,182.0,D,PERIODIC,s15jx2
"
2022.07.22_15.00.05",7.069002,43.615266999999996,4G,LTE,-110.0,-8.0,7.0,7.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jx2
"
2022.07.22_15.00.06",7.069002,43.615266999999996,4G,LTE,-110.0,-8.0,7.0,7.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jx2
"
2022.07.22_15.00.07",7.069002,43.615266999999996,4G,LTE,-110.0,-10.0,5.0,7.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,s15jx2
