Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_16.51.39",7.069,43.615275,72.0,4G,LTE,-102.0,-11.0,7.0,5.0,-,0.0,0.0,181.0,181.0,I,LOG START,sk11j
"
2022.07.18_16.51.40",7.069,43.615275,72.0,4G,LTE,-102.0,-11.0,7.0,5.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,sk11j
"
2022.07.18_16.51.41",7.069,43.615275,72.0,4G,LTE,-101.0,-9.0,3.0,5.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,sk11j
"
2022.07.18_16.51.41",7.069,43.615275,72.0,4G,LTE,-101.0,-9.0,3.0,10.0,-,19.0,2.0,181.0,181.0,D,PERIODIC,sk11j
"
2022.07.18_16.51.43",7.069,43.615275,72.0,4G,LTE,-101.0,-9.0,3.0,10.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,sk11j
"
2022.07.18_16.51.44",7.069,43.615275,72.0,4G,LTE,-101.0,-9.0,3.0,6.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,sk11j
"
2022.07.18_16.51.45",7.069,43.615275,72.0,4G,LTE,-99.0,-12.0,9.0,6.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,sk11j
"
2022.07.18_16.51.46",7.069,43.615275,72.0,4G,LTE,-99.0,-12.0,9.0,6.0,-82,0.0,0.0,181.0,181.0,I,PERIODIC,sk11j
"
2022.07.18_16.51.47",7.069,43.615275,72.0,4G,LTE,-98.0,-12.0,11.0,10.0,-80,19.0,3.0,181.0,181.0,D,PERIODIC,sk11j
"
2022.07.18_16.51.48",7.069,43.615275,72.0,4G,LTE,-98.0,-12.0,11.0,10.0,-80,0.0,0.0,181.0,181.0,I,PERIODIC,sk11j
"
2022.07.18_16.51.49",7.069,43.615275,72.0,4G,LTE,-98.0,-12.0,4.0,10.0,-80,51.0,4.0,181.0,181.0,D,PERIODIC,sk11j
