Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_17.26.06",7.069017,43.615259,4G,LTE,-112.0,-11.0,12.0,14.0,-94,0.0,0.0,181.0,181.0,I,LOG START,skn11j
"
2022.07.18_17.26.06",7.069017,43.615259,4G,LTE,-112.0,-12.0,6.0,14.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.07",7.069017,43.615259,4G,LTE,-112.0,-12.0,6.0,14.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.08",7.069017,43.615259,4G,LTE,-112.0,-12.0,6.0,14.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.09",7.069017,43.615259,4G,LTE,-111.0,-12.0,8.0,14.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.10",7.069017,43.615259,4G,LTE,-111.0,-12.0,8.0,14.0,-94,1.0,0.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.11",7.069017,43.615259,4G,LTE,-112.0,-10.0,10.0,14.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.12",7.069017,43.615259,4G,LTE,-112.0,-10.0,10.0,14.0,-,51.0,4.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.13",7.069017,43.615259,4G,LTE,-110.0,-11.0,7.0,14.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.14",7.069017,43.615259,4G,LTE,-110.0,-11.0,7.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.15",7.069017,43.615259,4G,LTE,-110.0,-12.0,10.0,13.0,-,51.0,4.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.16",7.069017,43.615259,4G,LTE,-110.0,-12.0,10.0,14.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.17",7.069017,43.615259,4G,LTE,-111.0,-13.0,10.0,14.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.18",7.069017,43.615259,4G,LTE,-111.0,-13.0,10.0,14.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.19",7.069017,43.615259,4G,LTE,-111.0,-13.0,11.0,14.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.20",7.069017,43.615259,4G,LTE,-111.0,-13.0,11.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.21",7.069017,43.615259,4G,LTE,-109.0,-8.0,10.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.22",7.069017,43.615259,4G,LTE,-109.0,-8.0,10.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.23",7.069017,43.615259,4G,LTE,-109.0,-8.0,13.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.24",7.069017,43.615259,4G,LTE,-109.0,-8.0,13.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.25",7.069017,43.615259,4G,LTE,-110.0,-10.0,9.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.26",7.069017,43.615259,4G,LTE,-110.0,-10.0,9.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.27",7.069017,43.615259,4G,LTE,-111.0,-12.0,12.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.28",7.069017,43.615259,4G,LTE,-111.0,-12.0,12.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.29",7.069017,43.615259,4G,LTE,-113.0,-12.0,9.0,13.0,-,39.0,48.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.30",7.069017,43.615259,4G,LTE,-113.0,-12.0,9.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.32",7.069017,43.615259,4G,LTE,-112.0,-14.0,9.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.32",7.069017,43.615259,4G,LTE,-112.0,-14.0,9.0,14.0,-,90.0,23.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.33",7.069017,43.615259,4G,LTE,-109.0,-13.0,12.0,14.0,-,25.0,11.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.35",7.069017,43.615259,4G,LTE,-109.0,-13.0,12.0,8.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.36",7.069017,43.615259,4G,LTE,-111.0,-9.0,7.0,12.0,-,52.0,4.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.37",7.069017,43.615259,4G,LTE,-111.0,-9.0,7.0,14.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.38",7.069017,43.615259,4G,LTE,-111.0,-11.0,12.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.39",7.069017,43.615259,4G,LTE,-111.0,-11.0,12.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.40",7.069017,43.615259,4G,LTE,-111.0,-14.0,7.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.40",7.069017,43.615259,4G,LTE,-111.0,-14.0,7.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.42",7.069017,43.615259,4G,LTE,-111.0,-12.0,8.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.43",7.069017,43.615259,4G,LTE,-111.0,-12.0,8.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.44",7.069017,43.615259,4G,LTE,-111.0,-12.0,13.0,15.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.45",7.069017,43.615259,4G,LTE,-111.0,-12.0,13.0,12.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.46",7.069017,43.615259,4G,LTE,-109.0,-10.0,16.0,12.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.47",7.069017,43.615259,4G,LTE,-109.0,-10.0,16.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,skn11j
"
2022.07.18_17.26.48",7.069017,43.615259,4G,LTE,-108.0,-11.0,11.0,12.0,-,95.0,41.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.49",7.069017,43.615259,4G,LTE,-108.0,-11.0,11.0,12.0,-,609.0,77.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.49",7.069017,43.615259,4G,LTE,-117.0,-13.0,12.0,11.0,-94,13333.0,181.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.51",7.069017,43.615259,4G,LTE,-117.0,-13.0,12.0,11.0,-94,4181.0,420.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.52",7.069017,43.615259,4G,LTE,-116.0,-11.0,9.0,11.0,-94,23748.0,417.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.53",7.069017,43.615259,4G,LTE,-116.0,-11.0,9.0,11.0,-94,44298.0,265.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.54",7.069017,43.615259,4G,LTE,-115.0,-11.0,8.0,8.0,-,20620.0,550.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.55",7.069017,43.615259,4G,LTE,-115.0,-11.0,8.0,8.0,-,3269.0,48.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.56",7.069017,43.615259,4G,LTE,-115.0,-12.0,8.0,8.0,-,20346.0,137.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.57",7.069017,43.615259,4G,LTE,-115.0,-12.0,8.0,8.0,-,12680.0,81.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.58",7.069017,43.615259,4G,LTE,-113.0,-13.0,8.0,10.0,-94,7.0,55.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.26.59",7.069017,43.615259,4G,LTE,-113.0,-13.0,8.0,9.0,-94,26782.0,166.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.00",7.069017,43.615259,4G,LTE,-116.0,-12.0,8.0,12.0,-94,29062.0,261.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.01",7.069017,43.615259,4G,LTE,-116.0,-12.0,8.0,12.0,-94,45797.0,266.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.02",7.069017,43.615259,4G,LTE,-115.0,-13.0,9.0,12.0,-94,31742.0,257.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.03",7.069017,43.615259,4G,LTE,-115.0,-13.0,9.0,12.0,-94,38689.0,254.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.04",7.069017,43.615259,4G,LTE,-116.0,-12.0,9.0,12.0,-94,57769.0,336.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.05",7.069017,43.615259,4G,LTE,-116.0,-12.0,9.0,12.0,-94,47339.0,283.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.06",7.069017,43.615259,4G,LTE,-115.0,-14.0,8.0,12.0,-94,60279.0,338.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.07",7.069017,43.615259,4G,LTE,-115.0,-14.0,8.0,12.0,-94,62748.0,348.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.08",7.069017,43.615259,4G,LTE,-115.0,-13.0,9.0,15.0,-91,58347.0,329.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.09",7.069017,43.615259,4G,LTE,-115.0,-13.0,9.0,15.0,-91,39514.0,257.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.10",7.069017,43.615259,4G,LTE,-107.0,-12.0,12.0,15.0,-91,55761.0,302.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.11",7.069017,43.615259,4G,LTE,-107.0,-12.0,12.0,15.0,-91,54259.0,417.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.12",7.069017,43.615259,4G,LTE,-107.0,-13.0,13.0,12.0,-,72404.0,451.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.13",7.069017,43.615259,4G,LTE,-107.0,-13.0,13.0,12.0,-,49522.0,299.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.15",7.069017,43.615259,4G,LTE,-111.0,-12.0,12.0,15.0,-91,81229.0,507.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.15",7.069017,43.615259,4G,LTE,-111.0,-12.0,12.0,15.0,-94,64210.0,374.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.16",7.069017,43.615259,4G,LTE,-112.0,-13.0,12.0,15.0,-94,34543.0,205.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.17",7.069017,43.615259,4G,LTE,-112.0,-13.0,12.0,12.0,-93,31837.0,221.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.18",7.069017,43.615259,4G,LTE,-110.0,-14.0,11.0,12.0,-94,33801.0,215.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.19",7.069017,43.615259,4G,LTE,-110.0,-14.0,11.0,12.0,-94,26457.0,163.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.20",7.069017,43.615259,4G,LTE,-114.0,-12.0,9.0,13.0,-94,46184.0,275.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.21",7.069017,43.615259,4G,LTE,-114.0,-12.0,9.0,15.0,-,32840.0,290.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.23",7.069017,43.615259,4G,LTE,-109.0,-12.0,10.0,10.0,-94,24268.0,301.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.24",7.069017,43.615259,4G,LTE,-109.0,-12.0,10.0,10.0,-94,16995.0,152.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.25",7.069017,43.615259,4G,LTE,-112.0,-12.0,10.0,10.0,-94,33542.0,186.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.25",7.069017,43.615259,4G,LTE,-112.0,-12.0,10.0,15.0,-93,36436.0,218.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.26",7.069017,43.615259,4G,LTE,-110.0,-12.0,9.0,15.0,-93,28720.0,185.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.28",7.069017,43.615259,4G,LTE,-110.0,-12.0,9.0,15.0,-93,29126.0,179.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.29",7.069017,43.615259,4G,LTE,-109.0,-14.0,10.0,10.0,-94,33113.0,224.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.30",7.069017,43.615259,4G,LTE,-109.0,-14.0,10.0,9.0,-,30002.0,255.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.31",7.069017,43.615259,4G,LTE,-113.0,-12.0,9.0,9.0,-,42411.0,300.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.32",7.069017,43.615259,4G,LTE,-113.0,-12.0,9.0,9.0,-,33470.0,188.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.33",7.069017,43.615259,4G,LTE,-113.0,-13.0,9.0,9.0,-,41598.0,271.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.34",7.069017,43.615259,4G,LTE,-113.0,-13.0,9.0,9.0,-,53377.0,292.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.35",7.069017,43.615259,4G,LTE,-113.0,-13.0,9.0,9.0,-,50046.0,308.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.36",7.069017,43.615259,4G,LTE,-113.0,-13.0,9.0,9.0,-,53686.0,364.0,181.0,181.0,D,PERIODIC,skn11j
"
2022.07.18_17.27.37",7.069017,43.615259,4G,LTE,-113.0,-13.0,8.0,9.0,-,45459.0,286.0,181.0,181.0,D,PERIODIC,skn11j
