Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_17.21.17",7.069017,43.615259,62.0,4G,LTE,-105.0,-9.0,2.0,12.0,-89,0.0,0.0,181.0,181.0,I,LOG START,spn11j
"
2022.07.18_17.21.17",7.069017,43.615259,62.0,4G,LTE,-105.0,-13.0,3.0,12.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.18",7.069017,43.615259,62.0,4G,LTE,-105.0,-13.0,3.0,9.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.19",7.069017,43.615259,62.0,4G,LTE,-110.0,-11.0,2.0,9.0,-92,52.0,4.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.20",7.069017,43.615259,62.0,4G,LTE,-110.0,-11.0,2.0,12.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.21",7.069017,43.615259,62.0,4G,LTE,-110.0,-11.0,2.0,14.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.22",7.069017,43.615259,62.0,4G,LTE,-110.0,-11.0,2.0,15.0,-90,89.0,19.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.23",7.069017,43.615259,62.0,4G,LTE,-106.0,-12.0,3.0,14.0,-88,129.0,94.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.24",7.069017,43.615259,62.0,4G,LTE,-106.0,-12.0,3.0,10.0,-92,18.0,1.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.25",7.069017,43.615259,62.0,4G,LTE,-106.0,-9.0,-2.0,11.0,-90,0.0,0.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.26",7.069017,43.615259,62.0,4G,LTE,-106.0,-9.0,-2.0,10.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.27",7.069017,43.615259,62.0,4G,LTE,-112.0,-12.0,10.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.28",7.069017,43.615259,62.0,4G,LTE,-112.0,-12.0,10.0,10.0,-90,25.0,31.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.29",7.069017,43.615259,62.0,4G,LTE,-106.0,-13.0,9.0,9.0,-90,16.0,4.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.30",7.069017,43.615259,62.0,4G,LTE,-106.0,-13.0,9.0,10.0,-92,0.0,0.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.31",7.069017,43.615259,62.0,4G,LTE,-111.0,-11.0,8.0,9.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.32",7.069017,43.615259,62.0,4G,LTE,-111.0,-11.0,8.0,10.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.33",7.069017,43.615259,62.0,4G,LTE,-109.0,-13.0,11.0,10.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.34",7.069017,43.615259,62.0,4G,LTE,-109.0,-13.0,11.0,11.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.35",7.069017,43.615259,62.0,4G,LTE,-112.0,-11.0,8.0,12.0,-,52.0,4.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.36",7.069017,43.615259,62.0,4G,LTE,-112.0,-11.0,8.0,12.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.37",7.069017,43.615259,62.0,4G,LTE,-111.0,-11.0,11.0,12.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.38",7.069017,43.615259,62.0,4G,LTE,-111.0,-11.0,11.0,12.0,-,52.0,4.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.39",7.069017,43.615259,62.0,4G,LTE,-111.0,-13.0,9.0,14.0,-,0.0,0.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.40",7.069017,43.615259,62.0,4G,LTE,-111.0,-13.0,9.0,11.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.41",7.069017,43.615259,62.0,4G,LTE,-110.0,-8.0,9.0,8.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.42",7.069017,43.615259,62.0,4G,LTE,-110.0,-8.0,9.0,13.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.43",7.069017,43.615259,62.0,4G,LTE,-113.0,-7.0,10.0,15.0,-,38.0,46.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.44",7.069017,43.615259,62.0,4G,LTE,-113.0,-7.0,10.0,11.0,-91,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.45",7.069017,43.615259,62.0,4G,LTE,-108.0,-13.0,11.0,11.0,-91,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.46",7.069017,43.615259,62.0,4G,LTE,-108.0,-13.0,11.0,9.0,-93,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.47",7.069017,43.615259,62.0,4G,LTE,-109.0,-14.0,16.0,9.0,-91,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.48",7.069017,43.615259,62.0,4G,LTE,-109.0,-14.0,16.0,12.0,-93,126.0,72.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.50",7.069017,43.615259,62.0,4G,LTE,-109.0,-9.0,16.0,8.0,-93,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.50",7.069017,43.615259,62.0,4G,LTE,-109.0,-9.0,16.0,7.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.51",7.069017,43.615259,62.0,4G,LTE,-114.0,-13.0,6.0,7.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.53",7.069017,43.615259,62.0,4G,LTE,-114.0,-13.0,6.0,7.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.54",7.069017,43.615259,62.0,4G,LTE,-113.0,-9.0,8.0,7.0,-94,18.0,10.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.55",7.069017,43.615259,62.0,4G,LTE,-113.0,-9.0,8.0,7.0,-94,128.0,96.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.56",7.069017,43.615259,62.0,4G,LTE,-115.0,-13.0,4.0,7.0,-94,42.0,12.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.57",7.069017,43.615259,62.0,4G,LTE,-115.0,-13.0,4.0,11.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.21.58",7.069017,43.615259,62.0,4G,LTE,-115.0,-9.0,2.0,11.0,-94,51.0,4.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.21.59",7.069017,43.615259,62.0,4G,LTE,-115.0,-9.0,2.0,11.0,-94,0.0,0.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.22.00",7.069017,43.615259,62.0,4G,LTE,-110.0,-10.0,8.0,8.0,-94,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.22.01",7.069017,43.615259,62.0,4G,LTE,-110.0,-10.0,8.0,8.0,-94,9.0,26.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.22.02",7.069017,43.615259,62.0,4G,LTE,-112.0,-8.0,9.0,9.0,-,29.0,7.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.22.03",7.069017,43.615259,62.0,4G,LTE,-112.0,-8.0,9.0,11.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.22.04",7.069017,43.615259,62.0,4G,LTE,-112.0,-8.0,9.0,11.0,-,2.0,2.0,181.0,181.0,D,PERIODIC,spn11j
"
2022.07.18_17.22.05",7.069017,43.615259,62.0,4G,LTE,-110.0,-13.0,9.0,11.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
"
2022.07.18_17.22.06",7.069017,43.615259,62.0,4G,LTE,-110.0,-13.0,9.0,11.0,-,0.0,0.0,181.0,181.0,I,PERIODIC,spn11j
