Timestamp,Longitude,Latitude,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.18_18.26.09",7.069103,43.615291,4G,LTE,-109.0,-12.0,1.0,6.0,-92,0.0,0.0,181.0,181.0,I,LOG START,w11jp
"
2022.07.18_18.26.10",7.069103,43.615291,4G,LTE,-109.0,-12.0,1.0,6.0,-90,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.11",7.069103,43.615291,4G,LTE,-108.0,-10.0,3.0,9.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.12",7.069103,43.615291,4G,LTE,-108.0,-10.0,3.0,9.0,-92,19.0,3.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.13",7.069103,43.615291,4G,LTE,-108.0,-10.0,3.0,9.0,-92,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.14",7.069103,43.615291,4G,LTE,-108.0,-12.0,1.0,7.0,-90,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.15",7.069103,43.615291,4G,LTE,-108.0,-12.0,1.0,7.0,-90,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.16",7.069103,43.615291,4G,LTE,-107.0,-11.0,3.0,7.0,-90,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.17",7.069103,43.615291,4G,LTE,-107.0,-11.0,3.0,8.0,-88,20.0,3.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.18",7.069103,43.615291,4G,LTE,-105.0,-12.0,3.0,8.0,-88,2.0,3.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.19",7.069103,43.615291,4G,LTE,-105.0,-12.0,3.0,8.0,-88,163.0,15.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.20",7.069103,43.615291,4G,LTE,-106.0,-13.0,1.0,8.0,-88,53.0,5.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.21",7.069103,43.615291,4G,LTE,-106.0,-13.0,1.0,8.0,-88,52.0,4.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.22",7.069103,43.615291,4G,LTE,-106.0,-13.0,1.0,8.0,-88,26.0,3.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.23",7.069103,43.615291,4G,LTE,-106.0,-13.0,1.0,8.0,-88,104.0,10.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.24",7.069103,43.615291,4G,LTE,-104.0,-9.0,0.0,8.0,-88,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.25",7.069103,43.615291,4G,LTE,-104.0,-9.0,0.0,8.0,-88,105.0,9.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.26",7.069103,43.615291,4G,LTE,-106.0,-7.0,-3.0,11.0,-90,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.27",7.069103,43.615291,4G,LTE,-106.0,-7.0,-3.0,12.0,-87,21.0,4.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.28",7.069103,43.615291,4G,LTE,-104.0,-12.0,-3.0,12.0,-87,52.0,7.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.29",7.069103,43.615291,4G,LTE,-104.0,-12.0,-3.0,12.0,-87,52.0,2.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.30",7.069103,43.615291,4G,LTE,-104.0,-12.0,-1.0,12.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.31",7.069103,43.615291,4G,LTE,-104.0,-12.0,-1.0,12.0,-87,0.0,0.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.32",7.069103,43.615291,4G,LTE,-105.0,-10.0,-1.0,12.0,-87,72.0,8.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.33",7.069103,43.615291,4G,LTE,-105.0,-10.0,-1.0,11.0,-89,12.0,0.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.34",7.069103,43.615291,4G,LTE,-107.0,-8.0,11.0,11.0,-89,129.0,58.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.35",7.069103,43.615291,4G,LTE,-107.0,-8.0,11.0,10.0,-91,19.0,10.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.36",7.069103,43.615291,4G,LTE,-107.0,-12.0,-3.0,7.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.37",7.069103,43.615291,4G,LTE,-107.0,-12.0,-3.0,11.0,-91,47.0,15.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.38",7.069103,43.615291,4G,LTE,-106.0,-8.0,11.0,11.0,-89,113.0,15.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.39",7.069103,43.615291,4G,LTE,-106.0,-8.0,11.0,11.0,-89,26.0,10.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.40",7.069103,43.615291,4G,LTE,-106.0,-9.0,-4.0,11.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.41",7.069103,43.615291,4G,LTE,-106.0,-9.0,-4.0,11.0,-89,53.0,6.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.42",7.069103,43.615291,4G,LTE,-107.0,-8.0,-2.0,11.0,-89,20.0,2.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.43",7.069103,43.615291,4G,LTE,-107.0,-8.0,-2.0,11.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.44",7.069103,43.615291,4G,LTE,-105.0,-12.0,4.0,11.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.45",7.069103,43.615291,4G,LTE,-105.0,-12.0,4.0,11.0,-89,0.0,0.0,181.0,181.0,I,PERIODIC,w11jp
"
2022.07.18_18.26.46",7.069103,43.615291,4G,LTE,-107.0,-11.0,9.0,11.0,-89,54.0,6.0,181.0,181.0,D,PERIODIC,w11jp
"
2022.07.18_18.26.47",7.069103,43.615291,4G,LTE,-107.0,-11.0,9.0,11.0,-89,19.0,2.0,181.0,181.0,D,PERIODIC,w11jp
