Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.07.19_17.28.12",7.069086,43.615277,62.0,4G,LTE,-104.0,-9.0,12.0,9.0,-84,0.0,0.0,181.0,181.0,D,LOG START,w12jk
"
2022.07.19_17.28.13",7.069086,43.615277,62.0,4G,LTE,-103.0,-8.0,9.0,9.0,-84,19.0,3.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.14",7.069086,43.615277,62.0,4G,LTE,-103.0,-8.0,9.0,10.0,-86,0.0,0.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.15",7.069086,43.615277,62.0,4G,LTE,-102.0,-7.0,8.0,10.0,-86,0.0,0.0,181.0,181.0,I,PERIODIC,w12jk
"
2022.07.19_17.28.16",7.069086,43.615277,62.0,4G,LTE,-102.0,-7.0,8.0,9.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,w12jk
"
2022.07.19_17.28.17",7.069086,43.615277,62.0,4G,LTE,-104.0,-7.0,7.0,8.0,-86,330.0,125.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.18",7.069086,43.615277,62.0,4G,LTE,-104.0,-7.0,7.0,8.0,-86,364.0,101.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.19",7.069086,43.615277,62.0,4G,LTE,-103.0,-9.0,10.0,8.0,-86,79.0,14.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.20",7.069086,43.615277,62.0,4G,LTE,-103.0,-9.0,10.0,8.0,-86,0.0,0.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.21",7.069086,43.615277,62.0,4G,LTE,-104.0,-13.0,9.0,9.0,-84,0.0,0.0,181.0,181.0,I,PERIODIC,w12jk
"
2022.07.19_17.28.22",7.069086,43.615277,62.0,4G,LTE,-104.0,-13.0,9.0,9.0,-85,0.0,0.0,181.0,181.0,I,PERIODIC,w12jk
"
2022.07.19_17.28.23",7.069086,43.615277,62.0,4G,LTE,-101.0,-10.0,6.0,9.0,-85,72.0,7.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.24",7.069086,43.615277,62.0,4G,LTE,-101.0,-10.0,6.0,9.0,-85,0.0,0.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.25",7.069086,43.615277,62.0,4G,LTE,-103.0,-7.0,9.0,10.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,w12jk
"
2022.07.19_17.28.26",7.069086,43.615277,62.0,4G,LTE,-103.0,-7.0,9.0,10.0,-87,0.0,0.0,181.0,181.0,I,PERIODIC,w12jk
"
2022.07.19_17.28.27",7.069086,43.615277,62.0,4G,LTE,-103.0,-10.0,11.0,10.0,-87,237.0,87.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.28",7.069086,43.615277,62.0,4G,LTE,-103.0,-10.0,11.0,10.0,-87,20.0,3.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.29",7.069086,43.615277,62.0,4G,LTE,-102.0,-12.0,6.0,13.0,-85,0.0,0.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.30",7.069086,43.615277,62.0,4G,LTE,-102.0,-12.0,6.0,8.0,-85,217.0,51.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.31",7.069086,43.615277,62.0,4G,LTE,-106.0,-9.0,11.0,7.0,-86,320.0,96.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.32",7.069086,43.615277,62.0,4G,LTE,-106.0,-9.0,11.0,9.0,-88,1049.0,252.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.33",7.069086,43.615277,62.0,4G,LTE,-104.0,-13.0,10.0,15.0,-85,5154.0,496.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.34",7.069086,43.615277,62.0,4G,LTE,-104.0,-13.0,10.0,12.0,-94,46244.0,336.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.35",7.069086,43.615277,62.0,4G,LTE,-112.0,-13.0,10.0,8.0,-93,29192.0,541.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.36",7.069086,43.615277,62.0,4G,LTE,-112.0,-13.0,10.0,14.0,-91,17.0,45.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.37",7.069086,43.615277,62.0,4G,LTE,-104.0,-9.0,9.0,10.0,-86,7.0,1.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.38",7.069086,43.615277,62.0,4G,LTE,-104.0,-9.0,9.0,9.0,-92,52558.0,340.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.39",7.069086,43.615277,62.0,4G,LTE,-109.0,-11.0,10.0,9.0,-92,91941.0,583.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.40",7.069086,43.615277,62.0,4G,LTE,-109.0,-11.0,10.0,9.0,-92,11.0,31.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.41",7.069086,43.615277,62.0,4G,LTE,-108.0,-8.0,12.0,9.0,-92,3778.0,33.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.42",7.069086,43.615277,62.0,4G,LTE,-108.0,-8.0,12.0,9.0,-94,70032.0,397.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.43",7.069086,43.615277,62.0,4G,LTE,-108.0,-8.0,12.0,10.0,-92,26031.0,194.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.44",7.069086,43.615277,62.0,4G,LTE,-109.0,-9.0,14.0,10.0,-92,43634.0,236.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.45",7.069086,43.615277,62.0,4G,LTE,-109.0,-9.0,14.0,10.0,-88,7.0,10.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.46",7.069086,43.615277,62.0,4G,LTE,-104.0,-10.0,8.0,10.0,-88,7.0,10.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.47",7.069086,43.615277,62.0,4G,LTE,-104.0,-10.0,8.0,10.0,-88,58851.0,340.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.48",7.069086,43.615277,62.0,4G,LTE,-104.0,-10.0,8.0,10.0,-91,16870.0,117.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.49",7.069086,43.615277,62.0,4G,LTE,-108.0,-7.0,12.0,12.0,-89,7.0,10.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.50",7.069086,43.615277,62.0,4G,LTE,-108.0,-7.0,12.0,12.0,-89,5.0,9.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.51",7.069086,43.615277,62.0,4G,LTE,-105.0,-8.0,10.0,12.0,-89,24650.0,154.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.52",7.069086,43.615277,62.0,4G,LTE,-105.0,-8.0,10.0,7.0,-91,31990.0,175.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.53",7.069086,43.615277,62.0,4G,LTE,-107.0,-9.0,12.0,8.0,-91,38.0,35.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.54",7.069086,43.615277,62.0,4G,LTE,-107.0,-9.0,12.0,10.0,-86,153.0,29.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.55",7.069086,43.615277,62.0,4G,LTE,-107.0,-9.0,12.0,9.0,-94,52612.0,291.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.56",7.069086,43.615277,62.0,4G,LTE,-112.0,-10.0,11.0,10.0,-85,7.0,10.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.57",7.069086,43.615277,62.0,4G,LTE,-112.0,-10.0,11.0,9.0,-84,7.0,12.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.58",7.069086,43.615277,62.0,4G,LTE,-105.0,-7.0,18.0,8.0,-92,28.0,13.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.28.59",7.069086,43.615277,62.0,4G,LTE,-105.0,-7.0,18.0,8.0,-89,66959.0,460.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.29.00",7.069086,43.615277,62.0,4G,LTE,-110.0,-8.0,9.0,9.0,-89,62.0,13.0,181.0,181.0,D,PERIODIC,w12jk
"
2022.07.19_17.29.01",7.069086,43.615277,62.0,4G,LTE,-110.0,-8.0,9.0,12.0,-,8.0,11.0,181.0,181.0,D,PERIODIC,w12jk
