Latitude,NetworkMode,Level,Qual,SNR,DL_bitrate,Altitude,Height,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
0.0,0.0,162.0,0.0,-51.0,3G,0.0,16.0,390.0,0.0,-51.0,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
,,,,,,,,,,,w15jk
