ID,Stall,Quality,Time,CQI1,CQI2,CQI3,cSTD CQI,cMajority,c25 P,c50 P,c75 P,RSRP1,RSRP2,RSRP3,pMajority,p25 P,p50 P,p75 P,RSRQ1,RSRQ2,RSRQ3,qMajority,q25 P,q50 P,q75 P,SNR1,SNR2,SNR3,sMajority,s25 P,s50 P,s75 P
4P7s2,No,hd2160,16:14:29,13,13,13,0,13,13,13,13,-76,-76,-81,-76,-78.5,-76,-76,-7,-7,-12,-7,-9.5,-7,-7,12,12,7,12,9.5,12,12
4P7s2,No,hd2160,16:14:30,13,13,13,0,13,13,13,13,-76,-76,-81,-76,-78.5,-76,-76,-7,-7,-12,-7,-9.5,-7,-7,12,12,7,12,9.5,12,12
4P7s2,No,hd2160,16:14:31,13,13,13,0,13,13,13,13,-76,-81,-81,-81,-81,-81,-78.5,-7,-12,-12,-12,-12,-12,-9.5,12,7,7,7,7,7,9.5
4P7s2,No,hd2160,16:14:32,13,13,12,0.4714045208,13,12.5,13,13,-81,-81,-82,-81,-81.5,-81,-81,-12,-12,-11,-12,-12,-12,-11.5,7,7,2,7,4.5,7,7
4P7s2,No,hd2160,16:14:33,12,14,12,0.9428090416,12,12,12,13,-82,-82,-76,-82,-82,-82,-79,-11,-11,-7,-11,-11,-11,-9,2,2,9,2,2,2,5.5
4P7s2,No,hd2160,16:14:34,12,14,12,0.9428090416,12,12,12,13,-82,-82,-76,-82,-82,-82,-79,-11,-11,-7,-11,-11,-11,-9,2,2,9,2,2,2,5.5
4P7s2,No,hd2160,16:14:35,14,12,11,1.247219129,14,11.5,12,13,-82,-76,-76,-76,-79,-76,-76,-11,-7,-7,-7,-9,-7,-7,2,9,9,9,5.5,9,9
4P7s2,No,hd2160,16:14:36,11,8,7,1.699673171,11,7.5,8,9.5,-76,-80,-80,-80,-80,-80,-78,-7,-7,-7,-7,-7,-7,-7,9,11,11,11,10,11,11
4P7s2,No,hd2160,16:14:37,8,7,7,0.4714045208,7,7,7,7.5,-80,-80,-81,-80,-80.5,-80,-80,-7,-7,-8,-7,-7.5,-7,-7,11,11,10,11,10.5,11,11
4P7s2,No,hd2160,16:14:38,7,7,8,0.4714045208,7,7,7,7.5,-80,-81,-81,-81,-81,-81,-80.5,-7,-8,-8,-8,-8,-8,-7.5,11,10,10,10,10,10,10.5
4P7s2,No,hd2160,16:14:39,7,8,12,2.160246899,7,7.5,8,10,-81,-81,-80,-81,-81,-81,-80.5,-8,-8,-7,-8,-8,-8,-7.5,10,10,8,10,9,10,10
4P7s2,No,hd2160,16:14:40,8,12,9,1.699673171,8,8.5,9,10.5,-81,-80,-80,-80,-80.5,-80,-80,-8,-7,-7,-7,-7.5,-7,-7,10,8,8,8,8,8,9
4P7s2,No,hd2160,16:14:41,12,9,9,1.414213562,9,9,9,10.5,-80,-80,-80,-80,-80,-80,-80,-7,-7,-7,-7,-7,-7,-7,8,8,8,8,8,8,8
4P7s2,No,hd2160,16:14:42,12,9,9,1.414213562,9,9,9,10.5,-80,-80,-80,-80,-80,-80,-80,-7,-7,-7,-7,-7,-7,-7,8,8,8,8,8,8,8
4P7s2,No,hd2160,16:14:43,9,9,10,0.4714045208,9,9,9,9.5,-80,-80,-77,-80,-80,-80,-78.5,-7,-7,-6,-7,-7,-7,-6.5,8,8,2,8,5,8,8
4P7s2,No,hd2160,16:14:44,10,9,12,1.247219129,10,9.5,10,11,-77,-77,-78,-77,-77.5,-77,-77,-6,-6,-6,-6,-6,-6,-6,2,2,9,2,2,2,5.5
4P7s2,No,hd2160,16:14:45,9,12,12,1.414213562,12,10.5,12,12,-77,-78,-78,-78,-78,-78,-77.5,-6,-6,-6,-6,-6,-6,-6,2,9,9,9,5.5,9,9
4P7s2,No,hd2160,16:14:46,12,12,7,2.357022604,12,9.5,12,12,-78,-78,-78,-78,-78,-78,-78,-6,-6,-6,-6,-6,-6,-6,9,9,11,9,9,9,10
4P7s2,No,hd2160,16:14:47,12,12,7,2.357022604,12,9.5,12,12,-78,-78,-78,-78,-78,-78,-78,-6,-6,-6,-6,-6,-6,-6,9,9,11,9,9,9,10
4P7s2,No,hd2160,16:14:48,12,7,11,2.160246899,12,9,11,11.5,-78,-78,-78,-78,-78,-78,-78,-6,-6,-6,-6,-6,-6,-6,9,11,11,11,10,11,11
4P7s2,No,hd2160,16:14:49,7,11,12,2.160246899,7,9,11,11.5,-78,-78,-78,-78,-78,-78,-78,-6,-6,-6,-6,-6,-6,-6,11,11,14,11,11,11,12.5
4P7s2,No,hd2160,16:14:50,11,12,14,1.247219129,11,11.5,12,13,-78,-78,-78,-78,-78,-78,-78,-6,-6,-6,-6,-6,-6,-6,11,14,14,14,12.5,14,14
4P7s2,No,hd2160,16:14:51,12,14,8,2.494438258,12,10,12,13,-78,-78,-78,-78,-78,-78,-78,-6,-6,-7,-6,-6.5,-6,-6,14,14,4,14,9,14,14
4P7s2,No,hd2160,16:14:52,14,8,8,2.828427125,8,8,8,11,-78,-78,-78,-78,-78,-78,-78,-6,-7,-7,-7,-7,-7,-6.5,14,4,4,4,4,4,9
4P7s2,No,hd2160,16:14:53,8,8,8,0,8,8,8,8,-78,-78,-81,-78,-79.5,-78,-78,-7,-7,-8,-7,-7.5,-7,-7,4,4,5,4,4,4,4.5
4P7s2,No,hd2160,16:14:54,8,8,9,0.4714045208,8,8,8,8.5,-78,-81,-81,-81,-81,-81,-79.5,-7,-8,-8,-8,-8,-8,-7.5,4,5,5,5,4.5,5,5
4P7s2,No,hd2160,16:14:55,8,9,9,0.4714045208,9,8.5,9,9,-81,-81,-79,-81,-81,-81,-80,-8,-8,-7,-8,-8,-8,-7.5,5,5,1,5,3,5,5
4P7s2,No,hd2160,16:14:56,9,9,12,1.414213562,9,9,9,10.5,-81,-79,-79,-79,-80,-79,-79,-8,-7,-7,-7,-7.5,-7,-7,5,1,1,1,1,1,3
4P7s2,No,hd2160,16:14:57,9,12,12,1.414213562,12,10.5,12,12,-79,-79,-76,-79,-79,-79,-77.5,-7,-7,-9,-7,-8,-7,-7,1,1,4,1,1,1,2.5
4P7s2,No,hd2160,16:14:58,12,12,10,0.9428090416,12,11,12,12,-79,-76,-76,-76,-77.5,-76,-76,-7,-9,-9,-9,-9,-9,-8,1,4,4,4,2.5,4,4
4P7s2,No,hd2160,16:14:59,12,10,11,0.8164965809,12,10.5,11,11.5,-76,-76,-76,-76,-76,-76,-76,-9,-9,-9,-9,-9,-9,-9,4,4,4,4,4,4,4
4P7s2,No,hd2160,16:15:00,10,11,13,1.247219129,10,10.5,11,12,-76,-76,-78,-76,-77,-76,-76,-9,-9,-10,-9,-9.5,-9,-9,4,4,13,4,4,4,8.5
4P7s2,No,hd2160,16:15:01,11,13,13,0.9428090416,13,12,13,13,-76,-78,-78,-78,-78,-78,-77,-9,-10,-10,-10,-10,-10,-9.5,4,13,13,13,8.5,13,13
4P7s2,No,hd2160,16:15:02,13,13,11,0.9428090416,13,12,13,13,-78,-78,-75,-78,-78,-78,-76.5,-10,-10,-7,-10,-10,-10,-8.5,13,13,8,13,10.5,13,13
4P7s2,No,hd2160,16:15:03,13,11,11,0.9428090416,11,11,11,12,-78,-75,-75,-75,-76.5,-75,-75,-10,-7,-7,-7,-8.5,-7,-7,13,8,8,8,8,8,10.5
4P7s2,No,hd2160,16:15:04,11,11,11,0,11,11,11,11,-75,-75,-78,-75,-76.5,-75,-75,-7,-7,-9,-7,-8,-7,-7,8,8,10,8,8,8,9
4P7s2,No,hd2160,16:15:05,11,11,7,1.885618083,11,9,11,11,-75,-78,-78,-78,-78,-78,-76.5,-7,-9,-9,-9,-9,-9,-8,8,10,10,10,9,10,10
4P7s2,No,hd2160,16:15:06,11,7,11,1.885618083,11,9,11,11,-78,-78,-80,-78,-79,-78,-78,-9,-9,-8,-9,-9,-9,-8.5,10,10,5,10,7.5,10,10
4P7s2,No,hd2160,16:15:07,7,11,9,1.632993162,7,8,9,10,-78,-80,-80,-80,-80,-80,-79,-9,-8,-8,-8,-8.5,-8,-8,10,5,5,5,5,5,7.5
4P7s2,No,hd2160,16:15:08,11,9,11,0.9428090416,11,10,11,11,-80,-80,-80,-80,-80,-80,-80,-8,-8,-9,-8,-8.5,-8,-8,5,5,7,5,5,5,6
4P7s2,No,hd2160,16:15:09,9,11,9,0.9428090416,9,9,9,10,-80,-80,-80,-80,-80,-80,-80,-8,-9,-9,-9,-9,-9,-8.5,5,7,7,7,6,7,7
4P7s2,No,hd2160,16:15:10,11,9,15,2.494438258,11,10,11,13,-80,-80,-82,-80,-81,-80,-80,-9,-9,-11,-9,-10,-9,-9,7,7,2,7,4.5,7,7
4P7s2,No,hd2160,16:15:11,9,15,10,2.624669291,9,9.5,10,12.5,-80,-82,-82,-82,-82,-82,-81,-9,-11,-11,-11,-11,-11,-10,7,2,2,2,2,2,4.5
4P7s2,No,hd2160,16:15:12,15,10,10,2.357022604,10,10,10,12.5,-82,-82,-80,-82,-82,-82,-81,-11,-11,-12,-11,-11.5,-11,-11,2,2,13,2,2,2,7.5
4P7s2,No,hd2160,16:15:13,10,10,10,0,10,10,10,10,-82,-80,-80,-80,-81,-80,-80,-11,-12,-12,-12,-12,-12,-11.5,2,13,13,13,7.5,13,13
4P7s2,No,hd2160,16:15:14,10,10,7,1.414213562,10,8.5,10,10,-80,-80,-82,-80,-81,-80,-80,-12,-12,-10,-12,-12,-12,-11,13,13,8,13,10.5,13,13
4P7s2,No,hd2160,16:15:15,10,7,14,2.867441756,10,8.5,10,12,-80,-82,-82,-82,-82,-82,-81,-12,-10,-10,-10,-11,-10,-10,13,8,8,8,8,8,10.5
4P7s2,No,hd2160,16:15:16,7,14,12,2.943920289,7,9.5,12,13,-82,-82,-78,-82,-82,-82,-80,-10,-10,-8,-10,-10,-10,-9,8,8,15,8,8,8,11.5
4P7s2,No,hd2160,16:15:17,14,12,10,1.632993162,14,11,12,13,-82,-78,-78,-78,-80,-78,-78,-10,-8,-8,-8,-9,-8,-8,8,15,15,15,11.5,15,15
4P7s2,No,hd2160,16:15:18,12,10,12,0.9428090416,12,11,12,12,-78,-78,-80,-78,-79,-78,-78,-8,-8,-10,-8,-9,-8,-8,15,15,11,15,13,15,15
4P7s2,No,hd2160,16:15:19,10,12,11,0.8164965809,10,10.5,11,11.5,-78,-80,-80,-80,-80,-80,-79,-8,-10,-10,-10,-10,-10,-9,15,11,11,11,11,11,13
4P7s2,No,hd2160,16:15:20,12,11,7,2.160246899,12,9,11,11.5,-80,-80,-75,-80,-80,-80,-77.5,-10,-10,-5,-10,-10,-10,-7.5,11,11,20,11,11,11,15.5
4P7s2,No,hd2160,16:15:21,11,7,8,1.699673171,11,7.5,8,9.5,-80,-75,-75,-75,-77.5,-75,-75,-10,-5,-5,-5,-7.5,-5,-5,11,20,20,20,15.5,20,20
4P7s2,No,hd2160,16:15:22,7,8,9,0.8164965809,7,7.5,8,8.5,-75,-75,-82,-75,-78.5,-75,-75,-5,-5,-6,-5,-5.5,-5,-5,20,20,12,20,16,20,20
4P7s2,No,hd2160,16:15:23,8,9,10,0.8164965809,8,8.5,9,9.5,-75,-82,-82,-82,-82,-82,-78.5,-5,-6,-6,-6,-6,-6,-5.5,20,12,12,12,12,12,16
4P7s2,No,hd2160,16:15:24,9,10,9,0.4714045208,9,9,9,9.5,-82,-82,-84,-82,-83,-82,-82,-6,-6,-6,-6,-6,-6,-6,12,12,4,12,8,12,12
4P7s2,No,hd2160,16:15:25,10,9,9,0.4714045208,9,9,9,9.5,-82,-84,-84,-84,-84,-84,-83,-6,-6,-6,-6,-6,-6,-6,12,4,4,4,4,4,8
4P7s2,No,hd2160,16:15:26,9,9,9,0,9,9,9,9,-84,-84,-82,-84,-84,-84,-83,-6,-6,-7,-6,-6.5,-6,-6,4,4,10,4,4,4,7
4P7s2,No,hd2160,16:15:27,9,9,9,0,9,9,9,9,-84,-82,-82,-82,-83,-82,-82,-6,-7,-7,-7,-7,-7,-6.5,4,10,10,10,7,10,10
4P7s2,No,hd2160,16:15:28,9,9,11,0.9428090416,9,9,9,10,-82,-82,-81,-82,-82,-82,-81.5,-7,-7,-8,-7,-7.5,-7,-7,10,10,12,10,10,10,11
4P7s2,No,hd2160,16:15:29,9,11,9,0.9428090416,9,9,9,10,-82,-81,-81,-81,-81.5,-81,-81,-7,-8,-8,-8,-8,-8,-7.5,10,12,12,12,11,12,12
4P7s2,No,hd2160,16:15:30,11,9,9,0.9428090416,9,9,9,10,-81,-81,-82,-81,-81.5,-81,-81,-8,-8,-11,-8,-9.5,-8,-8,12,12,12,12,12,12,12
4P7s2,No,hd2160,16:15:31,9,9,10,0.4714045208,9,9,9,9.5,-81,-82,-82,-82,-82,-82,-81.5,-8,-11,-11,-11,-11,-11,-9.5,12,12,12,12,12,12,12
4P7s2,No,hd2160,16:15:32,9,10,9,0.4714045208,9,9,9,9.5,-82,-82,-80,-82,-82,-82,-81,-11,-11,-7,-11,-11,-11,-9,12,12,8,12,10,12,12
4P7s2,No,hd2160,16:15:33,10,9,12,1.247219129,10,9.5,10,11,-82,-80,-80,-80,-81,-80,-80,-11,-7,-7,-7,-9,-7,-7,12,8,8,8,8,8,10
