Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_11.10.49",7.044905,43.623614,71.0,4G,LTE,-106.0,-15.0,-4.0,9.0,-107.0,0.0,0.0,193.0,193.0,D,LOG START,3A25auglte
"
2022.08.25_11.10.49",7.044905,43.623614,71.0,4G,LTE,-106.0,-15.0,-4.0,9.0,-107.0,0.0,0.0,193.0,193.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.49",7.044916000000001,43.623607,71.0,4G,LTE,-106.0,-15.0,-4.0,9.0,-107.0,0.0,0.0,200.0,200.0,I,,3A25auglte
"
2022.08.25_11.10.50",7.044916000000001,43.623607,71.0,4G,LTE,-106.0,-16.0,-5.0,9.0,-107.0,0.0,0.0,200.0,200.0,I,PERIODIC,3A25auglte
"
2022.08.25_11.10.51",7.044916000000001,43.623607,71.0,4G,LTE,-106.0,-16.0,-5.0,9.0,-107.0,0.0,0.0,200.0,200.0,I,PERIODIC,3A25auglte
"
2022.08.25_11.10.52",7.044916000000001,43.623607,71.0,4G,LTE,-106.0,-16.0,-5.0,9.0,-107.0,42.0,61.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.53",7.044916000000001,43.623607,71.0,4G,LTE,-108.0,-15.0,-4.0,8.0,-107.0,54.0,15.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.54",7.044916000000001,43.623607,71.0,4G,LTE,-108.0,-15.0,-4.0,8.0,-107.0,80.0,7.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.55",7.044916000000001,43.623607,71.0,4G,LTE,-106.0,-15.0,-4.0,8.0,-105.0,16.0,75.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.56",7.044916000000001,43.623607,71.0,4G,LTE,-106.0,-15.0,-4.0,8.0,-107.0,43.0,29.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.57",7.044916000000001,43.623607,71.0,4G,LTE,-107.0,-16.0,-4.0,8.0,-107.0,21.0,5.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.58",7.044916000000001,43.623607,71.0,4G,LTE,-107.0,-16.0,-4.0,8.0,-111.0,13.0,11.0,200.0,200.0,D,PERIODIC,3A25auglte
"
2022.08.25_11.10.59",7.044916000000001,43.623607,71.0,4G,LTE,-110.0,-15.0,-4.0,9.0,-111.0,30.0,62.0,200.0,200.0,D,PERIODIC,3A25auglte
