Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.25_11.43.39",7.054125,43.613934,72.0,4G,LTE,-96.0,-11.0,6.0,12.0,-97.0,0.0,0.0,197.0,197.0,D,LOG START,3M25auglte
"
2022.08.25_11.43.39",7.054125,43.613934,71.0,4G,LTE,-90.0,-11.0,-11.0,6.0,-97.0,0.0,0.0,197.0,197.0,D,HANDOVER_DATA_4G4G,3M25auglte
"
2022.08.25_11.43.40",7.054013,43.613953,71.0,4G,LTE,-90.0,-11.0,-11.0,6.0,-97.0,0.0,0.0,198.0,198.0,I,,3M25auglte
"
2022.08.25_11.43.40",7.054013,43.613953,71.0,4G,LTE,-90.0,-11.0,-1.0,6.0,-97.0,0.0,0.0,198.0,198.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.43.41",7.054013,43.613953,71.0,4G,LTE,-90.0,-11.0,-1.0,6.0,-97.0,0.0,0.0,198.0,198.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.43.42",7.054013,43.613953,71.0,4G,LTE,-90.0,-11.0,-1.0,6.0,-91.0,33.0,14.0,198.0,198.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.43",7.0539559999999994,43.614033,71.0,4G,LTE,-90.0,-11.0,-1.0,6.0,-95.0,33.0,14.0,196.0,196.0,D,,3M25auglte
"
2022.08.25_11.43.43",7.0539559999999994,43.614033,71.0,4G,LTE,-95.0,-13.0,-1.0,6.0,-95.0,70.0,10.0,196.0,196.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.44",7.0539559999999994,43.614033,72.0,4G,LTE,-95.0,-13.0,-4.0,6.0,-101.0,0.0,1.0,196.0,196.0,D,HANDOVER_DATA_4G4G,3M25auglte
"
2022.08.25_11.43.45",7.053863000000001,43.614094,72.0,4G,LTE,-95.0,-13.0,-4.0,6.0,-95.0,0.0,1.0,198.0,198.0,D,,3M25auglte
"
2022.08.25_11.43.45",7.053863000000001,43.614094,72.0,4G,LTE,-95.0,-12.0,-9.0,12.0,-95.0,61.0,32.0,198.0,198.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.46",7.053863000000001,43.614094,72.0,4G,LTE,-95.0,-12.0,-9.0,12.0,-93.0,5.0,3.0,198.0,198.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.47",7.053775999999999,43.614173,72.0,4G,LTE,-95.0,-12.0,-9.0,12.0,-93.0,5.0,3.0,200.0,200.0,D,,3M25auglte
"
2022.08.25_11.43.47",7.053775999999999,43.614173,72.0,4G,LTE,-92.0,-11.0,11.0,15.0,-93.0,117.0,55.0,200.0,200.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.48",7.053775999999999,43.614173,72.0,4G,LTE,-92.0,-11.0,11.0,15.0,-97.0,91.0,14.0,200.0,200.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.49",7.053686,43.614253999999995,72.0,4G,LTE,-92.0,-11.0,11.0,15.0,-97.0,91.0,14.0,201.0,201.0,D,,3M25auglte
"
2022.08.25_11.43.49",7.053686,43.614253999999995,72.0,4G,LTE,-97.0,-13.0,11.0,9.0,-97.0,0.0,0.0,201.0,201.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.50",7.053686,43.614253999999995,72.0,4G,LTE,-97.0,-13.0,11.0,9.0,-97.0,0.0,0.0,201.0,201.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.43.51",7.053611,43.614354,72.0,4G,LTE,-97.0,-13.0,11.0,9.0,-97.0,0.0,0.0,202.0,202.0,I,,3M25auglte
"
2022.08.25_11.43.51",7.053611,43.614354,72.0,4G,LTE,-96.0,-10.0,11.0,9.0,-97.0,0.0,0.0,202.0,202.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.43.52",7.053611,43.614354,72.0,4G,LTE,-96.0,-10.0,11.0,9.0,-93.0,0.0,0.0,202.0,202.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.53",7.053532000000001,43.614453000000005,72.0,4G,LTE,-96.0,-10.0,11.0,9.0,-93.0,0.0,0.0,203.0,203.0,I,,3M25auglte
"
2022.08.25_11.43.53",7.053532000000001,43.614453000000005,72.0,4G,LTE,-93.0,-9.0,11.0,8.0,-93.0,0.0,0.0,203.0,203.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.43.54",7.053532000000001,43.614453000000005,72.0,4G,LTE,-93.0,-9.0,11.0,8.0,-95.0,0.0,0.0,203.0,203.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.43.55",7.0534229999999996,43.61457,72.0,4G,LTE,-93.0,-9.0,11.0,8.0,-91.0,0.0,0.0,204.0,204.0,D,,3M25auglte
"
2022.08.25_11.43.55",7.0534229999999996,43.61457,72.0,4G,LTE,-91.0,-9.0,10.0,11.0,-91.0,1.0,1.0,204.0,204.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.56",7.0534229999999996,43.61457,72.0,4G,LTE,-91.0,-9.0,10.0,11.0,-91.0,0.0,0.0,204.0,204.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.57",7.053350999999999,43.614675,72.0,4G,LTE,-91.0,-9.0,10.0,11.0,-91.0,0.0,0.0,206.0,206.0,I,,3M25auglte
"
2022.08.25_11.43.57",7.053350999999999,43.614675,72.0,4G,LTE,-91.0,-11.0,9.0,9.0,-91.0,6.0,12.0,206.0,206.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.58",7.053350999999999,43.614675,72.0,4G,LTE,-91.0,-11.0,9.0,9.0,-91.0,0.0,0.0,206.0,206.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.43.59",7.05324,43.614829,72.0,4G,LTE,-91.0,-11.0,9.0,9.0,-91.0,0.0,0.0,207.0,207.0,I,,3M25auglte
"
2022.08.25_11.43.59",7.05324,43.614829,72.0,4G,LTE,-91.0,-12.0,9.0,9.0,-91.0,0.0,0.0,207.0,207.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.44.00",7.05324,43.614829,72.0,4G,LTE,-91.0,-12.0,9.0,9.0,-89.0,0.0,0.0,207.0,207.0,I,PERIODIC,3M25auglte
"
2022.08.25_11.44.01",7.053205,43.614982,72.0,4G,LTE,-91.0,-12.0,9.0,9.0,-91.0,0.0,0.0,206.0,206.0,I,,3M25auglte
"
2022.08.25_11.44.01",7.053205,43.614982,72.0,4G,LTE,-89.0,-13.0,9.0,11.0,-91.0,51.0,42.0,206.0,206.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.02",7.053244,43.615078000000004,72.0,4G,LTE,-89.0,-13.0,9.0,11.0,-91.0,51.0,42.0,208.0,208.0,D,,3M25auglte
"
2022.08.25_11.44.02",7.053244,43.615078000000004,72.0,4G,LTE,-89.0,-13.0,9.0,11.0,-91.0,596.0,88.0,208.0,208.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.03",7.053244,43.615078000000004,72.0,4G,LTE,-89.0,-10.0,12.0,8.0,-91.0,8037.0,193.0,208.0,208.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.04",7.053338,43.615204999999996,72.0,4G,LTE,-89.0,-10.0,12.0,8.0,-85.0,8037.0,193.0,210.0,210.0,D,,3M25auglte
"
2022.08.25_11.44.04",7.053338,43.615204999999996,72.0,4G,LTE,-89.0,-10.0,12.0,8.0,-85.0,40339.0,422.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.05",7.053338,43.615204999999996,72.0,4G,LTE,-86.0,-9.0,13.0,15.0,-87.0,66936.0,378.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.06",7.053487,43.615357,72.0,4G,LTE,-86.0,-9.0,13.0,15.0,-83.0,66936.0,378.0,208.0,208.0,D,,3M25auglte
"
2022.08.25_11.44.06",7.053487,43.615357,72.0,4G,LTE,-86.0,-9.0,13.0,15.0,-83.0,65918.0,328.0,208.0,208.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.07",7.053487,43.615357,72.0,4G,LTE,-81.0,-11.0,14.0,9.0,-81.0,67541.0,370.0,208.0,208.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.08",7.05368,43.615435,72.0,4G,LTE,-81.0,-11.0,14.0,9.0,-79.0,67541.0,370.0,208.0,208.0,D,,3M25auglte
"
2022.08.25_11.44.08",7.05368,43.615435,72.0,4G,LTE,-81.0,-11.0,14.0,9.0,-79.0,53339.0,307.0,208.0,208.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.09",7.05368,43.615435,72.0,4G,LTE,-85.0,-8.0,14.0,10.0,-85.0,39414.0,216.0,208.0,208.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.10",7.0539119999999995,43.615473,72.0,4G,LTE,-85.0,-8.0,14.0,10.0,-87.0,39414.0,216.0,209.0,209.0,D,,3M25auglte
"
2022.08.25_11.44.10",7.0539119999999995,43.615473,72.0,4G,LTE,-85.0,-8.0,14.0,10.0,-87.0,15933.0,95.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.11",7.0539119999999995,43.615473,72.0,4G,LTE,-87.0,-11.0,14.0,9.0,-87.0,21785.0,119.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.12",7.054074000000001,43.61547,72.0,4G,LTE,-87.0,-11.0,14.0,9.0,-91.0,21785.0,119.0,210.0,210.0,D,,3M25auglte
"
2022.08.25_11.44.12",7.054074000000001,43.61547,72.0,4G,LTE,-87.0,-11.0,14.0,9.0,-91.0,13555.0,114.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.13",7.054074000000001,43.61547,72.0,4G,LTE,-94.0,-12.0,13.0,12.0,-95.0,23286.0,137.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.14",7.054074000000001,43.61547,72.0,4G,LTE,-94.0,-12.0,13.0,12.0,-93.0,5428.0,43.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.15",7.054074000000001,43.61547,72.0,4G,LTE,-92.0,-11.0,14.0,9.0,-93.0,19840.0,116.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.16",7.054074000000001,43.61547,72.0,4G,LTE,-92.0,-11.0,14.0,9.0,-93.0,35102.0,182.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.17",7.054074000000001,43.61547,72.0,4G,LTE,-91.0,-11.0,15.0,13.0,-93.0,3.0,5.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.19",7.054074000000001,43.61547,72.0,4G,LTE,-91.0,-11.0,15.0,13.0,-93.0,10.0,18.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.20",7.054074000000001,43.61547,72.0,4G,LTE,-91.0,-10.0,16.0,9.0,-93.0,5.0,7.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.21",7.054074000000001,43.61547,72.0,4G,LTE,-91.0,-10.0,16.0,9.0,-93.0,3.0,6.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.22",7.054074000000001,43.61547,72.0,4G,LTE,-92.0,-9.0,16.0,13.0,-93.0,35204.0,214.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.23",7.054074000000001,43.61547,72.0,4G,LTE,-92.0,-9.0,16.0,13.0,-93.0,8046.0,45.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.24",7.054074000000001,43.61547,72.0,4G,LTE,-90.0,-12.0,15.0,10.0,-91.0,37786.0,215.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.25",7.054074000000001,43.61547,72.0,4G,LTE,-90.0,-12.0,15.0,10.0,-89.0,4.0,5.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.26",7.054074000000001,43.61547,72.0,4G,LTE,-92.0,-12.0,14.0,9.0,-93.0,23038.0,133.0,210.0,210.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.26",7.054208,43.615445,72.0,4G,LTE,-92.0,-12.0,14.0,9.0,-93.0,23038.0,133.0,209.0,209.0,D,,3M25auglte
"
2022.08.25_11.44.27",7.054208,43.615445,72.0,4G,LTE,-92.0,-12.0,14.0,9.0,-93.0,35678.0,194.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.28",7.054208,43.615445,72.0,4G,LTE,-92.0,-12.0,12.0,9.0,-93.0,2131.0,32.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.29",7.054208,43.615445,72.0,4G,LTE,-92.0,-12.0,12.0,9.0,-91.0,18523.0,106.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.30",7.054208,43.615445,72.0,4G,LTE,-91.0,-12.0,15.0,9.0,-91.0,19183.0,104.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.31",7.054208,43.615445,72.0,4G,LTE,-91.0,-12.0,15.0,9.0,-91.0,14502.0,87.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.32",7.054208,43.615445,72.0,4G,LTE,-85.0,-10.0,15.0,9.0,-85.0,27596.0,152.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.32",7.054336,43.615494,72.0,4G,LTE,-85.0,-10.0,15.0,9.0,-87.0,27596.0,152.0,209.0,209.0,D,,3M25auglte
"
2022.08.25_11.44.33",7.054336,43.615494,72.0,4G,LTE,-85.0,-10.0,15.0,9.0,-87.0,23462.0,163.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.34",7.054336,43.615494,72.0,4G,LTE,-89.0,-12.0,14.0,12.0,-89.0,4887.0,87.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.34",7.054488,43.615536,72.0,4G,LTE,-89.0,-12.0,14.0,12.0,-87.0,4887.0,87.0,209.0,209.0,D,,3M25auglte
"
2022.08.25_11.44.35",7.054488,43.615536,72.0,4G,LTE,-89.0,-12.0,14.0,12.0,-87.0,32978.0,173.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.36",7.054488,43.615536,72.0,4G,LTE,-84.0,-13.0,14.0,12.0,-85.0,2101.0,26.0,209.0,209.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.36",7.054641,43.6156,72.0,4G,LTE,-84.0,-13.0,14.0,12.0,-89.0,2101.0,26.0,211.0,211.0,D,,3M25auglte
"
2022.08.25_11.44.37",7.054641,43.6156,72.0,4G,LTE,-84.0,-13.0,14.0,12.0,-89.0,21279.0,136.0,211.0,211.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.38",7.054641,43.6156,72.0,4G,LTE,-87.0,-12.0,12.0,9.0,-89.0,37396.0,235.0,211.0,211.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.38",7.054765,43.615681,72.0,4G,LTE,-87.0,-12.0,12.0,9.0,-89.0,37396.0,235.0,211.0,211.0,D,,3M25auglte
"
2022.08.25_11.44.39",7.054765,43.615681,72.0,4G,LTE,-87.0,-12.0,12.0,9.0,-89.0,4.0,5.0,211.0,211.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.40",7.054765,43.615681,72.0,4G,LTE,-84.0,-12.0,14.0,9.0,-85.0,37739.0,204.0,211.0,211.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.40",7.054888,43.615813,72.0,4G,LTE,-84.0,-12.0,14.0,9.0,-87.0,37739.0,204.0,213.0,213.0,D,,3M25auglte
"
2022.08.25_11.44.41",7.054888,43.615813,72.0,4G,LTE,-84.0,-12.0,14.0,9.0,-87.0,4.0,6.0,213.0,213.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.42",7.054888,43.615813,72.0,4G,LTE,-83.0,-10.0,20.0,10.0,-83.0,21886.0,127.0,213.0,213.0,D,PERIODIC,3M25auglte
"
2022.08.25_11.44.42",7.054963000000001,43.615972,72.0,4G,LTE,-83.0,-10.0,20.0,10.0,-87.0,21886.0,127.0,212.0,212.0,D,,3M25auglte
