Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.23_19.52.32",7.120114,43.583233,62.0,5G,5G,-106.0,-3.0,10.0,12.0,-,0.0,0.0,82.0,82.0,I,LOG START,-106.0,-15.0,-1.0,3P23aug
"
2022.08.23_19.52.32",7.120114,43.583233,62.0,5G,5G,-106.0,-3.0,10.0,12.0,-,0.0,0.0,82.0,82.0,I,PERIODIC,-106.0,-16.0,-4.0,3P23aug
"
2022.08.23_19.52.33",7.120099000000001,43.583249,62.0,5G,5G,-106.0,-3.0,10.0,12.0,-,0.0,0.0,75.0,75.0,I,,-106.0,-16.0,-4.0,3P23aug
"
2022.08.23_19.52.33",7.120099000000001,43.583249,62.0,5G,5G,-106.0,-3.0,10.0,12.0,-,0.0,0.0,75.0,75.0,I,PERIODIC,-106.0,-16.0,-4.0,3P23aug
"
2022.08.23_19.52.34",7.120099000000001,43.583249,62.0,5G,5G,-106.0,-3.0,10.0,14.0,-,0.0,0.0,75.0,75.0,I,PERIODIC,-107.0,-14.0,2.0,3P23aug
"
2022.08.23_19.52.35",7.120099000000001,43.583249,62.0,5G,5G,-107.0,-3.0,12.0,14.0,-,0.0,0.0,75.0,75.0,I,PERIODIC,-107.0,-14.0,2.0,3P23aug
"
2022.08.23_19.52.36",7.120099000000001,43.583249,62.0,5G,5G,-107.0,-3.0,12.0,11.0,-,1.0,13.0,75.0,75.0,D,PERIODIC,-104.0,-13.0,6.0,3P23aug
"
2022.08.23_19.52.37",7.120099000000001,43.583249,62.0,5G,5G,-107.0,-3.0,11.0,11.0,-,968.0,577.0,75.0,75.0,D,PERIODIC,-104.0,-13.0,6.0,3P23aug
"
2022.08.23_19.52.38",7.120099000000001,43.583249,62.0,5G,5G,-106.0,-3.0,12.0,12.0,-,1016.0,296.0,75.0,75.0,D,PERIODIC,-98.0,-13.0,2.0,3P23aug
"
2022.08.23_19.52.39",7.120099000000001,43.583249,62.0,5G,5G,-102.0,-3.0,16.0,12.0,-,114.0,73.0,75.0,75.0,D,PERIODIC,-98.0,-13.0,2.0,3P23aug
"
2022.08.23_19.52.40",7.120099000000001,43.583249,62.0,5G,5G,-104.0,-3.0,15.0,12.0,-,96.0,89.0,75.0,75.0,D,PERIODIC,-99.0,-13.0,11.0,3P23aug
"
2022.08.23_19.52.41",7.120099000000001,43.583249,62.0,5G,5G,-106.0,-3.0,11.0,12.0,-,122.0,75.0,75.0,75.0,D,PERIODIC,-99.0,-13.0,11.0,3P23aug
"
2022.08.23_19.52.42",7.120099000000001,43.583249,62.0,5G,5G,-106.0,-3.0,13.0,14.0,-,30.0,22.0,75.0,75.0,D,PERIODIC,-99.0,-14.0,3.0,3P23aug
"
2022.08.23_19.52.42",7.120124000000001,43.583338,62.0,5G,5G,-106.0,-3.0,13.0,14.0,-,30.0,22.0,89.0,89.0,D,,-99.0,-14.0,3.0,3P23aug
"
2022.08.23_19.52.43",7.120124000000001,43.583338,62.0,5G,5G,-108.0,-3.0,10.0,14.0,-,33.0,41.0,89.0,89.0,D,PERIODIC,-99.0,-14.0,3.0,3P23aug
"
2022.08.23_19.52.44",7.120124000000001,43.583338,62.0,5G,5G,-107.0,-3.0,13.0,14.0,-,41.0,41.0,89.0,89.0,D,PERIODIC,-103.0,-15.0,-4.0,3P23aug
"
2022.08.23_19.52.45",7.120124000000001,43.583338,62.0,5G,5G,-107.0,-3.0,14.0,14.0,-,32.0,31.0,89.0,89.0,D,PERIODIC,-103.0,-15.0,-4.0,3P23aug
"
2022.08.23_19.52.46",7.120124000000001,43.583338,62.0,5G,5G,-107.0,-3.0,14.0,12.0,-,56.0,141.0,89.0,89.0,D,PERIODIC,-101.0,-13.0,-7.0,3P23aug
"
2022.08.23_19.52.47",7.120124000000001,43.583338,62.0,5G,5G,-107.0,-3.0,11.0,12.0,-,30.0,214.0,89.0,89.0,D,PERIODIC,-101.0,-13.0,-7.0,3P23aug
"
2022.08.23_19.52.48",7.120124000000001,43.583338,62.0,5G,5G,-106.0,-3.0,15.0,14.0,-,32.0,46.0,89.0,89.0,D,PERIODIC,-105.0,-13.0,3.0,3P23aug
"
2022.08.23_19.52.49",7.120124000000001,43.583338,62.0,5G,5G,-106.0,-3.0,15.0,14.0,-,42.0,54.0,89.0,89.0,D,PERIODIC,-105.0,-13.0,3.0,3P23aug
"
2022.08.23_19.52.50",7.120124000000001,43.583338,62.0,5G,5G,-110.0,-3.0,11.0,15.0,-,34.0,33.0,89.0,89.0,D,PERIODIC,-103.0,-12.0,4.0,3P23aug
"
2022.08.23_19.52.51",7.120124000000001,43.583338,62.0,5G,5G,-107.0,-3.0,14.0,15.0,-,106.0,345.0,89.0,89.0,D,PERIODIC,-103.0,-12.0,4.0,3P23aug
"
2022.08.23_19.52.52",7.120124000000001,43.583338,62.0,5G,5G,-113.0,-3.0,10.0,14.0,-,28.0,33.0,89.0,89.0,D,PERIODIC,-98.0,-11.0,7.0,3P23aug
"
2022.08.23_19.52.53",7.120124000000001,43.583338,62.0,5G,5G,-113.0,-3.0,10.0,14.0,-,30.0,31.0,89.0,89.0,D,PERIODIC,-98.0,-11.0,7.0,3P23aug
"
2022.08.23_19.52.54",7.120124000000001,43.583338,62.0,5G,5G,-105.0,-3.0,15.0,12.0,-,95.0,151.0,89.0,89.0,D,PERIODIC,-102.0,-12.0,6.0,3P23aug
"
2022.08.23_19.52.54",7.120108,43.583431,62.0,5G,5G,-105.0,-3.0,15.0,12.0,-,95.0,151.0,89.0,89.0,D,,-102.0,-12.0,6.0,3P23aug
"
2022.08.23_19.52.55",7.120108,43.583431,62.0,5G,5G,-95.0,-3.0,18.0,12.0,-,27.0,30.0,89.0,89.0,D,PERIODIC,-102.0,-12.0,6.0,3P23aug
"
2022.08.23_19.52.56",7.120108,43.583431,62.0,5G,5G,-95.0,-3.0,18.0,14.0,-,66.0,53.0,89.0,89.0,D,PERIODIC,-98.0,-12.0,21.0,3P23aug
