Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.24_11.24.19",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-7.0,10.0,14.0,-87,0.0,0.0,194.0,194.0,I,LOG START,4Ip24s
"
2022.09.24_11.24.20",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-7.0,10.0,10.0,-87,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.21",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-8.0,11.0,10.0,-87,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.22",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-8.0,11.0,11.0,-89,19.0,3.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.23",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-9.0,10.0,11.0,-89,51.0,4.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.24",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-9.0,10.0,12.0,-87,8.0,5.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.25",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-6.0,11.0,11.0,-87,1.0,1.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.26",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-6.0,11.0,11.0,-87,52.0,20.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.27",7.042350999999999,43.618812,63.0,4G,LTE,-103.0,-6.0,15.0,11.0,-87,68.0,17.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.28",7.042350999999999,43.618812,63.0,4G,LTE,-103.0,-6.0,15.0,11.0,-87,5.0,0.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.29",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-8.0,11.0,11.0,-87,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.30",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-8.0,11.0,11.0,-87,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.31",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-12.0,10.0,11.0,-87,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.32",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-12.0,10.0,11.0,-87,20.0,9.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.33",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-7.0,12.0,11.0,-87,60.0,25.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.34",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-7.0,12.0,11.0,-87,50.0,19.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.35",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-12.0,12.0,7.0,-89,1.0,2.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.36",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-12.0,12.0,7.0,-89,55.0,63.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.37",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-12.0,12.0,9.0,-87,38.0,11.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.38",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-11.0,12.0,9.0,-87,22.0,9.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.39",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-11.0,12.0,9.0,-87,267.0,115.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.40",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-6.0,13.0,9.0,-87,153.0,47.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.41",7.042350999999999,43.618812,63.0,4G,LTE,-104.0,-6.0,13.0,9.0,-87,0.0,0.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.42",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-8.0,11.0,8.0,-89,20.0,3.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.43",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-8.0,11.0,8.0,-89,0.0,0.0,194.0,194.0,D,PERIODIC,4Ip24s
"
2022.09.24_11.24.44",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-9.0,12.0,8.0,-89,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.45",7.042350999999999,43.618812,63.0,4G,LTE,-105.0,-9.0,12.0,8.0,-89,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.46",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-8.0,12.0,8.0,-87,0.0,0.0,194.0,194.0,I,PERIODIC,4Ip24s
"
2022.09.24_11.24.47",7.042350999999999,43.618812,63.0,4G,LTE,-106.0,-8.0,12.0,9.0,-85,19.0,3.0,194.0,194.0,D,PERIODIC,4Ip24s
