Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.24_21.13.33",7.042356,43.618795,63.0,4G,LTE,-100.0,-7.0,7.0,10.0,-,0.0,0.0,194.0,194.0,D,LOG START,4It24s
"
2022.09.24_21.13.33",7.042356,43.618795,63.0,4G,LTE,-100.0,-7.0,7.0,10.0,-,20.0,3.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.34",7.042356,43.618795,63.0,4G,LTE,-100.0,-10.0,3.0,10.0,-,0.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.35",7.042356,43.618795,63.0,4G,LTE,-100.0,-10.0,3.0,10.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.36",7.042356,43.618795,63.0,4G,LTE,-99.0,-10.0,7.0,10.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.37",7.042356,43.618795,63.0,4G,LTE,-99.0,-10.0,7.0,10.0,-,13.0,7.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.38",7.042356,43.618795,63.0,4G,LTE,-99.0,-7.0,9.0,10.0,-,76.0,27.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.39",7.042356,43.618795,63.0,4G,LTE,-99.0,-7.0,9.0,10.0,-,64.0,11.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.40",7.042356,43.618795,63.0,4G,LTE,-99.0,-9.0,5.0,14.0,-81,1.0,3.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.41",7.042356,43.618795,63.0,4G,LTE,-99.0,-9.0,5.0,14.0,-81,57.0,47.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.42",7.042356,43.618795,63.0,4G,LTE,-99.0,-8.0,15.0,14.0,-81,47.0,14.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.43",7.042356,43.618795,63.0,4G,LTE,-99.0,-8.0,15.0,14.0,-81,22.0,3.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.44",7.042356,43.618795,63.0,4G,LTE,-100.0,-8.0,8.0,14.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.45",7.042356,43.618795,63.0,4G,LTE,-100.0,-8.0,8.0,14.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.46",7.042356,43.618795,63.0,4G,LTE,-100.0,-11.0,9.0,14.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.47",7.042356,43.618795,63.0,4G,LTE,-100.0,-11.0,9.0,14.0,-83,0.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.48",7.042356,43.618795,63.0,4G,LTE,-99.0,-6.0,9.0,14.0,-83,19.0,2.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.49",7.042356,43.618795,63.0,4G,LTE,-99.0,-6.0,9.0,14.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.50",7.042356,43.618795,63.0,4G,LTE,-101.0,-8.0,10.0,14.0,-83,968.0,29.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.51",7.042356,43.618795,63.0,4G,LTE,-101.0,-8.0,10.0,10.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.52",7.042356,43.618795,63.0,4G,LTE,-100.0,-8.0,9.0,11.0,-83,0.0,3.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.53",7.042356,43.618795,63.0,4G,LTE,-100.0,-8.0,9.0,11.0,-,19.0,2.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.54",7.042356,43.618795,63.0,4G,LTE,-115.0,-8.0,9.0,5.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.55",7.042356,43.618795,63.0,4G,LTE,-115.0,-8.0,9.0,5.0,-,0.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.57",7.042356,43.618795,63.0,4G,LTE,-99.0,-11.0,4.0,10.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.13.58",7.042356,43.618795,63.0,4G,LTE,-99.0,-11.0,4.0,11.0,-,1.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.13.58",7.042356,43.618795,63.0,4G,LTE,-99.0,-11.0,4.0,8.0,-,19.0,2.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.00",7.042356,43.618795,63.0,4G,LTE,-100.0,-7.0,13.0,11.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.00",7.042356,43.618795,63.0,4G,LTE,-100.0,-7.0,13.0,11.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.01",7.042356,43.618795,63.0,4G,LTE,-99.0,-6.0,8.0,11.0,-83,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.02",7.042356,43.618795,63.0,4G,LTE,-99.0,-6.0,8.0,11.0,-83,5.0,47.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.04",7.042356,43.618795,63.0,4G,LTE,-99.0,-11.0,10.0,11.0,-94,193.0,172.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.04",7.042356,43.618795,63.0,4G,LTE,-99.0,-11.0,10.0,11.0,-94,894.0,84.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.06",7.042356,43.618795,63.0,4G,LTE,-114.0,-9.0,3.0,13.0,-77,339.0,90.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.07",7.042356,43.618795,63.0,4G,LTE,-114.0,-9.0,3.0,7.0,-94,1099.0,103.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.07",7.042356,43.618795,63.0,4G,LTE,-116.0,-10.0,3.0,9.0,-,158.0,68.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.08",7.042356,43.618795,63.0,4G,LTE,-116.0,-10.0,3.0,10.0,-,18.0,1.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.10",7.042356,43.618795,63.0,4G,LTE,-115.0,-8.0,3.0,10.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.11",7.042356,43.618795,63.0,4G,LTE,-115.0,-8.0,3.0,10.0,-78,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.12",7.042356,43.618795,63.0,4G,LTE,-95.0,-13.0,-2.0,10.0,-78,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.13",7.042356,43.618795,63.0,4G,LTE,-95.0,-13.0,-2.0,10.0,-78,0.0,1.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.14",7.042356,43.618795,63.0,4G,LTE,-94.0,-9.0,1.0,10.0,-,18.0,1.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.15",7.042356,43.618795,63.0,4G,LTE,-94.0,-9.0,1.0,10.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.16",7.042356,43.618795,63.0,4G,LTE,-94.0,-12.0,-1.0,11.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.17",7.042356,43.618795,63.0,4G,LTE,-94.0,-12.0,-1.0,11.0,-77,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.18",7.042356,43.618795,63.0,4G,LTE,-94.0,-11.0,-2.0,11.0,-77,1.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.19",7.042356,43.618795,63.0,4G,LTE,-94.0,-11.0,-2.0,10.0,-,19.0,2.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.20",7.042356,43.618795,63.0,4G,LTE,-115.0,-8.0,-2.0,11.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.21",7.042356,43.618795,63.0,4G,LTE,-115.0,-8.0,-2.0,11.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.22",7.042356,43.618795,63.0,4G,LTE,-94.0,-11.0,-2.0,11.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.23",7.042356,43.618795,63.0,4G,LTE,-94.0,-11.0,-2.0,11.0,-,0.0,1.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.24",7.042356,43.618795,63.0,4G,LTE,-94.0,-9.0,-2.0,10.0,-94,987.0,31.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.25",7.042356,43.618795,63.0,4G,LTE,-94.0,-9.0,-2.0,11.0,-78,0.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.26",7.042356,43.618795,63.0,4G,LTE,-95.0,-13.0,-3.0,11.0,-78,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.27",7.042356,43.618795,63.0,4G,LTE,-95.0,-13.0,-3.0,11.0,-76,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.28",7.042356,43.618795,63.0,4G,LTE,-93.0,-7.0,-2.0,11.0,-94,0.0,0.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.29",7.042356,43.618795,63.0,4G,LTE,-93.0,-7.0,-2.0,15.0,-77,19.0,3.0,194.0,194.0,D,PERIODIC,4It24s
"
2022.09.24_21.14.30",7.042356,43.618795,63.0,4G,LTE,-94.0,-13.0,-3.0,11.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.31",7.042356,43.618795,63.0,4G,LTE,-94.0,-13.0,-3.0,12.0,-,0.0,0.0,194.0,194.0,I,PERIODIC,4It24s
"
2022.09.24_21.14.31",7.042356,43.618795,63.0,4G,LTE,-94.0,-13.0,-3.0,12.0,-,0.0,0.0,194.0,194.0,I,LOG_END,4It24s
"
",,,,,,,,,,,,,,,,,4It24s
