Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.16_10.55.00",7.089010000000001,43.602752,61.0,5G,5G,-109.0,-3.0,12.0,9,-,0.0,0.0,60.0,60.0,I,LOG START,-115.0,-11.0,0.0,4M16aug
"
2022.08.16_10.55.00",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,9,-,0.0,0.0,60.0,60.0,I,,-115.0,-11.0,0.0,4M16aug
"
2022.08.16_10.55.01",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,9,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-11.0,0.0,4M16aug
"
2022.08.16_10.55.02",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,10,-,0.0,0.0,60.0,60.0,I,PERIODIC,-114.0,-8.0,0.0,4M16aug
"
2022.08.16_10.55.03",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,10,-,0.0,0.0,60.0,60.0,I,PERIODIC,-114.0,-8.0,0.0,4M16aug
"
2022.08.16_10.55.04",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,12,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-10.0,0.0,4M16aug
"
2022.08.16_10.55.05",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,12,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-10.0,0.0,4M16aug
"
2022.08.16_10.55.06",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,8,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-13.0,0.0,4M16aug
"
2022.08.16_10.55.07",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,8,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-13.0,0.0,4M16aug
"
2022.08.16_10.55.08",7.088992999999999,43.602773,61.0,5G,5G,-109.0,-3.0,12.0,10,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-12.0,0.0,4M16aug
"
2022.08.16_10.55.09",7.088992999999999,43.602773,61.0,5G,5G,-110.0,-3.0,13.0,10,-,0.0,0.0,60.0,60.0,I,PERIODIC,-115.0,-12.0,5.0,4M16aug
"
2022.08.16_10.55.10",7.088992999999999,43.602773,61.0,4G,LTE,-115.0,-13.0,0.0,-,-53,0.0,0.0,60.0,60.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.10",7.088992999999999,43.602773,61.0,4G,LTE,-115.0,-13.0,0.0,-,-53,0.0,0.0,60.0,60.0,I,,,,,4M16aug
"
2022.08.16_10.55.11",7.088992999999999,43.602773,61.0,4G,LTE,-115.0,-13.0,0.0,-,-53,0.0,0.0,60.0,60.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.12",7.088992999999999,43.602773,61.0,4G,LTE,-114.0,-13.0,0.0,-,-51,0.0,0.0,60.0,60.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.13",7.088992999999999,43.602773,61.0,4G,LTE,-114.0,-13.0,0.0,-,-51,0.0,0.0,60.0,60.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.13",7.088877,43.602828,61.0,4G,LTE,-114.0,-13.0,0.0,-,-51,0.0,0.0,151.0,151.0,I,,,,,4M16aug
"
2022.08.16_10.55.14",7.088877,43.602828,61.0,4G,LTE,-115.0,-13.0,0.0,-,-53,0.0,0.0,151.0,151.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.15",7.088877,43.602828,61.0,4G,LTE,-115.0,-13.0,0.0,-,-53,0.0,0.0,151.0,151.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.16",7.088877,43.602828,61.0,4G,LTE,-116.0,-12.0,0.0,-,-55,0.0,0.0,151.0,151.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.16",7.0887020000000005,43.602835999999996,61.0,4G,LTE,-116.0,-12.0,0.0,-,-55,0.0,0.0,150.0,150.0,I,,,,,4M16aug
"
2022.08.16_10.55.17",7.0887020000000005,43.602835999999996,61.0,4G,LTE,-116.0,-12.0,0.0,-,-55,0.0,0.0,150.0,150.0,I,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.18",7.0887020000000005,43.602835999999996,61.0,4G,LTE,-113.0,-9.0,0.0,10,-57,93.0,25.0,150.0,150.0,D,PERIODIC,,,,4M16aug
"
2022.08.16_10.55.19",7.0887020000000005,43.602835999999996,61.0,5G,5G,-106.0,-3.0,16.0,10,-,32.0,42.0,150.0,150.0,D,PERIODIC,-113.0,-9.0,4.0,4M16aug
"
2022.08.16_10.55.19",7.0887020000000005,43.602835999999996,61.0,5G,5G,-106.0,-3.0,16.0,10,-,32.0,42.0,150.0,150.0,D,,-113.0,-9.0,4.0,4M16aug
"
2022.08.16_10.55.19",7.088531,43.602823,61.0,5G,5G,-106.0,-3.0,16.0,10,-,32.0,42.0,147.0,147.0,D,,-113.0,-9.0,4.0,4M16aug
"
2022.08.16_10.55.20",7.088531,43.602823,61.0,5G,5G,-102.0,-3.0,18.0,12,-,10.0,6.0,147.0,147.0,D,PERIODIC,-112.0,-10.0,0.0,4M16aug
"
2022.08.16_10.55.21",7.088531,43.602823,61.0,5G,5G,-110.0,-3.0,14.0,12,-,0.0,0.0,147.0,147.0,I,PERIODIC,-112.0,-10.0,0.0,4M16aug
"
2022.08.16_10.55.21",7.088405000000001,43.602806,61.0,5G,5G,-110.0,-3.0,14.0,12,-,0.0,0.0,146.0,146.0,I,,-112.0,-10.0,0.0,4M16aug
"
2022.08.16_10.55.22",7.088405000000001,43.602806,61.0,5G,5G,-110.0,-3.0,14.0,8,-,19.0,20.0,146.0,146.0,D,PERIODIC,-114.0,-10.0,0.0,4M16aug
"
2022.08.16_10.55.23",7.088405000000001,43.602806,61.0,5G,5G,-106.0,-3.0,17.0,8,-,307.0,167.0,146.0,146.0,D,PERIODIC,-114.0,-10.0,8.0,4M16aug
"
2022.08.16_10.55.23",7.0882570000000005,43.602796000000005,61.0,5G,5G,-106.0,-3.0,17.0,8,-,307.0,167.0,144.0,144.0,D,,-114.0,-10.0,8.0,4M16aug
"
2022.08.16_10.55.24",7.0882570000000005,43.602796000000005,61.0,5G,5G,-106.0,-3.0,17.0,10,-,3.0,5.0,144.0,144.0,D,PERIODIC,-111.0,-10.0,8.0,4M16aug
"
2022.08.16_10.55.25",7.0882570000000005,43.602796000000005,61.0,5G,5G,-106.0,-3.0,17.0,10,-,60.0,7.0,144.0,144.0,D,PERIODIC,-111.0,-10.0,8.0,4M16aug
"
2022.08.16_10.55.25",7.088103,43.602786,61.0,5G,5G,-106.0,-3.0,17.0,10,-,60.0,7.0,141.0,141.0,D,,-111.0,-10.0,8.0,4M16aug
"
2022.08.16_10.55.26",7.088103,43.602786,61.0,5G,5G,-102.0,-3.0,17.0,10,-,1.0,3.0,141.0,141.0,D,PERIODIC,-106.0,-11.0,7.0,4M16aug
"
2022.08.16_10.55.27",7.088103,43.602786,61.0,5G,5G,-103.0,-3.0,17.0,10,-,308.0,89.0,141.0,141.0,D,PERIODIC,-106.0,-11.0,2.0,4M16aug
"
2022.08.16_10.55.27",7.0879460000000005,43.60279,61.0,5G,5G,-103.0,-3.0,17.0,10,-,308.0,89.0,140.0,140.0,D,,-106.0,-11.0,2.0,4M16aug
"
2022.08.16_10.55.28",7.0879460000000005,43.60279,61.0,5G,5G,-103.0,-3.0,17.0,11,-,0.0,0.0,140.0,140.0,D,PERIODIC,-106.0,-9.0,2.0,4M16aug
"
2022.08.16_10.55.29",7.0879460000000005,43.60279,61.0,5G,5G,-103.0,-3.0,17.0,11,-,0.0,0.0,140.0,140.0,D,PERIODIC,-106.0,-9.0,2.0,4M16aug
"
2022.08.16_10.55.29",7.087812,43.602825,61.0,5G,5G,-103.0,-3.0,17.0,11,-,0.0,0.0,140.0,140.0,D,,-106.0,-9.0,2.0,4M16aug
"
2022.08.16_10.55.30",7.087812,43.602825,61.0,5G,5G,-103.0,-3.0,17.0,9,-,0.0,0.0,140.0,140.0,I,PERIODIC,-107.0,-11.0,2.0,4M16aug
