Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.26_11.53.15",7.073478999999999,43.609773,81.0,4G,LTE,-103.0,-6.0,13.0,15.0,-86,0.0,0.0,169.0,169.0,I,LOG START,4M26
"
2022.08.26_11.53.16",7.073478999999999,43.609773,81.0,4G,LTE,-103.0,-6.0,13.0,9.0,-82,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.17",7.073681,43.609358,81.0,4G,LTE,-99.0,-6.0,14.0,7.0,-85,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.18",7.073681,43.609358,81.0,4G,LTE,-99.0,-6.0,14.0,11.0,-82,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.19",7.073681,43.609358,81.0,4G,LTE,-100.0,-6.0,12.0,14.0,-,19.0,3.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.20",7.073681,43.609358,81.0,4G,LTE,-100.0,-6.0,12.0,14.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.21",7.073681,43.609358,81.0,4G,LTE,-96.0,-5.0,17.0,14.0,-79,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.22",7.073681,43.609358,81.0,4G,LTE,-96.0,-5.0,17.0,10.0,-81,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.23",7.073681,43.609358,81.0,4G,LTE,-98.0,-4.0,18.0,10.0,-81,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.24",7.073681,43.609358,81.0,4G,LTE,-98.0,-4.0,18.0,10.0,-81,19.0,2.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.25",7.073681,43.609358,81.0,4G,LTE,-99.0,-5.0,13.0,10.0,-81,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.26",7.073681,43.609358,81.0,4G,LTE,-99.0,-5.0,13.0,11.0,-83,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.27",7.073681,43.609358,81.0,4G,LTE,-101.0,-5.0,16.0,11.0,-83,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.28",7.073681,43.609358,81.0,4G,LTE,-101.0,-5.0,16.0,11.0,-83,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.29",7.073681,43.609358,81.0,4G,LTE,-100.0,-5.0,12.0,8.0,-,19.0,2.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.30",7.073681,43.609358,81.0,4G,LTE,-100.0,-5.0,12.0,8.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.31",7.073681,43.609358,81.0,4G,LTE,-101.0,-7.0,13.0,11.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.32",7.073681,43.609358,81.0,4G,LTE,-101.0,-7.0,13.0,13.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.33",7.073681,43.609358,81.0,4G,LTE,-103.0,-6.0,9.0,7.0,-85,0.0,1.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.34",7.073681,43.609358,81.0,4G,LTE,-103.0,-6.0,9.0,7.0,-85,18.0,1.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.35",7.073681,43.609358,81.0,4G,LTE,-102.0,-6.0,13.0,13.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.36",7.073681,43.609358,81.0,4G,LTE,-102.0,-6.0,13.0,10.0,-83,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.37",7.073681,43.609358,81.0,4G,LTE,-100.0,-5.0,14.0,10.0,-83,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.38",7.073681,43.609358,81.0,4G,LTE,-100.0,-5.0,14.0,9.0,-,0.0,1.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.39",7.073681,43.609358,81.0,4G,LTE,-104.0,-8.0,7.0,9.0,-,18.0,1.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.40",7.073681,43.609358,81.0,4G,LTE,-104.0,-8.0,7.0,9.0,-,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.41",7.073724,43.609094,81.0,4G,LTE,-105.0,-7.0,9.0,13.0,-86,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.42",7.073724,43.609094,81.0,4G,LTE,-105.0,-7.0,9.0,14.0,-84,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.43",7.073724,43.609094,81.0,4G,LTE,-102.0,-6.0,11.0,12.0,-,19.0,2.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.44",7.073724,43.609094,81.0,4G,LTE,-102.0,-6.0,11.0,10.0,-83,0.0,0.0,169.0,169.0,D,PERIODIC,4M26
"
2022.08.26_11.53.45",7.073724,43.609094,81.0,4G,LTE,-100.0,-9.0,12.0,12.0,-84,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.46",7.073724,43.609094,81.0,4G,LTE,-100.0,-9.0,12.0,11.0,-82,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.47",7.073724,43.609094,81.0,4G,LTE,-100.0,-8.0,12.0,7.0,-82,0.0,0.0,169.0,169.0,I,PERIODIC,4M26
"
2022.08.26_11.53.48",7.073724,43.609094,81.0,4G,LTE,-100.0,-8.0,12.0,8.0,-82,19.0,3.0,169.0,169.0,D,PERIODIC,4M26
