Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.07_03.56.49",5.524494,43.494576,73.0,4G,LTE,-90.0,-6.0,11.0,15.0,-60,0.0,0.0,0.0,0.0,I,LOG START,4M7sep
"
2022.09.07_03.56.49",5.524494,43.494576,73.0,4G,LTE,-79.0,-5.0,17.0,12.0,-63,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
"
2022.09.07_03.56.50",5.524494,43.494576,73.0,4G,LTE,-79.0,-5.0,17.0,12.0,-60,1.0,0.0,0.0,0.0,D,PERIODIC,4M7sep
"
2022.09.07_03.56.51",5.524494,43.494576,73.0,4G,LTE,-76.0,-5.0,14.0,15.0,-62,20.0,3.0,0.0,0.0,D,PERIODIC,4M7sep
"
2022.09.07_03.56.52",5.51892,43.499342999999996,73.0,4G,LTE,-76.0,-5.0,14.0,13.0,-62,0.0,0.0,0.0,0.0,D,PERIODIC,4M7sep
"
2022.09.07_03.56.53",5.51892,43.499342999999996,73.0,4G,LTE,-80.0,-6.0,14.0,9.0,-63,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
"
2022.09.07_03.56.54",5.51892,43.499342999999996,73.0,4G,LTE,-80.0,-6.0,14.0,14.0,-64,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
"
2022.09.07_03.56.55",5.51892,43.499342999999996,73.0,4G,LTE,-80.0,-6.0,11.0,11.0,-66,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
"
2022.09.07_03.56.56",5.51892,43.499342999999996,73.0,4G,LTE,-80.0,-6.0,11.0,8.0,-71,19.0,2.0,0.0,0.0,D,PERIODIC,4M7sep
"
2022.09.07_03.56.57",5.51892,43.499342999999996,73.0,4G,LTE,-87.0,-6.0,8.0,12.0,-67,0.0,0.0,0.0,0.0,D,PERIODIC,4M7sep
"
2022.09.07_03.56.58",5.51892,43.499342999999996,73.0,4G,LTE,-87.0,-6.0,8.0,14.0,-74,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
"
2022.09.07_03.56.59",5.51892,43.499342999999996,73.0,4G,LTE,-91.0,-7.0,8.0,13.0,-,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
"
2022.09.07_03.57.00",5.51892,43.499342999999996,73.0,4G,LTE,-91.0,-7.0,8.0,14.0,-64,0.0,0.0,0.0,0.0,I,PERIODIC,4M7sep
