Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.09.09_16.44.40",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-9.0,-4.0,12.0,-,0.0,0.0,201.0,201.0,I,LOG START,4Ob9s
"
2022.09.09_16.44.40",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-9.0,-4.0,12.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.41",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-13.0,-5.0,12.0,-,0.0,2.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.42",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-13.0,-5.0,12.0,-,0.0,0.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.43",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-14.0,-2.0,12.0,-,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.44",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-14.0,-2.0,10.0,-83,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.45",7.108409,43.569165000000005,61.0,4G,LTE,-99.0,-14.0,-4.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.46",7.108409,43.569165000000005,61.0,4G,LTE,-99.0,-14.0,-4.0,11.0,-81,18.0,2.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.47",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-14.0,-4.0,11.0,-81,0.0,0.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.48",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-14.0,-4.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.49",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-4.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.50",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-4.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.51",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-12.0,-3.0,11.0,-81,0.0,1.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.52",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-12.0,-3.0,11.0,-81,18.0,1.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.53",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-14.0,-5.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.55",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-14.0,-5.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.55",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-3.0,11.0,-81,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.56",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-3.0,11.0,-81,2.0,4.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.57",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-3.0,11.0,-81,29.0,11.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.44.59",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-1.0,11.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.44.59",7.108409,43.569165000000005,61.0,4G,LTE,-97.0,-13.0,-1.0,11.0,-79,0.0,0.0,201.0,201.0,I,PERIODIC,4Ob9s
"
2022.09.09_16.45.00",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-13.0,-3.0,10.0,-81,8.0,32.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.45.02",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-13.0,-3.0,10.0,-81,13.0,5.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.45.03",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-14.0,-2.0,10.0,-81,18.0,3.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.45.03",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-14.0,-2.0,10.0,-81,44.0,29.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.45.05",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-12.0,-3.0,10.0,-81,4.0,21.0,201.0,201.0,D,PERIODIC,4Ob9s
"
2022.09.09_16.45.06",7.108409,43.569165000000005,61.0,4G,LTE,-98.0,-12.0,-3.0,10.0,-81,173.0,33.0,201.0,201.0,D,PERIODIC,4Ob9s
