Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.27_14.06.28",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-14.0,5.0,9.0,-77,0.0,0.0,204.0,204.0,I,LOG START,4Ps27
"
2022.08.27_14.06.29",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-11.0,3.0,9.0,-77,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.30",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-11.0,3.0,9.0,-75,1.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.31",7.118453999999999,43.58641,62.0,4G,LTE,-94.0,-11.0,4.0,10.0,-74,37.0,26.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.32",7.118453999999999,43.58641,62.0,4G,LTE,-94.0,-11.0,4.0,10.0,-74,16.0,18.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.33",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-13.0,-1.0,10.0,-74,15.0,7.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.34",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-13.0,-1.0,10.0,-74,0.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.35",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-11.0,5.0,10.0,-74,523.0,96.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.36",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-11.0,5.0,10.0,-76,113.0,44.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.37",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-14.0,1.0,10.0,-76,0.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.38",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-14.0,1.0,10.0,-76,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.39",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-12.0,3.0,9.0,-74,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.40",7.118453999999999,43.58641,62.0,4G,LTE,-92.0,-12.0,3.0,7.0,-76,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.41",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-13.0,-2.0,7.0,-76,19.0,3.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.42",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-13.0,-2.0,10.0,-82,0.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.43",7.118453999999999,43.58641,62.0,4G,LTE,-100.0,-12.0,14.0,10.0,-82,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.44",7.118453999999999,43.58641,62.0,4G,LTE,-100.0,-12.0,14.0,9.0,-80,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.45",7.118453999999999,43.58641,62.0,4G,LTE,-98.0,-10.0,18.0,9.0,-80,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.46",7.118453999999999,43.58641,62.0,4G,LTE,-98.0,-10.0,18.0,6.0,-85,19.0,3.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.47",7.118453999999999,43.58641,62.0,4G,LTE,-105.0,-13.0,13.0,12.0,-89,0.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.48",7.118453999999999,43.58641,62.0,4G,LTE,-105.0,-13.0,13.0,9.0,-,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.49",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-13.0,6.0,9.0,-77,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.50",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-13.0,6.0,9.0,-77,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.51",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-13.0,4.0,9.0,-77,19.0,3.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.52",7.118453999999999,43.58641,62.0,4G,LTE,-93.0,-13.0,4.0,9.0,-77,0.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.53",7.118453999999999,43.58641,62.0,4G,LTE,-91.0,-12.0,12.0,8.0,-75,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.54",7.118453999999999,43.58641,62.0,4G,LTE,-91.0,-12.0,12.0,8.0,-75,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.55",7.118453999999999,43.58641,62.0,4G,LTE,-91.0,-11.0,11.0,8.0,-75,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
"
2022.08.27_14.06.56",7.118453999999999,43.58641,62.0,4G,LTE,-91.0,-11.0,11.0,14.0,-80,19.0,3.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.57",7.118453999999999,43.58641,62.0,4G,LTE,-99.0,-13.0,7.0,13.0,-82,0.0,0.0,204.0,204.0,D,PERIODIC,4Ps27
"
2022.08.27_14.06.58",7.118453999999999,43.58641,62.0,4G,LTE,-99.0,-13.0,7.0,13.0,-82,0.0,0.0,204.0,204.0,I,PERIODIC,4Ps27
