Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.26_12.10.27",7.118666,43.586143,62.0,4G,LTE,-92.0,-14.0,1.0,-,-93,0.0,0.0,73.0,73.0,I,LOG START,,,,5A26
"
2022.08.26_12.10.27",7.118734,43.586095,62.0,4G,LTE,-92.0,-14.0,-10.0,-,-93,0.0,0.0,68.0,68.0,I,,,,,5A26
"
2022.08.26_12.10.27",7.118734,43.586095,62.0,4G,LTE,-92.0,-15.0,-10.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.28",7.118734,43.586095,62.0,4G,LTE,-92.0,-15.0,-10.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.29",7.118734,43.586095,62.0,4G,LTE,-92.0,-14.0,-5.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.30",7.118734,43.586095,62.0,4G,LTE,-92.0,-14.0,-5.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.31",7.118734,43.586095,62.0,4G,LTE,-91.0,-15.0,-10.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.32",7.118734,43.586095,62.0,4G,LTE,-91.0,-15.0,-10.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.33",7.118734,43.586095,62.0,4G,LTE,-92.0,-15.0,5.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.34",7.118734,43.586095,62.0,4G,LTE,-92.0,-15.0,5.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.35",7.118734,43.586095,62.0,4G,LTE,-92.0,-15.0,-5.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
"
2022.08.26_12.10.36",7.118734,43.586095,62.0,4G,LTE,-92.0,-15.0,-5.0,-,-93,0.0,0.0,68.0,68.0,I,PERIODIC,,,,5A26
