Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,Eid
"
2022.08.31_17.54.59",--,--,--,5G,5G,-105.0,-3.0,14.0,-,-,0.0,0.0,--,-10000.0,I,LOG START,5A31
"
2022.08.31_17.55.00",--,--,--,5G,5G,-100.0,-3.0,19.0,-,-,1.0,1.0,--,-10000.0,D,PERIODIC,5A31
"
2022.08.31_17.55.01",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.02",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.03",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.04",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.05",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.06",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.07",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,D,PERIODIC,5A31
"
2022.08.31_17.55.08",--,--,--,5G,5G,-99.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.09",--,--,--,5G,5G,-102.0,-3.0,20.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
"
2022.08.31_17.55.10",--,--,--,5G,5G,-100.0,-3.0,18.0,-,-,0.0,0.0,--,-10000.0,I,PERIODIC,5A31
