Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.09.15_15.28.39",7.0689839999999995,43.615326,72.0,4G,LTE,-106.0,-14.0,2.0,6.0,-103,0.0,0.0,181.0,181.0,I,LOG START,-106.0,-14.0,2.0,5I15ik
"
2022.09.15_15.28.39",7.0689839999999995,43.615326,72.0,4G,LTE,-103.0,-14.0,3.0,7.0,-103,0.0,0.0,181.0,181.0,I,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.39",7.0689839999999995,43.615326,72.0,4G,LTE,-103.0,-14.0,3.0,7.0,-103,0.0,0.0,181.0,181.0,I,,,,,5I15ik
"
2022.09.15_15.28.40",7.068911999999999,43.61534,72.0,4G,LTE,-103.0,-14.0,3.0,7.0,-103,0.0,0.0,182.0,182.0,I,,,,,5I15ik
"
2022.09.15_15.28.41",7.068911999999999,43.61534,72.0,4G,LTE,-103.0,-14.0,3.0,7.0,-103,0.0,0.0,182.0,182.0,I,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.41",7.068911999999999,43.61534,72.0,5G,5G,-129.0,-14.0,-5.0,7.0,-,0.0,0.0,182.0,182.0,I,PERIODIC,-105.0,-13.0,3.0,5I15ik
"
2022.09.15_15.28.41",7.068911999999999,43.61534,72.0,5G,5G,-129.0,-14.0,-5.0,7.0,-,0.0,0.0,182.0,182.0,I,,-105.0,-13.0,3.0,5I15ik
"
2022.09.15_15.28.42",7.068911999999999,43.61534,72.0,5G,5G,-127.0,-13.0,-4.0,7.0,-,42.0,93.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,3.0,5I15ik
"
2022.09.15_15.28.44",7.068911999999999,43.61534,72.0,5G,5G,-127.0,-13.0,-4.0,8.0,-,8.0,0.0,182.0,182.0,D,PERIODIC,-107.0,-15.0,1.0,5I15ik
"
2022.09.15_15.28.44",7.068911999999999,43.61534,72.0,5G,5G,-127.0,-13.0,-4.0,8.0,-,0.0,5.0,182.0,182.0,D,PERIODIC,-107.0,-15.0,1.0,5I15ik
"
2022.09.15_15.28.45",7.068911999999999,43.61534,72.0,5G,5G,-127.0,-13.0,-4.0,8.0,-,4.0,4.0,182.0,182.0,D,PERIODIC,-107.0,-15.0,1.0,5I15ik
"
2022.09.15_15.28.47",7.068911999999999,43.61534,72.0,5G,5G,-126.0,-11.0,-3.0,6.0,-,223.0,141.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,1.0,5I15ik
"
2022.09.15_15.28.47",7.068911999999999,43.61534,72.0,5G,5G,-128.0,-15.0,-6.0,6.0,-,433.0,157.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,1.0,5I15ik
"
2022.09.15_15.28.49",7.068911999999999,43.61534,72.0,5G,5G,-128.0,-13.0,-5.0,6.0,-,449.0,92.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,1.0,5I15ik
"
2022.09.15_15.28.50",7.068911999999999,43.61534,72.0,5G,5G,-128.0,-13.0,-5.0,6.0,-,376.0,222.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,1.0,5I15ik
"
2022.09.15_15.28.50",7.068911999999999,43.61534,72.0,5G,5G,-128.0,-13.0,-5.0,6.0,-,28.0,8.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,1.0,5I15ik
"
2022.09.15_15.28.52",7.068911999999999,43.61534,72.0,4G,LTE,-102.0,-13.0,4.0,6.0,-103,2.0,3.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.52",7.068911999999999,43.61534,72.0,4G,LTE,-102.0,-13.0,4.0,6.0,-103,2.0,3.0,182.0,182.0,D,,,,,5I15ik
"
2022.09.15_15.28.53",7.068911999999999,43.61534,72.0,4G,LTE,-102.0,-13.0,4.0,6.0,-105,20.0,9.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.54",7.068911999999999,43.61534,72.0,4G,LTE,-103.0,-13.0,2.0,9.0,-105,0.0,0.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.55",7.068911999999999,43.61534,72.0,4G,LTE,-103.0,-13.0,2.0,9.0,-105,0.0,1.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.56",7.068911999999999,43.61534,72.0,4G,LTE,-105.0,-12.0,-11.0,7.0,-105,41.0,44.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.57",7.068911999999999,43.61534,72.0,4G,LTE,-105.0,-12.0,-11.0,7.0,-105,114.0,459.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.58",7.068911999999999,43.61534,72.0,4G,LTE,-105.0,-12.0,2.0,7.0,-105,187.0,100.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.28.59",7.068911999999999,43.61534,72.0,4G,LTE,-105.0,-12.0,2.0,7.0,-105,12.0,2.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.29.00",7.068911999999999,43.61534,72.0,4G,LTE,-105.0,-14.0,2.0,10.0,-105,2.0,5.0,182.0,182.0,D,PERIODIC,,,,5I15ik
"
2022.09.15_15.29.01",7.068911999999999,43.61534,72.0,4G,LTE,-105.0,-14.0,2.0,10.0,-109,0.0,0.0,182.0,182.0,I,PERIODIC,,,,5I15ik
