Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_18.54.34",7.069152000000001,43.615237,82.0,5G,5G,-107.0,-3.0,4.0,12,-,28.0,6.0,181.0,181.0,D,LOG START,-100.0,-10.0,7.0,5Ir29
"
2022.08.29_18.54.34",7.069152000000001,43.615237,82.0,5G,5G,-106.0,-3.0,5.0,12,-,28.0,6.0,182.0,182.0,D,,-100.0,-10.0,7.0,5Ir29
"
2022.08.29_18.54.34",7.069152000000001,43.615237,82.0,5G,5G,-106.0,-3.0,5.0,8,-,0.0,0.0,182.0,182.0,D,PERIODIC,-102.0,-12.0,4.0,5Ir29
"
2022.08.29_18.54.35",7.069152000000001,43.615237,82.0,5G,5G,-106.0,-3.0,5.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-12.0,4.0,5Ir29
"
2022.08.29_18.54.36",7.069152000000001,43.615237,82.0,5G,5G,-106.0,-3.0,5.0,15,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-11.0,9.0,5Ir29
"
2022.08.29_18.54.37",7.069152000000001,43.615237,82.0,5G,5G,-106.0,-3.0,5.0,15,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-11.0,9.0,5Ir29
"
2022.08.29_18.54.38",7.069152000000001,43.615237,82.0,5G,5G,-106.0,-3.0,5.0,15,-,0.0,0.0,182.0,182.0,I,PERIODIC,-101.0,-9.0,9.0,5Ir29
"
2022.08.29_18.54.39",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,3.0,15,-,56.0,21.0,182.0,182.0,D,PERIODIC,-101.0,-9.0,9.0,5Ir29
"
2022.08.29_18.54.40",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,3.0,9,-,0.0,0.0,182.0,182.0,D,PERIODIC,-101.0,-11.0,0.0,5Ir29
"
2022.08.29_18.54.41",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,3.0,9,-,0.0,0.0,182.0,182.0,I,PERIODIC,-101.0,-11.0,0.0,5Ir29
"
2022.08.29_18.54.42",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,7.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-98.0,-8.0,0.0,5Ir29
"
2022.08.29_18.54.43",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,3.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-98.0,-8.0,0.0,5Ir29
"
2022.08.29_18.54.44",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,3.0,11,-,0.0,0.0,182.0,182.0,I,PERIODIC,-100.0,-10.0,1.0,5Ir29
"
2022.08.29_18.54.45",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,3.0,11,-,0.0,0.0,182.0,182.0,I,PERIODIC,-100.0,-10.0,1.0,5Ir29
"
2022.08.29_18.54.47",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,4.0,10,-,0.0,0.0,182.0,182.0,I,PERIODIC,-104.0,-9.0,1.0,5Ir29
"
2022.08.29_18.54.48",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,4.0,10,-,0.0,0.0,182.0,182.0,I,PERIODIC,-104.0,-9.0,1.0,5Ir29
"
2022.08.29_18.54.48",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,2.0,6,-,0.0,0.0,182.0,182.0,I,PERIODIC,-103.0,-12.0,1.0,5Ir29
"
2022.08.29_18.54.50",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-4.0,1.0,6,-,0.0,0.0,182.0,182.0,D,PERIODIC,-103.0,-12.0,1.0,5Ir29
"
2022.08.29_18.54.51",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-3.0,4.0,8,-,135.0,78.0,182.0,182.0,D,PERIODIC,-104.0,-11.0,9.0,5Ir29
"
2022.08.29_18.54.52",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,7.0,8,-,0.0,0.0,182.0,182.0,D,PERIODIC,-104.0,-11.0,9.0,5Ir29
"
2022.08.29_18.54.53",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,6.0,7,-,555.0,47.0,182.0,182.0,D,PERIODIC,-104.0,-9.0,13.0,5Ir29
"
2022.08.29_18.54.54",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-3.0,5.0,7,-,31.0,6.0,182.0,182.0,D,PERIODIC,-104.0,-9.0,13.0,5Ir29
"
2022.08.29_18.54.55",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-3.0,5.0,9,-,0.0,0.0,182.0,182.0,D,PERIODIC,-103.0,-10.0,8.0,5Ir29
"
2022.08.29_18.54.56",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-5.0,1.0,9,-,145.0,78.0,182.0,182.0,D,PERIODIC,-103.0,-10.0,8.0,5Ir29
"
2022.08.29_18.54.57",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-5.0,1.0,11,-,81.0,6.0,182.0,182.0,D,PERIODIC,-100.0,-10.0,8.0,5Ir29
"
2022.08.29_18.54.58",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,4.0,11,-,54.0,17.0,182.0,182.0,D,PERIODIC,-100.0,-10.0,8.0,5Ir29
"
2022.08.29_18.54.59",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,4.0,8,-,0.0,0.0,182.0,182.0,D,PERIODIC,-102.0,-11.0,4.0,5Ir29
"
2022.08.29_18.55.00",7.069152000000001,43.615237,82.0,5G,5G,-108.0,-3.0,3.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-11.0,4.0,5Ir29
"
2022.08.29_18.55.01",7.069152000000001,43.615237,82.0,5G,5G,-108.0,-3.0,3.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-100.0,-10.0,7.0,5Ir29
"
2022.08.29_18.55.02",7.069152000000001,43.615237,82.0,5G,5G,-108.0,-3.0,3.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-100.0,-10.0,7.0,5Ir29
"
2022.08.29_18.55.03",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,2.0,7,-,0.0,0.0,182.0,182.0,I,PERIODIC,-99.0,-10.0,8.0,5Ir29
"
2022.08.29_18.55.04",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,2.0,7,-,0.0,0.0,182.0,182.0,I,PERIODIC,-99.0,-10.0,8.0,5Ir29
"
2022.08.29_18.55.05",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,2.0,15,-,0.0,0.0,182.0,182.0,I,PERIODIC,-100.0,-9.0,10.0,5Ir29
"
2022.08.29_18.55.06",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,6.0,15,-,0.0,0.0,182.0,182.0,I,PERIODIC,-100.0,-9.0,10.0,5Ir29
"
2022.08.29_18.55.07",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,6.0,9,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-10.0,-7.0,5Ir29
"
2022.08.29_18.55.08",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,6.0,9,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-10.0,-7.0,5Ir29
"
2022.08.29_18.55.09",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,6.0,12,-,43.0,67.0,182.0,182.0,D,PERIODIC,-102.0,-12.0,4.0,5Ir29
"
2022.08.29_18.55.10",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-3.0,6.0,12,-,0.0,0.0,182.0,182.0,D,PERIODIC,-102.0,-12.0,4.0,5Ir29
"
2022.08.29_18.55.11",7.069152000000001,43.615237,82.0,5G,5G,-113.0,-4.0,-1.0,7,-,0.0,0.0,182.0,182.0,D,PERIODIC,-103.0,-12.0,5.0,5Ir29
"
2022.08.29_18.55.12",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-3.0,0.0,7,-,34.0,64.0,182.0,182.0,D,PERIODIC,-103.0,-12.0,5.0,5Ir29
"
2022.08.29_18.55.13",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-3.0,0.0,12,-,0.0,0.0,182.0,182.0,D,PERIODIC,-102.0,-12.0,2.0,5Ir29
"
2022.08.29_18.55.14",7.069152000000001,43.615237,82.0,5G,5G,-111.0,-4.0,1.0,12,-,3.0,2.0,182.0,182.0,D,PERIODIC,-102.0,-12.0,2.0,5Ir29
"
2022.08.29_18.55.15",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-7.0,-2.0,11,-,0.0,0.0,182.0,182.0,D,PERIODIC,-100.0,-12.0,5.0,5Ir29
"
2022.08.29_18.55.16",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-7.0,-2.0,11,-,0.0,0.0,182.0,182.0,D,PERIODIC,-100.0,-12.0,5.0,5Ir29
"
2022.08.29_18.55.17",7.069152000000001,43.615237,82.0,5G,5G,-110.0,-3.0,2.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-103.0,-9.0,9.0,5Ir29
"
2022.08.29_18.55.18",7.069152000000001,43.615237,82.0,5G,5G,-110.0,-3.0,2.0,8,-,0.0,0.0,182.0,182.0,I,PERIODIC,-103.0,-9.0,9.0,5Ir29
"
2022.08.29_18.55.19",7.069152000000001,43.615237,82.0,5G,5G,-110.0,-3.0,2.0,11,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-10.0,10.0,5Ir29
"
2022.08.29_18.55.20",7.069152000000001,43.615237,82.0,5G,5G,-107.0,-3.0,3.0,11,-,0.0,0.0,182.0,182.0,I,PERIODIC,-102.0,-10.0,10.0,5Ir29
"
2022.08.29_18.55.21",7.069152000000001,43.615237,82.0,5G,5G,-110.0,-3.0,4.0,9,-,161.0,74.0,182.0,182.0,D,PERIODIC,-108.0,-14.0,10.0,5Ir29
"
2022.08.29_18.55.22",7.069152000000001,43.615237,82.0,5G,5G,-110.0,-3.0,4.0,9,-,574.0,118.0,182.0,182.0,D,PERIODIC,-108.0,-14.0,10.0,5Ir29
"
2022.08.29_18.55.23",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-6.0,3.0,12,-,32226.0,471.0,182.0,182.0,D,PERIODIC,-99.0,-8.0,6.0,5Ir29
"
2022.08.29_18.55.24",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-9.0,2.0,12,-,36296.0,200.0,182.0,182.0,D,PERIODIC,-99.0,-8.0,6.0,5Ir29
"
2022.08.29_18.55.25",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,1.0,11,-,11.0,35.0,182.0,182.0,D,PERIODIC,-99.0,-13.0,8.0,5Ir29
"
2022.08.29_18.55.26",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,2.0,11,-,18045.0,101.0,182.0,182.0,D,PERIODIC,-99.0,-13.0,8.0,5Ir29
"
2022.08.29_18.55.27",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-5.0,2.0,9,-,19858.0,112.0,182.0,182.0,D,PERIODIC,-104.0,-13.0,7.0,5Ir29
"
2022.08.29_18.55.28",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,1.0,9,-,9.0,52.0,182.0,182.0,D,PERIODIC,-104.0,-13.0,7.0,5Ir29
"
2022.08.29_18.55.29",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,1.0,6,-,40772.0,212.0,182.0,182.0,D,PERIODIC,-103.0,-9.0,6.0,5Ir29
"
2022.08.29_18.55.30",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-6.0,0.0,6,-,4.0,14.0,182.0,182.0,D,PERIODIC,-103.0,-9.0,6.0,5Ir29
"
2022.08.29_18.55.31",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-6.0,0.0,7,-,37538.0,208.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,4.0,5Ir29
"
2022.08.29_18.55.32",7.069152000000001,43.615237,82.0,5G,5G,-120.0,-7.0,-1.0,7,-,13.0,27.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,4.0,5Ir29
"
2022.08.29_18.55.33",7.069152000000001,43.615237,82.0,5G,5G,-120.0,-7.0,-1.0,8,-,8.0,14.0,182.0,182.0,D,PERIODIC,-98.0,-12.0,3.0,5Ir29
"
2022.08.29_18.55.34",7.069152000000001,43.615237,82.0,5G,5G,-120.0,-7.0,-1.0,8,-,45224.0,268.0,182.0,182.0,D,PERIODIC,-98.0,-12.0,3.0,5Ir29
"
2022.08.29_18.55.35",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-5.0,1.0,9,-,3.0,5.0,182.0,182.0,D,PERIODIC,-98.0,-13.0,4.0,5Ir29
"
2022.08.29_18.55.36",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-5.0,1.0,9,-,9.0,38.0,182.0,182.0,D,PERIODIC,-98.0,-13.0,4.0,5Ir29
"
2022.08.29_18.55.37",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-5.0,1.0,9,-,6896.0,59.0,182.0,182.0,D,PERIODIC,-100.0,-12.0,3.0,5Ir29
"
2022.08.29_18.55.38",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-8.0,0.0,9,-,35531.0,218.0,182.0,182.0,D,PERIODIC,-100.0,-12.0,3.0,5Ir29
"
2022.08.29_18.55.39",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-7.0,0.0,5,-,4.0,5.0,182.0,182.0,D,PERIODIC,-96.0,-12.0,3.0,5Ir29
"
2022.08.29_18.55.40",7.069152000000001,43.615237,82.0,5G,5G,-120.0,-6.0,0.0,5,-,3.0,5.0,182.0,182.0,D,PERIODIC,-96.0,-12.0,3.0,5Ir29
"
2022.08.29_18.55.41",7.069152000000001,43.615237,82.0,5G,5G,-120.0,-6.0,0.0,10,-,3.0,5.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,5.0,5Ir29
"
2022.08.29_18.55.42",7.069152000000001,43.615237,82.0,5G,5G,-120.0,-6.0,0.0,10,-,7957.0,62.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,5.0,5Ir29
"
2022.08.29_18.55.43",7.069152000000001,43.615237,82.0,5G,5G,-114.0,-6.0,2.0,7,-,33026.0,152.0,182.0,182.0,D,PERIODIC,-104.0,-13.0,7.0,5Ir29
"
2022.08.29_18.55.44",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-6.0,0.0,7,-,1.0,4.0,182.0,182.0,D,PERIODIC,-104.0,-13.0,7.0,5Ir29
"
2022.08.29_18.55.45",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-4.0,3.0,8,-,2.0,5.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,10.0,5Ir29
"
2022.08.29_18.55.46",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-6.0,1.0,8,-,7.0,5.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,10.0,5Ir29
"
2022.08.29_18.55.47",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-6.0,1.0,7,-,4673.0,49.0,182.0,182.0,D,PERIODIC,-104.0,-11.0,8.0,5Ir29
"
2022.08.29_18.55.48",7.069152000000001,43.615237,82.0,5G,5G,-121.0,-9.0,-3.0,7,-,9480.0,65.0,182.0,182.0,D,PERIODIC,-104.0,-11.0,8.0,5Ir29
"
2022.08.29_18.55.49",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-4.0,1.0,4,-,4.0,5.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,9.0,5Ir29
"
2022.08.29_18.55.50",7.069152000000001,43.615237,82.0,5G,5G,-116.0,-5.0,0.0,4,-,0.0,5.0,182.0,182.0,D,PERIODIC,-105.0,-13.0,9.0,5Ir29
"
2022.08.29_18.55.51",7.069152000000001,43.615237,82.0,5G,5G,-116.0,-4.0,1.0,8,-,32.0,29.0,182.0,182.0,D,PERIODIC,-106.0,-11.0,5.0,5Ir29
"
2022.08.29_18.55.52",7.069152000000001,43.615237,82.0,5G,5G,-116.0,-5.0,1.0,8,-,532.0,57.0,182.0,182.0,D,PERIODIC,-106.0,-11.0,5.0,5Ir29
"
2022.08.29_18.55.53",7.069152000000001,43.615237,82.0,5G,5G,-114.0,-6.0,2.0,8,-,18717.0,116.0,182.0,182.0,D,PERIODIC,-99.0,-8.0,7.0,5Ir29
"
2022.08.29_18.55.54",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-4.0,3.0,8,-,5.0,6.0,182.0,182.0,D,PERIODIC,-99.0,-8.0,7.0,5Ir29
"
2022.08.29_18.55.55",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-4.0,3.0,9,-,1.0,5.0,182.0,182.0,D,PERIODIC,-103.0,-8.0,5.0,5Ir29
"
2022.08.29_18.55.56",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-4.0,1.0,9,-,1.0,5.0,182.0,182.0,D,PERIODIC,-103.0,-8.0,5.0,5Ir29
"
2022.08.29_18.55.57",7.069152000000001,43.615237,82.0,5G,5G,-117.0,-5.0,0.0,7,-,9.0,11.0,182.0,182.0,D,PERIODIC,-101.0,-8.0,10.0,5Ir29
"
2022.08.29_18.55.58",7.069152000000001,43.615237,82.0,5G,5G,-116.0,-5.0,0.0,7,-,26181.0,163.0,182.0,182.0,D,PERIODIC,-101.0,-8.0,10.0,5Ir29
"
2022.08.29_18.55.59",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-9.0,-4.0,6,-,3.0,6.0,182.0,182.0,D,PERIODIC,-102.0,-10.0,6.0,5Ir29
"
2022.08.29_18.56.00",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-9.0,-4.0,6,-,4.0,5.0,182.0,182.0,D,PERIODIC,-102.0,-10.0,6.0,5Ir29
"
2022.08.29_18.56.01",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-9.0,-4.0,10,-,3.0,5.0,182.0,182.0,D,PERIODIC,-98.0,-12.0,5.0,5Ir29
"
2022.08.29_18.56.02",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-9.0,-4.0,10,-,11443.0,73.0,182.0,182.0,D,PERIODIC,-98.0,-12.0,5.0,5Ir29
"
2022.08.29_18.56.03",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-3.0,2.0,9,-,4.0,5.0,182.0,182.0,D,PERIODIC,-100.0,-10.0,5.0,5Ir29
"
2022.08.29_18.56.04",7.069152000000001,43.615237,82.0,5G,5G,-110.0,-3.0,0.0,9,-,3.0,6.0,182.0,182.0,D,PERIODIC,-100.0,-10.0,5.0,5Ir29
"
2022.08.29_18.56.05",7.069152000000001,43.615237,82.0,5G,5G,-105.0,-3.0,14.0,8,-,4.0,5.0,182.0,182.0,D,PERIODIC,-102.0,-11.0,11.0,5Ir29
"
2022.08.29_18.56.06",7.069152000000001,43.615237,82.0,5G,5G,-104.0,-3.0,15.0,8,-,3.0,5.0,182.0,182.0,D,PERIODIC,-102.0,-11.0,11.0,5Ir29
"
2022.08.29_18.56.07",7.069152000000001,43.615237,82.0,5G,5G,-104.0,-3.0,13.0,8,-,46.0,15.0,182.0,182.0,D,PERIODIC,-102.0,-14.0,2.0,5Ir29
"
2022.08.29_18.56.08",7.069152000000001,43.615237,82.0,5G,5G,-104.0,-3.0,14.0,8,-,16224.0,73.0,182.0,182.0,D,PERIODIC,-102.0,-14.0,2.0,5Ir29
"
2022.08.29_18.56.09",7.069152000000001,43.615237,82.0,5G,5G,-103.0,-3.0,13.0,10,-,5.0,6.0,182.0,182.0,D,PERIODIC,-98.0,-13.0,-1.0,5Ir29
"
2022.08.29_18.56.10",7.069152000000001,43.615237,82.0,5G,5G,-103.0,-3.0,15.0,10,-,4.0,6.0,182.0,182.0,D,PERIODIC,-98.0,-13.0,-1.0,5Ir29
"
2022.08.29_18.56.11",7.069152000000001,43.615237,82.0,5G,5G,-103.0,-3.0,15.0,7,-,4.0,5.0,182.0,182.0,D,PERIODIC,-97.0,-12.0,4.0,5Ir29
"
2022.08.29_18.56.12",7.069152000000001,43.615237,82.0,5G,5G,-118.0,-6.0,-1.0,7,-,1294.0,36.0,182.0,182.0,D,PERIODIC,-97.0,-12.0,4.0,5Ir29
"
2022.08.29_18.56.13",7.069152000000001,43.615237,82.0,5G,5G,-123.0,-9.0,-2.0,12,-,17147.0,323.0,182.0,182.0,D,PERIODIC,-102.0,-8.0,6.0,5Ir29
"
2022.08.29_18.56.14",7.069152000000001,43.615237,82.0,5G,5G,-123.0,-9.0,-2.0,12,-,4.0,5.0,182.0,182.0,D,PERIODIC,-102.0,-8.0,6.0,5Ir29
"
2022.08.29_18.56.15",7.069152000000001,43.615237,82.0,5G,5G,-123.0,-9.0,-2.0,6,-,4.0,6.0,182.0,182.0,D,PERIODIC,-96.0,-8.0,10.0,5Ir29
"
2022.08.29_18.56.16",7.069152000000001,43.615237,82.0,5G,5G,-123.0,-9.0,-2.0,6,-,5.0,5.0,182.0,182.0,D,PERIODIC,-96.0,-8.0,10.0,5Ir29
"
2022.08.29_18.56.17",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,0.0,11,-,3.0,5.0,182.0,182.0,D,PERIODIC,-96.0,-12.0,-6.0,5Ir29
"
2022.08.29_18.56.18",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,0.0,11,-,32451.0,193.0,182.0,182.0,D,PERIODIC,-96.0,-12.0,-6.0,5Ir29
"
2022.08.29_18.56.19",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-8.0,0.0,5,-,2446.0,18.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,8.0,5Ir29
"
2022.08.29_18.56.20",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-8.0,0.0,5,-,3.0,5.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,8.0,5Ir29
"
2022.08.29_18.56.21",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-8.0,0.0,7,-,6.0,12.0,182.0,182.0,D,PERIODIC,-103.0,-13.0,3.0,5Ir29
"
2022.08.29_18.56.22",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-8.0,0.0,7,-,7754.0,56.0,182.0,182.0,D,PERIODIC,-103.0,-13.0,3.0,5Ir29
"
2022.08.29_18.56.23",7.069152000000001,43.615237,82.0,5G,5G,-123.0,-10.0,-3.0,4,-,39148.0,154.0,182.0,182.0,D,PERIODIC,-102.0,-13.0,2.0,5Ir29
"
2022.08.29_18.56.24",7.069152000000001,43.615237,82.0,5G,5G,-119.0,-6.0,2.0,4,-,0.0,4.0,182.0,182.0,D,PERIODIC,-102.0,-13.0,2.0,5Ir29
"
2022.08.29_18.56.25",7.069152000000001,43.615237,82.0,5G,5G,-121.0,-9.0,-2.0,11,-,11415.0,71.0,182.0,182.0,D,PERIODIC,-97.0,-12.0,6.0,5Ir29
"
2022.08.29_18.56.26",7.069152000000001,43.615237,82.0,5G,5G,-121.0,-9.0,-2.0,11,-,10823.0,59.0,182.0,182.0,D,PERIODIC,-97.0,-12.0,6.0,5Ir29
"
2022.08.29_18.56.27",7.069152000000001,43.615237,82.0,5G,5G,-121.0,-9.0,-2.0,12,-,5.0,19.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,7.0,5Ir29
"
2022.08.29_18.56.28",7.069152000000001,43.615237,82.0,5G,5G,-112.0,-4.0,5.0,12,-,35520.0,191.0,182.0,182.0,D,PERIODIC,-101.0,-13.0,7.0,5Ir29
"
2022.08.29_18.56.29",7.069152000000001,43.615237,82.0,5G,5G,-115.0,-4.0,0.0,6,-,0.0,4.0,182.0,182.0,D,PERIODIC,-99.0,-10.0,10.0,5Ir29
