Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.29_12.24.31",7.075767,43.618195,63.0,5G,5G,-116.0,-5.0,1.0,5,-,0.0,0.0,161.0,161.0,I,LOG START,-116.0,-15.0,-8.0,5O29
"
2022.08.29_12.24.31",7.075767,43.618195,63.0,5G,5G,-116.0,-5.0,1.0,5,-,0.0,0.0,161.0,161.0,I,PERIODIC,-116.0,-15.0,-8.0,5O29
"
2022.08.29_12.24.31",7.075685000000001,43.618147,63.0,5G,5G,-115.0,-6.0,0.0,5,-,0.0,0.0,163.0,163.0,I,,-116.0,-15.0,-8.0,5O29
"
2022.08.29_12.24.32",7.075685000000001,43.618147,63.0,5G,5G,-115.0,-6.0,0.0,5,-,0.0,0.0,163.0,163.0,I,PERIODIC,-116.0,-15.0,-8.0,5O29
"
2022.08.29_12.24.33",7.075685000000001,43.618147,63.0,5G,5G,-115.0,-6.0,0.0,-,-,0.0,0.0,163.0,163.0,I,PERIODIC,-115.0,-16.0,-3.0,5O29
"
2022.08.29_12.24.34",7.075685000000001,43.618147,63.0,5G,5G,-115.0,-6.0,0.0,-,-,142.0,75.0,163.0,163.0,D,PERIODIC,-115.0,-16.0,-3.0,5O29
"
2022.08.29_12.24.35",7.075685000000001,43.618147,63.0,5G,5G,-115.0,-6.0,0.0,8,-,260.0,156.0,163.0,163.0,D,PERIODIC,-115.0,-12.0,-4.0,5O29
"
2022.08.29_12.24.36",7.075685000000001,43.618147,63.0,5G,5G,-116.0,-4.0,3.0,8,-,10.0,79.0,163.0,163.0,D,PERIODIC,-115.0,-12.0,-4.0,5O29
"
2022.08.29_12.24.37",7.075685000000001,43.618147,63.0,5G,5G,-116.0,-4.0,3.0,10,-,65.0,31.0,163.0,163.0,D,PERIODIC,-114.0,-11.0,-3.0,5O29
"
2022.08.29_12.24.38",7.075685000000001,43.618147,63.0,5G,5G,-116.0,-4.0,3.0,10,-,164.0,57.0,163.0,163.0,D,PERIODIC,-114.0,-11.0,-3.0,5O29
"
2022.08.29_12.24.39",7.075685000000001,43.618147,63.0,5G,5G,-116.0,-4.0,3.0,9,-,404.0,49.0,163.0,163.0,D,PERIODIC,-115.0,-13.0,-4.0,5O29
"
2022.08.29_12.24.40",7.075685000000001,43.618147,63.0,5G,5G,-118.0,-6.0,0.0,9,-,230.0,104.0,163.0,163.0,D,PERIODIC,-115.0,-13.0,-4.0,5O29
