Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.10.27_16.44.07",7.067933,43.616125,62.0,5G,5G,-119.0,-8.0,-1.0,13.0,-,0.0,0.0,171.0,171.0,I,LOG START,-95.0,-12.0,17.0,5P27o
"
2022.10.27_16.44.07",7.067933,43.616125,62.0,5G,5G,-119.0,-8.0,-1.0,13.0,-,0.0,0.0,171.0,171.0,I,PERIODIC,-95.0,-12.0,17.0,5P27o
"
2022.10.27_16.44.07",7.067842999999999,43.616153000000004,62.0,5G,5G,-116.0,-6.0,-2.0,13.0,-,0.0,0.0,178.0,178.0,I,,-95.0,-12.0,17.0,5P27o
"
2022.10.27_16.44.08",7.067842999999999,43.616153000000004,62.0,5G,5G,-116.0,-6.0,-2.0,9.0,-,0.0,1.0,178.0,178.0,D,PERIODIC,-90.0,-11.0,17.0,5P27o
"
2022.10.27_16.44.09",7.067842999999999,43.616153000000004,62.0,5G,5G,-116.0,-6.0,-2.0,9.0,-,1.0,0.0,178.0,178.0,D,PERIODIC,-90.0,-11.0,17.0,5P27o
"
2022.10.27_16.44.10",7.067842999999999,43.616153000000004,62.0,5G,5G,-118.0,-9.0,2.0,14.0,-,3.0,5.0,178.0,178.0,D,PERIODIC,-91.0,-11.0,22.0,5P27o
"
2022.10.27_16.44.11",7.067842999999999,43.616153000000004,62.0,5G,5G,-118.0,-9.0,2.0,14.0,-,1.0,4.0,178.0,178.0,D,PERIODIC,-91.0,-11.0,22.0,5P27o
"
2022.10.27_16.44.12",7.067842999999999,43.616153000000004,62.0,5G,5G,-116.0,-5.0,1.0,15.0,-,3.0,3.0,178.0,178.0,D,PERIODIC,-91.0,-11.0,18.0,5P27o
"
2022.10.27_16.44.13",7.067842999999999,43.616153000000004,62.0,5G,5G,-116.0,-5.0,1.0,15.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,-91.0,-11.0,18.0,5P27o
"
2022.10.27_16.44.14",7.067842999999999,43.616153000000004,62.0,5G,5G,-116.0,-5.0,1.0,15.0,-,0.0,0.0,178.0,178.0,I,PERIODIC,-92.0,-11.0,18.0,5P27o
