Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.30_16.51.14",7.075606,43.617974,63.0,5G,5G,-102.0,-3.0,10.0,8.0,-,51.0,40.0,164.0,164.0,D,LOG START,-107.0,-7.0,12.0,5Po30
"
2022.08.30_16.51.14",7.075606,43.617974,63.0,5G,5G,-103.0,-3.0,10.0,8.0,-,0.0,0.0,164.0,164.0,D,PERIODIC,-107.0,-7.0,12.0,5Po30
"
2022.08.30_16.51.15",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,8.0,-,0.0,0.0,163.0,163.0,D,,-107.0,-7.0,12.0,5Po30
"
2022.08.30_16.51.15",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,10.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-7.0,9.0,5Po30
"
2022.08.30_16.51.16",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,10.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-7.0,9.0,5Po30
"
2022.08.30_16.51.17",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,10.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-9.0,5.0,5Po30
"
2022.08.30_16.51.18",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,10.0,-,1.0,1.0,163.0,163.0,D,PERIODIC,-102.0,-9.0,5.0,5Po30
"
2022.08.30_16.51.20",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,9.0,-,0.0,0.0,163.0,163.0,D,PERIODIC,-103.0,-9.0,5.0,5Po30
"
2022.08.30_16.51.21",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,9.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-103.0,-9.0,5.0,5Po30
"
2022.08.30_16.51.22",7.075602000000001,43.617927,63.0,5G,5G,-103.0,-3.0,10.0,9.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-8.0,6.0,5Po30
"
2022.08.30_16.51.22",7.075602000000001,43.617927,63.0,5G,5G,-108.0,-3.0,7.0,9.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-8.0,6.0,5Po30
"
2022.08.30_16.51.23",7.075602000000001,43.617927,63.0,5G,5G,-108.0,-3.0,7.0,9.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-8.0,6.0,5Po30
"
2022.08.30_16.51.25",7.075602000000001,43.617927,63.0,5G,5G,-112.0,-3.0,6.0,9.0,-,0.0,0.0,163.0,163.0,I,PERIODIC,-102.0,-7.0,12.0,5Po30
