Timestamp,Longitude,Latitude,CellID,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,DL_bitrate,UL_bitrate,Altitude,Height,State,EVENT,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,Eid
"
2022.08.11_16.28.15",7.069294,43.615133,62.0,5G,5G,-106.0,-3.0,9.0,14.0,-,0.0,0.0,191.0,191.0,I,LOG START,-106.0,-12.0,9.0,P11aug
"
2022.08.11_16.28.16",7.069294,43.615133,62.0,5G,5G,-106.0,-3.0,9.0,14.0,-,0.0,0.0,191.0,191.0,I,PERIODIC,-106.0,-12.0,9.0,P11aug
"
2022.08.11_16.28.16",7.06924,43.615138,62.0,5G,5G,-106.0,-3.0,9.0,14.0,-,0.0,0.0,185.0,185.0,I,,-106.0,-12.0,9.0,P11aug
"
2022.08.11_16.28.17",7.06924,43.615138,62.0,5G,5G,-106.0,-3.0,9.0,8.0,-,0.0,0.0,185.0,185.0,I,PERIODIC,-106.0,-12.0,9.0,P11aug
"
2022.08.11_16.28.18",7.06924,43.615138,62.0,5G,5G,-112.0,-3.0,7.0,8.0,-,30.0,36.0,185.0,185.0,D,PERIODIC,-106.0,-12.0,9.0,P11aug
"
2022.08.11_16.28.19",7.06924,43.615138,62.0,5G,5G,-112.0,-3.0,7.0,8.0,-,0.0,0.0,185.0,185.0,D,PERIODIC,-106.0,-12.0,9.0,P11aug
"
2022.08.11_16.28.20",7.06924,43.615138,62.0,5G,5G,-112.0,-3.0,7.0,11.0,-,0.0,0.0,185.0,185.0,I,PERIODIC,-110.0,-15.0,9.0,P11aug
"
2022.08.11_16.28.21",7.06924,43.615138,62.0,5G,5G,-97.0,-3.0,15.0,11.0,-,10.0,7.0,185.0,185.0,D,PERIODIC,-110.0,-15.0,0.0,P11aug
"
2022.08.11_16.28.22",7.06924,43.615138,61.0,5G,5G,-101.0,-3.0,18.0,6.0,-,2.0,15.0,185.0,185.0,D,HANDOVER_DATA_5G5G,-108.0,-9.0,-9.0,P11aug
"
2022.08.11_16.28.23",7.06924,43.615138,61.0,5G,5G,-101.0,-3.0,18.0,6.0,-,65.0,12.0,185.0,185.0,D,PERIODIC,-108.0,-9.0,-9.0,P11aug
"
2022.08.11_16.28.24",7.069201,43.615045,61.0,5G,5G,-103.0,-3.0,11.0,6.0,-,65.0,12.0,187.0,187.0,D,,-108.0,-9.0,-9.0,P11aug
"
2022.08.11_16.28.24",7.069201,43.615045,61.0,5G,5G,-103.0,-3.0,11.0,14.0,-,2.0,5.0,187.0,187.0,D,PERIODIC,-106.0,-9.0,-2.0,P11aug
"
2022.08.11_16.28.25",7.069201,43.615045,61.0,5G,5G,-104.0,-3.0,11.0,14.0,-,56.0,15.0,187.0,187.0,D,PERIODIC,-106.0,-9.0,2.0,P11aug
"
2022.08.11_16.28.26",7.069201,43.615045,61.0,5G,5G,-96.0,-3.0,20.0,10.0,-,1.0,0.0,187.0,187.0,D,PERIODIC,-107.0,-13.0,-2.0,P11aug
"
2022.08.11_16.28.27",7.069201,43.615045,61.0,5G,5G,-96.0,-3.0,20.0,10.0,-,0.0,0.0,187.0,187.0,D,PERIODIC,-107.0,-13.0,-2.0,P11aug
"
2022.08.11_16.28.28",7.069201,43.615045,62.0,5G,5G,-92.0,-3.0,21.0,14.0,-,0.0,0.0,187.0,187.0,I,CELL_RESELECTION_5G5G,-105.0,-10.0,7.0,P11aug
"
2022.08.11_16.28.29",7.069201,43.615045,62.0,5G,5G,-92.0,-3.0,21.0,14.0,-,0.0,0.0,187.0,187.0,D,PERIODIC,-105.0,-10.0,7.0,P11aug
"
2022.08.11_16.28.30",7.069201,43.615045,62.0,5G,5G,-92.0,-3.0,21.0,14.0,-,0.0,0.0,187.0,187.0,I,PERIODIC,-105.0,-10.0,7.0,P11aug
"
2022.08.11_16.28.31",7.069201,43.615045,62.0,5G,5G,-92.0,-3.0,21.0,14.0,-,0.0,0.0,187.0,187.0,I,PERIODIC,-105.0,-10.0,7.0,P11aug
"
2022.08.11_16.28.32",7.069201,43.615045,62.0,5G,5G,-92.0,-3.0,22.0,15.0,-,3.0,31.0,187.0,187.0,D,PERIODIC,-95.0,-10.0,1.0,P11aug
"
2022.08.11_16.28.33",7.069201,43.615045,62.0,5G,5G,-98.0,-3.0,20.0,15.0,-,2184.0,134.0,187.0,187.0,D,PERIODIC,-95.0,-10.0,1.0,P11aug
"
2022.08.11_16.28.34",7.069201,43.615045,62.0,5G,5G,-98.0,-3.0,20.0,13.0,-,4.0,16.0,187.0,187.0,D,PERIODIC,-104.0,-13.0,9.0,P11aug
"
2022.08.11_16.28.35",7.069201,43.615045,62.0,5G,5G,-98.0,-3.0,20.0,13.0,-,56.0,4.0,187.0,187.0,D,PERIODIC,-104.0,-13.0,9.0,P11aug
"
2022.08.11_16.28.36",7.069083999999999,43.614983,62.0,5G,5G,-106.0,-3.0,12.0,13.0,-,56.0,4.0,191.0,191.0,D,,-104.0,-13.0,9.0,P11aug
"
2022.08.11_16.28.36",7.069083999999999,43.614983,62.0,5G,5G,-106.0,-3.0,12.0,10.0,-,79.0,62.0,191.0,191.0,D,PERIODIC,-104.0,-15.0,0.0,P11aug
"
2022.08.11_16.28.37",7.069083999999999,43.614983,62.0,5G,5G,-103.0,-3.0,17.0,10.0,-,1042.0,565.0,191.0,191.0,D,PERIODIC,-104.0,-15.0,3.0,P11aug
"
2022.08.11_16.28.38",7.069083999999999,43.614983,62.0,5G,5G,-103.0,-3.0,18.0,10.0,-,1942.0,803.0,191.0,191.0,D,PERIODIC,-108.0,-13.0,1.0,P11aug
"
2022.08.11_16.28.39",7.069083999999999,43.614983,62.0,5G,5G,-112.0,-3.0,6.0,10.0,-,68.0,5.0,191.0,191.0,D,PERIODIC,-108.0,-13.0,5.0,P11aug
